未选择图标,"No icon selected"
操作失败,"Operation failed"
类型,Type
模块,Module.
版本,Version
参数配置,"Parameter configuration"
总部件数,"Total Parts"
部件类型,"Component type"
来源模块,"Source Module"
关键字,Keyword
搜索部件...,"Search widgets..."
所有模块,"All Modules"
所有类型,"All Types"
筛选,Filter
重置筛选,"Reset Filter"
没有找到部件,"No widgets found"
部件名称,"Widget Name"
操作,Actions
详情,Details
页面标题,"Page Title"
页面标识,"Page Handle"
部件库,"Widget Library"
画布,Canvas
从左侧拖放部件到这里,"Drag widgets from left panel here"
属性配置,Properties
头部部件,"Header Widget"
底部部件,"Bottom Widget"
侧栏部件,"Sidebar Widget"
内容部件,"Content widget"
横幅部件,"Banner widget"
轮播部件,"Carousel widget"
产品部件,"Product Component"
分类部件,"Category widget"
导航部件,"Navigation widget"
搜索部件,"Search widget"
社交部件,"Social Widget"
订阅部件,"Subscription Widget"
评价部件,"Review component"
FAQ部件,"FAQ widget"
面包屑部件,"Breadcrumb Widget"
分页部件,"Pagination widget"
视频部件,"Video widget"
其他部件,"Other components"
请先填写生成要求,"Please fill in the generation requirements first"
"AI Widget 生成失败","AI Widget generation failed"
选择的部件类型不受支持：%{1},"The selected part type is not supported: %{1}"
"AI 返回内容为空","AI returns empty content"
"AI 返回的 Widget JSON 无法解析","The Widget JSON returned by AI cannot be parsed"
"AI 生成的 Widget 类型不受支持：%{1}","AI-generated Widget type is not supported: %{1}"
"AI 生成结果缺少 template_content","AI generated results are missing template_content"
"AI 生成了不支持的参数类型：%{1}","AI generated unsupported parameter type: %{1}"
"AI 生成模板包含不允许的逻辑：%{1}","AI generated template contains disallowed logic: %{1}"
保存配置,保存配置
基本信息,"Basic information"
样式设置,"Style settings"
链接配置,"Link Configuration"
高级设置,"Advanced settings"
该部件无可配置项,"This component has no configurable items"
"字段 ""%s"" 的值无效","Invalid value for field ""%s"""
"部件注册表：%{1} 个类型，共 %{2} 个部件","Component registry: %{1} types, %{2} components total"
文件：generated/widgets.php,"File: generated/widgets.php"
查看部件注册表状态,"View Component Registry Status"
"查看 generated/widgets.php 中的部件类型数与总个数","View widget type count and total in generated/widgets.php"
开始刷新部件注册表...,"Refreshing widget registry..."
"✓ 部件注册表已刷新完成。","✓ Part registry refresh completed."
位置：generated/widgets.php,"Location: generated/widgets.php"
首次入库：%{1}，更新：%{2}，默认注入事件：%{3},"First storage: %{1}, update: %{2}, default injection event: %{3}"
已派发,Distributed
未派发,"Not distributed"
"✖ 写入部件注册表失败。","✖ Failed to write to the component registry."
"✓ ParamSchema 注册表已刷新完成。","✓ ParamSchema registry has been refreshed."
位置：generated/param_schemas.php,"Location: generated/param_schemas.php"
"✖ 写入 ParamSchema 注册表失败。","✖ Writing to ParamSchema registry failed."
刷新失败：%{1},"Refresh Failed: %{1}"
添加轮播项,"Add Slide"
暂无节点，可从左侧拖入或添加自定义,暂无节点，可从左侧拖入或添加自定义
拖拽调整顺序与层级（最多三级）,拖拽调整顺序与层级（最多三级）
点击选择图片或输入URL,"Click to select an image or enter a URL."
上传图片,"Upload pictures"
上传,upload
图片URL,"Image URL"
"最大 %s KB","Maximum %s KB"
"建议比例 %s","Recommended ratio %s"
选择图标,"Select Icon"
搜索图标...,"Search icon..."
输入自定义图标类名,"Enter a custom icon class name"
拖拽排序,"Drag to sort"
"mdi mdi-puzzle","mdi mdi-puzzle"
"mdi mdi-pencil-box","mdi mdi-pencil-box"
