证书签发完成,"Certificate Issued"
"Ping session service","Ping session service"
"Get session stats","Get session stats"
"Get session runtime","Get session runtime"
"Memory query provider unsupported operation: %{1}","Memory query provider unsupported operation: %{1}"
"Memory Query","Memory Query"
"Unified shared memory facade query entry","Unified shared memory facade query entry"
"Multi get","Multi get"
"Multi set","Multi set"
"Clear namespace","Clear namespace"
"Increment value","Increment value"
"Decrement value","Decrement value"
"Append value","Append value"
"Compare and set","Compare and set"
"List namespaces","List namespaces"
"Run memory gc","Run memory gc"
"Persist memory store","Persist memory store"
"Ping memory service","Ping memory service"
"Get memory stats","Get memory stats"
"Get memory runtime","Get memory runtime"
"Server 查询器不支持的操作：%{1}","Operation not supported by Server query: %{1}"
"Server 查询","Server query"
"提供 SSL 证书申请等能力","Provides SSL certificate application and other capabilities"
"申请 SSL 证书","Request SSL Certificate"
域名,Domain
"Webroot 路径","Webroot path"
联系邮箱,"Contact Email"
"关联网站 ID","Associated Site ID"
"证书提供商 letsencrypt/litessl","Certificate Provider letsencrypt/litessl"
"证书类型 exact|wildcard","Certificate type exact|wildcard"
"策略 single|wildcard_prefer|both","Policy single|wildcard_prefer|both"
"验证策略 auto|http01|dns01，非80端口时 auto 自动用 dns01","Verification strategy auto|http01|dns01, when not on port 80, auto defaults to dns01"
"域名池 ID，DNS-01 时用于解析 DNS 账户","Domain pool ID, used to resolve DNS account for DNS-01"
"根域名 ID，DNS-01 时用于解析 DNS 账户","Root Domain ID, used to resolve DNS account for DNS-01"
"手动导入 SSL 证书（支持 PEM/PFX）","Manually import SSL certificate (supports PEM/PFX)"
"证书提供商标记，默认 manual","Certificate Provider Tag, Default manual"
"fullchain PEM 文本","fullchain PEM text"
"private key PEM 文本","private key PEM text"
"chain PEM 文本","chain PEM text"
"pfx/p12 文件 base64 内容","pfx/p12 file base64 Content"
"pfx/p12 文件密码","pfx/p12 file password"
"校验域名 URL 可达性及是否命中期望 IP","Verify domain URL reachability and whether it hits the expected IP"
"访问 URL，默认 https://domain/","Access URL, default https://domain/"
"期望 IPv4","Expected IPv4"
"期望 IPv6","Expected IPv6"
根据主机名解析管理证书，返回安全数据,"Resolve management certificates by hostname, return security data"
主机名,hostname
"优先绑定的证书 ID","Priority bound certificate ID"
"判断主机名是否存在 active 且未过期的管理证书","Check if the hostname has an active and non-expired management certificate"
判断主机名的管理证书是否健康（含覆盖与文件有效性）,"Check if the management certificate of the hostname is healthy (including override and file validity)"
获取服务器状态,"Get Server Status"
启动实例,"Start instance"
停止实例,"Stop instance"
重启实例,"Restart instance"
热重载实例,"Hot Reload Instance"
启用维护模式,"enable maintenance mode"
禁用维护模式,"disable maintenance mode"
获取优化指南数据,"Optimization guide data retrieved"
"获取 SSL 证书列表","Get SSL certificate list"
"获取 SSL 证书详情","Get SSL certificate details"
"查询各 Worker Fiber 池统计（挂起数、配置）","Query statistics for each Worker Fiber pool (pending count, configuration)"
"实例名，默认 default","Instance name, default default"
"下发 Fiber 池配置：闲置超时与最大活跃数","Deliver Fiber pool configuration: idle timeout and maximum active number"
实例名,"Instance name"
挂起超过此秒数释放，0=不自动释放,"Release after this many seconds of inactivity; 0 = do not auto-release"
"最大挂起 Fiber 数，0=不限制","Max Suspended Fibers, 0 = Unlimited"
"通知各 Worker 立即释放闲置 Fiber","Notify all Workers to release idle Fibers immediately"
"读取 WLS 攻击统计","读取 WLS 攻击统计"
统计天数,统计天数
"Resolve a WLS Panel managed project for plugin context","Resolve a WLS Panel managed project for plugin context"
"Managed project ID","Managed project ID"
"Managed project domain","Managed project domain"
"Read WLS performance summary for the development panel","Read WLS performance summary for the development panel"
"Read recent WLS performance requests for the development panel","Read recent WLS performance requests for the development panel"
"Read one WLS performance request detail","Read one WLS performance request detail"
"Read SessionServer and MemoryServer timing snapshots","Read SessionServer and MemoryServer timing snapshots"
"Clear short-lived WLS performance panel traces","Clear short-lived WLS performance panel traces"
"为当前后台浏览器设置 WLS 健康检查放行 Cookie","为当前后台浏览器设置 WLS 健康检查放行 Cookie"
域名不能为空,"Domain cannot be empty"
"PFX 文件内容无效（Base64 解码失败）","PFX file content is invalid (Base64 decoding failed)"
"PFX/P12 解析失败，请确认文件与密码正确","PFX/P12 parsing failed, please confirm that the file and password are correct"
"证书内容不完整，请提供 fullchain 与 private key","Certificate Content Incomplete, Please Provide Fullchain and Private Key"
创建检测地址失败,"Failed to create detection address"
"校验通过：域名已解析到期望 IP 且 URL 可达","Validation passed: Domain resolved to expected IP and URL is reachable"
"校验失败：请确认域名解析已指向本机且 URL 可访问","Validation failed: Please confirm that the domain resolution points to this machine and the URL is accessible"
创建检测目录失败,"Failed to create detection directory"
创建检测文件失败,"Failed to create detection file"
启动命令已提交,"Start command submitted"
停止命令已发送,"Stop command sent"
重启命令已发送,"Restart command sent"
热重载命令已发送,"Hot reload command sent."
"Only local/dev/test environment may write hosts entries","Only local/dev/test environment may write hosts entries"
"Domain is required","Domain is required"
"Only managed local WLS domains may be injected into local hosts","Only managed local WLS domains may be injected into local hosts"
"The requested .localhost domain resolves to loopback and does not require a hosts entry","The requested .localhost domain resolves to loopback and does not require a hosts entry"
"The requested domain is not a valid local hostname","The requested domain is not a valid local hostname"
"Only managed local wildcard domains are allowed for local wildcard certificate issuance","Only managed local wildcard domains are allowed for local wildcard certificate issuance"
"Failed to ensure the managed local wildcard certificate","Failed to ensure the managed local wildcard certificate"
维护模式已启用,"Maintenance mode is enabled"
维护模式已禁用,"Maintenance mode is disabled"
请先登录后台,"Please log in to backend first"
"Managed project context is empty.","Managed project context is empty."
"Managed project was not found.","Managed project was not found."
"Managed project context resolved.","Managed project context resolved."
"Invalid request id","Invalid request id"
"WLS request trace loaded","WLS request trace loaded"
"WLS request trace was not found","WLS request trace was not found"
请指定域名,"Please specify domain"
未找到证书记录,"Certificate record not found"
本地域名证书不允许删除,"Local domain certificate cannot be deleted"
"Session 列表加载完成","Session list loading completed"
"缺少 Session ID","Missing Session ID"
"Session 已销毁","Session destroyed"
"Session 销毁失败，请稍后重试","Session destruction failed, please try again later"
"Session 数据已持久化","Session data has been persisted"
"Session 持久化失败","Session persistence failed"
"Session 垃圾回收已执行","Session garbage collection executed"
"Session 垃圾回收执行失败","Session garbage collection execution failed"
内存命名空间加载完成,"Memory namespace loaded"
缺少命名空间参数,"Missing namespace parameter"
命名空间详情加载完成,"Namespace details loaded"
内存命名空间已清空,"Memory namespace cleared"
命名空间清理失败,"Namespace cleanup failed"
缺少命名空间或键名参数,"Missing namespace or key name parameter"
缓存键已删除,"Cache Key Deleted"
缓存键删除失败,"Cache Key Deletion Failed"
内存服务数据已持久化,"Memory service data has been persisted"
内存服务持久化失败,"Memory service persistence failed"
内存服务垃圾回收已执行,"Memory service garbage collection executed"
内存服务垃圾回收执行失败,"Memory service garbage collection execution failed"
"WLS performance panel is only available in development or authorized debug mode","WLS performance panel is only available in development or authorized debug mode"
包太大：%{1},"Package too large: %{1}"
"onMessage 错误：%{1}","onMessage error: %{1}"
"onClose 错误：%{1}","onClose error: %{1}"
"静态文件缓存: %{1} %{2}","静态文件缓存: %{1} %{2}"
请求边界清理失败，请稍后重试。,请求边界清理失败，请稍后重试。
"高性能异步常驻内存服务器，支持 HTTP/WebSocket/TCP/UDP 协议，支持多实例管理、服务器监控、攻击日志、证书管理 Hook 集成","High-performance asynchronous persistent memory server, supports HTTP/WebSocket/TCP/UDP protocols, supports multi-instance management, server monitoring, attack logs, certificate management Hook integration"
"WLS 通知：%{1}","WLS notification: %{1}"
"WLS 实例 [%s] Master 复活失败，已尝试 %d 次，请人工检查并执行 server:start 或 server:restart。","WLS 实例 [%s] Master 复活失败，已尝试 %d 次，请人工检查并执行 server:start 或 server:restart。"
"SSL 证书管理","SSL Certificate Management"
"无效的证书 ID","Invalid certificate ID"
不支持的策略字段,"Unsupported policy fields"
证书不存在,"Certificate Not Found"
策略已更新,"Policy updated"
请指定联系邮箱,"Please specify the contact email"
"本地域名证书（localhost/127.0.0.1）不允许删除，用于后台 HTTPS 访问","Local domain certificates (localhost/127.0.0.1) cannot be deleted; they are required for backend HTTPS access"
后台手动删除,"Backend Manual Deletion"
"同步完成：未自动写入证书记录（仅在证书颁发成功并下载后入库）。当前有 %{1} 个站点域名尚无证书行，请使用「申请证书」。","Sync completed: Certificate records not automatically written (records are only stored after successful certificate issuance and download). Currently, %{1} site domains have no certificate entries. Please use ""Apply for Certificate""."
请选择要签发证书的域名,"Please select domains to issue certificates"
证书签发成功,"Certificate issued successfully"
证书签发失败,"Certificate issue failed"
"签发完成：成功 %{1} 个，失败 %{2} 个","Issue completed: %{1} succeeded, %{2} failed"
请选择要删除的证书,"Please select the certificate to delete"
后台批量删除,"Backend Batch Deletion"
证书删除失败,证书删除失败
"已删除 %{1} 个证书","Deleted %{1} certificate(s)"
"跳过 %{1} 个本地域名（%{2}）","Skipped %{1} local domains (%{2})"
"跳过 %{1} 个正在申请证书的域名（%{2}）","Skipped %{1} domains with pending certificate applications (%{2})"
"%{1} 个证书删除未完成","%{1} 个证书删除未完成"
请选择要续签的证书,"Please select the certificate to renew"
%{1}：证书记录不存在,"%{1}: Certificate record does not exist"
%{1}：%{2},%{1}：%{2}
续签失败,"Renewal failed"
"续签完成：成功 %{1} 个，失败 %{2} 个","Renewal complete: %{1} succeeded, %{2} failed"
"Legacy WLS Plugin Marketplace Redirect","Legacy WLS Plugin Marketplace Redirect"
"Redirect the old WLS marketplace entry to the standalone WLS Panel marketplace.","Redirect the old WLS marketplace entry to the standalone WLS Panel marketplace."
"WLS 面板","WLS 面板"
"WLS 项目","WLS 项目"
"Nginx 公网入口","Nginx public endpoint"
"WLS 插件","WLS 插件"
"WLS 插件商城","WLS 插件商城"
"WLS 安全","WLS 安全"
"WLS 攻击日志","WLS 攻击日志"
"WLS 安全规则","WLS 安全规则"
"WLS 项目安全策略","WLS 项目安全策略"
"WLS 安全策略审计","WLS 安全策略审计"
托管项目保存失败。,托管项目保存失败。
托管项目删除失败。,托管项目删除失败。
规则版本已缺失，请刷新页面后重试。,规则版本已缺失，请刷新页面后重试。
安全规则保存失败。,安全规则保存失败。
安全规则已提交，但后置通知仍待重试。,安全规则已提交，但后置通知仍待重试。
插件能力,插件能力
托管项目已保存。,托管项目已保存。
托管项目已删除。,托管项目已删除。
安全规则已保存。,安全规则已保存。
面板插件能力已刷新。,面板插件能力已刷新。
"访问 WLS 面板","访问 WLS 面板"
"查看 WLS 面板仪表盘","查看 WLS 面板仪表盘"
"查看 WLS 面板项目","查看 WLS 面板项目"
"查看 WLS 面板托管项目","查看 WLS 面板托管项目"
"查看 WLS 面板网关","查看 WLS 面板网关"
"查看 WLS 面板插件","查看 WLS 面板插件"
"查看 WLS 面板插件页面","查看 WLS 面板插件页面"
"查看 WLS 插件商城","查看 WLS 插件商城"
"刷新 WLS 面板插件能力","刷新 WLS 面板插件能力"
"查看 WLS 安全","查看 WLS 安全"
"查看 WLS 攻击日志","查看 WLS 攻击日志"
"查看 WLS 安全规则","查看 WLS 安全规则"
"查看 WLS 项目安全策略","查看 WLS 项目安全策略"
"查看 WLS 安全策略审计","查看 WLS 安全策略审计"
"保存 WLS 面板项目","保存 WLS 面板项目"
"保存 WLS 面板托管项目","保存 WLS 面板托管项目"
"删除 WLS 面板项目","删除 WLS 面板项目"
"删除 WLS 面板托管项目","删除 WLS 面板托管项目"
"保存 WLS 安全规则","保存 WLS 安全规则"
"Weline Server 管理","Weline Server Administration"
"Session 管理","Session management"
内存服务管理,"Memory service management"
访问被拒绝：仅允许本地请求,"Access Denied: Only Local Requests Allowed"
实例名称不合法,"Invalid instance name"
"Session ID 参数不合法","Invalid Session ID parameter"
"Session 详情加载完成","Session details loading completed"
"Session ID 不合法","Invalid Session ID"
"Session 销毁失败，请确认服务可用后重试","Session destruction failed, please confirm that the service is available and try again"
"Session 持久化失败，请检查 Session 服务状态","Session persistence failed, please check the Session service status"
命名空间参数不合法,"Invalid namespace parameter"
"命名空间清理失败，请检查 Memory Service 状态","Namespace cleanup failed, please check Memory Service status"
命名空间或键名参数不合法,"Invalid namespace or key parameter"
"内存服务垃圾回收执行失败，请检查 Memory Service 连接状态","Memory service garbage collection execution failed, please check the Memory Service connection status"
"启动 Weline Server","启动 Weline Server"
"启动 Weline Server 实例","启动 Weline Server 实例"
"停止 Weline Server","Stop Weline Server"
"停止 Weline Server 实例","停止 Weline Server 实例"
"重启 Weline Server","Restart Weline Server"
"强制重启 Weline Server 实例","强制重启 Weline Server 实例"
"热重载 Weline Server","热重载 Weline Server"
"热重载 Weline Server 代码","热重载 Weline Server 代码"
"切换 Weline Server 维护模式","切换 Weline Server 维护模式"
"启用 Weline Server 维护模式","启用 Weline Server 维护模式"
"禁用 Weline Server 维护模式","禁用 Weline Server 维护模式"
"查看 Weline Server Session","查看 Weline Server Session"
"查看 Weline Server Session 列表","查看 Weline Server Session 列表"
"查看 Weline Server Session 详情","查看 Weline Server Session 详情"
"销毁 Weline Server Session","销毁 Weline Server Session"
"销毁指定 Weline Server Session","销毁指定 Weline Server Session"
"持久化 Weline Server Session","持久化 Weline Server Session"
"持久化 Weline Server Session 数据","持久化 Weline Server Session 数据"
"回收 Weline Server Session","回收 Weline Server Session"
"执行 Weline Server Session 垃圾回收","执行 Weline Server Session 垃圾回收"
"查看 Weline Server 内存服务","查看 Weline Server 内存服务"
"查看 Weline Server 内存命名空间","查看 Weline Server 内存命名空间"
"查看 Weline Server 内存命名空间详情","查看 Weline Server 内存命名空间详情"
"清理 Weline Server 内存命名空间","清理 Weline Server 内存命名空间"
"删除 Weline Server 内存键","删除 Weline Server 内存键"
"删除 Weline Server 内存服务键","删除 Weline Server 内存服务键"
"持久化 Weline Server 内存服务","持久化 Weline Server 内存服务"
"持久化 Weline Server 内存服务数据","持久化 Weline Server 内存服务数据"
"回收 Weline Server 内存服务","回收 Weline Server 内存服务"
"执行 Weline Server 内存服务垃圾回收","执行 Weline Server 内存服务垃圾回收"
"Weline Server 性能优化指南","Weline Server Performance Optimization Guide"
"仅支持 AJAX 请求","Only supports AJAX requests"
服务器监控,"Server Monitoring"
"请先输入压测目标 URL，例如 http://127.0.0.1:9981/_wls/health。","Please enter the stress test target URL first, e.g., http://127.0.0.1:9981/_wls/health."
压测完成,"Stress Test Completed"
压测失败,"Stress Test Failed"
"请传入有效的压测记录 ID。","Please provide a valid stress test record ID."
未找到对应的压测记录。,"Corresponding stress test record not found."
攻击日志,"Attack Log"
"WLS API 文档","WLS API Documentation"
健康检查,"Health Check"
基础健康检查,"Basic Health Check"
"返回 Worker 基础健康状态","Return Worker basic health status"
详细健康检查,"Detailed health check"
"返回 Worker 详细状态信息，包括内存、请求数、连接数等","Return Worker detailed status info, including memory, requests, connections, etc."
进程管理,"Process Management"
优雅停止,"Graceful Shutdown"
"优雅停止当前 Worker 进程（仅本地访问）","Gracefully Shutdown Current Worker Process (Local Access Only)"
热重载,"Hot reload."
触发代码热重载（仅本地访问）,"Trigger Code Hot Reload (Local Access Only)"
状态查询,"Status Query"
"Dispatcher 状态","Dispatcher status"
"获取 Dispatcher 分流器状态（仅显式兼容/诊断拓扑）","Get Dispatcher status (explicit compatibility/diagnostic topology only)"
"Workers 列表","Workers list"
"获取所有 Worker 进程列表","Get all Worker process list"
调试工具,"Debugging Tools"
请求回显,"Request echo"
回显请求信息，用于调试,"Echo request information for debugging"
内存缓存状态,"Memory cache status"
"获取 WLS 内存缓存状态","Get WLS memory cache status"
日志清理完成,"Log cleanup completed"
安全规则,"Security rules"
"规则 JSON 格式不正确","Rule JSON format is incorrect"
规则数据不能为空,"Rule data cannot be empty"
安全规则已提交，但外部同步通知仍待重试。,安全规则已提交，但外部同步通知仍待重试。
安全规则已保存,"Security rules saved"
保存失败：%{1},"Save failed: %{1}"
"WLS Fiber concurrency probe is disabled.","WLS Fiber concurrency probe is disabled (enable DEV, ENV_TEST, or WLS_FIBER_CONCURRENCY_PROBE=1)."
"WLS fiber probe: parallel clients are required; sequential PHP curl does not simulate users.","Parallel HTTP clients are required; sequential curl in one PHP process does not simulate concurrent users."
"WLS fiber probe: set env WLS_FIBER_CONCURRENCY_PROBE=1 when DEV is off.","When DEV is off, set WLS_FIBER_CONCURRENCY_PROBE=1 to enable the probe."
"Invalid cid parameter for fiber probe.","Invalid cid parameter for fiber probe (use 8–128 chars: letters, digits, _, -)."
定时器间隔必须大于0,"Timer interval must be greater than 0"
"定时器需要 pcntl 扩展或事件循环支持","Timer requires pcntl extension or event loop support"
无效的监听地址：%{1},"Invalid listen address: %{1}"
"Windows 模式：单进程运行","Windows mode: single process"
"Weline Server 只能在 CLI 模式下运行","Weline Server can only run in CLI mode"
"用法：php yourfile.php {start|stop|restart|reload|status}","Usage: php yourfile.php {start|stop|restart|reload|status}"
"Fork 失败","Fork failed"
"setsid 失败","setsid failed"
"二次 Fork 失败","Second fork failed"
"无法保存 PID 到 %{1}","Cannot save PID to %{1}"
高性能异步常驻内存服务器,"High-performance asynchronous persistent memory server"
守护进程模式运行，PID：%{1},"Running in daemon mode, PID: %{1}"
"按 Ctrl+C 停止服务器","Press Ctrl+C to stop server"
"警告：用户 %{1} 不存在","Warning: User %{1} not found"
"警告：无法切换用户到 %{1}","Warning: Cannot switch user to %{1}"
"onWorkerStart 错误：%{1}","onWorkerStart error: %{1}"
"无法创建 Socket：[%{1}] %{2}","Cannot create socket: [%{1}] %{2}"
"onConnect 错误：%{1}","onConnect error: %{1}"
"Worker [%{1}] 退出，退出码：%{2}，正在重启...","Worker [%{1}] exited with code %{2}, restarting..."
"onWorkerStop 错误：%{1}","onWorkerStop error: %{1}"
"正在停止所有 Worker...","Stopping all workers..."
"Windows 不支持重载功能","Windows does not support reload"
"Weline Server 未运行","Weline Server is not running"
"Weline Server 正在运行，Master PID：%{1}","Weline Server is running, Master PID: %{1}"
"Weline Server 已停止","Weline Server stopped"
"域名 %{1} 已被其他证书记录使用（cert_id=%{2}），不能重复保存。请通过证书管理合并或删除重复记录。","Domain %{1} is already in use by another certificate record (cert_id=%{2}) and cannot be saved again. Please merge or delete duplicate records through certificate management."
频率限制,"Frequency Limit"
路径扫描,"Path scan"
恶意特征,"Malicious patterns"
恶意UA,"Malicious UA"
敏感路径,"Sensitive Path"
已封禁,Banned
DDoS攻击,"DDoS attack"
低,Low
中,middle
高,High
严重,serious
"Project name is required.","Project name is required."
"Project domain is invalid.","Project domain is invalid."
"Project URL must start with http:// or https://.","Project URL must start with http:// or https://."
放行健康检查（开发模式）,"Allow health check (dev mode)"
同步域名,"Sync Domains"
申请证书,"Request Certificate"
证书总数,"Total Certificates"
"HTTPS 启用","HTTPS Enabled"
即将过期,"Expiring Soon"
已过期,Expired
已选择,Chosen
项,Item
批量续签,"Batch renew"
批量删除,"Batch delete"
取消选择,"Cancel Selection"
证书列表,"Certificate List"
暂无证书记录,"No certificate records"
"点击""申请证书""开始为您的域名申请 SSL 证书","Click ""Apply for Certificate"" to start applying for an SSL certificate for your domain"
状态,Status
HTTPS,HTTPS
强制HTTPS,"Force HTTPS"
根域→www,"Root domain → www"
到期时间,"Expires At"
颁发机构,Issuer
服务商,"Service provider"
操作,Operation
有效,Active
待申请,Pending
错误,Error
本地,Local
"剩余 %{1} 天","%{1} days remaining"
自签证书,"Self-Signed Certificate"
申请,Apply
续签,Renew
删除,Delete
使用说明,"Usage Guide"
命令行操作,"Command Line Operations"
查看证书状态,"View certificate status"
申请新证书,"Request new certificate"
续签到期证书,"Renew expiring certificates"
同步网站域名,"Sync website domains"
证书存储位置,"Certificate Storage Location"
证书文件存储在：,"Certificate files stored at:"
证书链,"Certificate Chain"
私钥,"Private Key"
中间证书,"Intermediate Certificate"
请确保域名已正确解析到本服务器,"Please ensure the domain is correctly resolved to this server"
证书提供商,"Certificate Provider"
LiteSSL,LiteSSL
取消,Cancel
请重启服务器使配置生效,"Please restart server to apply changes"
请重启或热重载服务器使策略生效,"Please restart or hot-reload the server for the policy to take effect."
确定要为此域名申请证书吗？,"Are you sure you want to request a certificate for this domain?"
请输入联系邮箱,"Please enter contact email"
正在申请证书，请稍候...,"Requesting certificate, please wait..."
确定要续签此证书吗？,"Are you sure you want to renew this certificate?"
正在续签证书，请稍候...,"Renewing certificate, please wait..."
确定要删除此证书吗？此操作不可恢复！,"Are you sure you want to delete this certificate? This action cannot be undone!"
请输入联系邮箱（用于申请证书）,"Please enter contact email (for certificate request)"
所选证书均为本地域名证书，不允许删除,"The selected certificates are all local domain certificates and cannot be deleted"
请先选择要删除的证书,"Please select the certificate to delete first"
确定要删除选中的,"Are you sure you want to delete the selected"
个证书吗？此操作不可恢复！,"A certificate? This operation is irreversible!"
（本地域名证书将被自动跳过）,"(Local domain certificates will be automatically skipped)"
正在批量删除，请稍候...,"Batch deleting, please wait..."
请先选择要续签的证书,"Please select the certificate to renew first"
确定要批量续签选中的,"Are you sure you want to batch renew the selected"
个证书吗？,"A certificate?"
正在批量续签，请稍候...,"Batch renewing, please wait..."
加载中...,Loading...
正在加载优化指南...,"Loading optimization guide..."
加载失败,"Failed to load"
重试,Retry
未知错误,"Unknown error"
"基于您当前的 PHP 环境自动生成的优化建议","Optimization suggestions automatically generated based on your current PHP environment"
生成时间,"Generation time"
操作系统,"Operating system"
本地访问,"Local Access"
"您的 PHP 环境","Your PHP environment"
"PHP 版本","PHP version"
"PHP 可执行文件","PHP executable file"
"php.ini 配置文件","php.ini Configuration file"
扩展目录,"Extension directory"
线程安全模式,"Thread-Safe Mode"
"下载扩展时选择 TS 版本","Select the TS version when downloading the extension"
"下载扩展时选择 NTS 版本","Select the NTS version when downloading the extension"
优化概览,"Optimization Overview"
已优化,Optimized
待优化,"To optimize"
当前加成,"Current bonus"
潜在提升,"Potential improvement"
未优化时：,"Not optimized:"
优化后：,"After Optimization:"
此优化项已配置完成！,"This optimization item has been configured!"
完成后重启服务器,"Restart Server After Completion"
完成以上优化后，需要重启服务器使配置生效：,"After completing the above optimizations, the server needs to be restarted for the configuration to take effect:"
复制命令,"Copy command"
验证优化结果,"Verify optimization results"
重启后可以运行压力测试查看性能提升：,"After restarting, you can run a stress test to see performance improvements:"
安装步骤,"Installation steps"
文件位置：,"File location:"
添加内容：,"Add Content:"
复制,Copy
执行命令：,"Execute command:"
选择您的系统：,"Select Your System:"
打开下载页面,"Open download page"
已复制到剪贴板,"Copied to clipboard"
正在加载服务器状态...,"Loading server status..."
"Session 全部字段","Session all fields"
关闭,Close
字段,Field
类型,Type
值,Value
"该 Session 暂无数据或已过期","This session has no data or has expired"
当前页面已聚焦到内存服务管理，仅展示内存缓存相关管理能力。,"The current page is focused on in-memory service management, displaying only memory cache-related management capabilities."
"当前页面已聚焦到 Session 管理，仅展示会话相关管理能力。","The current page is focused on Session management, displaying only session-related management capabilities."
返回实例管理,"Return to Instance Management"
服务器状态,"Server Status"
刷新,Refresh
优化指南,"Optimization Guide"
运行中,Running
实例总数,"Total Instances"
优化项,"Optimization Item"
"PHP 环境","PHP environment"
"PHP 路径","PHP Path"
配置文件,"Configuration file"
线程安全,"Thread Safety"
服务器实例,"Server Instance"
启动新实例,"Start new instance"
暂无服务器实例,"No server instances"
运行,Run
启动服务器,"Start server"
实例名称,"Instance name"
监听地址,"Listen address"
端口范围,"Port Range"
"Worker 数","Number of Workers"
已停止,Stopped
服务器操作,服务器操作
重启,Restart
停止,Stop
维护,维护
退出维护,退出维护
启动,Start
性能优化,"Performance Optimization"
可优化,Optimizable
已最优,Optimized
已安装,Installed
查看安装指南,"View installation guide"
已连接,Connected
不可用,"Not available"
共享状态管理,"Shared State Management"
"覆盖 Session 与 Memory Service 的状态、检索、清理能力","Override the Status, Retrieval, and Cleanup Capabilities of Session and Memory Services"
"Session 数","Session number"
客户端,Client
内存,Memory
刷新列表,"Refresh list"
立即持久化,"Persist immediately"
"GC 清理","GC cleanup"
"Session ID","Session ID"
字段数,"Number of fields"
预览,Preview
"点击「查看详情」可查看该 Session 的全部字段信息","Click ""View Details"" to see all field information for this Session"
"点击“刷新列表”加载 Session 数据","Click ""Refresh List"" to load Session data"
内存缓存管理,"Memory cache management"
命名空间,Namespace
刷新命名空间,"Refresh Namespace"
键数量,"Key count"
示例键,"Example key"
点击“刷新命名空间”加载缓存目录,"Click ""Refresh Namespace"" to load the cache directory"
键,Key
预览值,"Preview value"
点击命名空间的“查看键”按钮加载详情,"Click the ""View Key"" button of the namespace to load details."
"暂无 Session 数据","No Session Data"
查看全部字段,"View all fields"
查看详情,"View Details"
销毁,Destroy
加载失败：,"Failed to load:"
"确认销毁该 Session 吗？此操作会让对应用户立即失效。","Are you sure you want to destroy this session? This action will immediately invalidate the corresponding user."
"销毁 Session","Destroy Session"
确认销毁,"Confirm Destroy"
操作失败,"Operation failed"
销毁失败,"Destroy Failed"
"Session 持久化成功","Session persistence successful"
"Session 垃圾回收","Session garbage collection"
"请输入最大存活秒数（默认 3600）","Please enter the maximum time-to-live in seconds (default 3600)"
"Session GC 执行成功","Session GC executed successfully"
"Session GC 执行失败","Session GC execution failed"
暂无内存命名空间,"No Memory Namespace"
暂无可展示键数据,"No Key Data to Display"
查看键,"View Keys"
清空,Clear
该命名空间暂无键,"This namespace has no keys yet"
删除键,"Delete key"
敏感,Sensitive
元素,Element
确认清空该命名空间的所有缓存键吗？,"Are you sure you want to clear all cache keys in this namespace?"
清空命名空间,"Clear namespace"
确认清空,"Confirm Empty"
命名空间已清空,"Namespace cleared"
清空失败,"Clear failed"
删除失败,"Deletion failed"
内存服务持久化成功,"Memory service persistence succeeded"
内存服务垃圾回收,"Memory service garbage collection"
