# ISO country_code — default sellable markets for carrier coverage + lane seeds
# Excludes system-embargo territories (AQ/BV/GS/HM/TF/UM/KP).
# Origin assumption: ship-from China (CN). Fees calibrated to China-outbound economy parcel (跨境经济小包) CNY.
# lane: domestic | greater_china | asia_pacific | americas | europe | middle_east_africa | latam | oceania | other
# sort_order: hot position for Region.sort_order seed + checkout postal multi-country (lower = earlier).
country_code	lane	sort_order
PS	middle_east_africa	1910
PW	asia_pacific	1920
PY	latam	1930
QA	middle_east_africa	1940
RE	middle_east_africa	1950
RS	europe	1960
RW	middle_east_africa	1970
SB	asia_pacific	1980
SC	middle_east_africa	1990
SD	middle_east_africa	2000
SH	middle_east_africa	2010
SI	europe	2020
SJ	europe	2030
SK	europe	2040
SL	middle_east_africa	2050
SM	europe	2060
SN	middle_east_africa	2070
SO	middle_east_africa	2080
SR	latam	2090
SS	middle_east_africa	2100
ST	middle_east_africa	2110
SV	latam	2120
SX	latam	2130
SY	middle_east_africa	2140
SZ	middle_east_africa	2150
TC	latam	2160
TD	middle_east_africa	2170
TG	middle_east_africa	2180
TJ	other	2190
TK	asia_pacific	2200
TL	asia_pacific	2210
TM	other	2220
TN	middle_east_africa	2230
TO	asia_pacific	2240
TT	latam	2250
TV	asia_pacific	2260
TZ	middle_east_africa	2270
UG	middle_east_africa	2280
UY	latam	2290
UZ	other	2300
VA	europe	2310
VC	latam	2320
VE	latam	2330
VG	latam	2340
VI	americas	2350
VU	asia_pacific	2360
WF	asia_pacific	2370
WS	asia_pacific	2380
XK	europe	2390
YE	middle_east_africa	2400
YT	middle_east_africa	2410
ZM	middle_east_africa	2420
ZW	middle_east_africa	2430
