存储配置变更,"Storage configuration changes"
本地文件系统,"Local filesystem"
根目录路径,"root directory path"
"基础 URL","Base URL"
单对象字节上限,"Per-object byte limit"
本地存储根目录路径无效。,"The local storage root path is invalid."
存储路径无效,"Invalid storage path"
"本地存储公共基础 URL 无效。","The local storage public base URL is invalid."
"本地公开目录不支持私有文件临时 URL。","A public local directory cannot provide temporary URLs for private files."
"存储 URL 适配器收到了其他磁盘的对象。","The storage URL adapter received an object from another disk."
存储磁盘配置数量超过后台列表上限。,"The number of storage disk configurations exceeds the backend list limit."
存储配置,"Storage configuration"
新增存储配置,"Add storage configuration"
配置不存在,"Configuration does not exist"
编辑存储配置,"Edit storage configuration"
存储标识不能为空,"Storage ID cannot be empty"
已建立的磁盘不能更换驱动,"The driver of an existing disk cannot be changed"
磁盘代码建立后不能更改,"A disk code cannot be changed after creation"
存储标识已存在,"Storage ID already exists"
设置默认存储失败,"Failed to set the default storage disk"
存储配置保存必须位于写意图事务内。,"Storage configuration must be saved inside a write-intent transaction."
保存成功,"Saved successfully"
存储配置保存失败,"Failed to save the storage configuration"
默认存储磁盘不能删除，请先切换默认磁盘。,"The default storage disk cannot be deleted. Switch the default disk first."
存储配置停用必须位于写意图事务内。,"Storage configuration must be disabled inside a write-intent transaction."
存储配置已停用并保留，可在需要时重新启用。,"The storage configuration was disabled and retained so it can be enabled again later."
存储配置删除失败,"Failed to delete the storage configuration"
连接测试成功,"Connection test successful"
连接测试失败，请检查配置,"Connection test failed, please check configuration"
存储连接测试失败,"Storage connection test failed"
设置成功,"Set successfully"
"存储 Provider 配置数据无效。","The storage Provider configuration data is invalid."
"存储 Provider 配置包含未声明字段。","The storage Provider configuration contains an undeclared field."
"存储 Provider 配置值必须是标量。","Storage Provider configuration values must be scalar."
存储配置已被其他请求修改，请刷新后重试。,"The storage configuration was changed by another request. Refresh and try again."
database,database
管理文件存储驱动与凭据,"Manage file storage drivers and credentials"
存储密钥字段数量超过上限。,"The number of storage secret fields exceeds the limit."
存储密钥字段代码无效。,"A storage secret field code is invalid."
存储密钥配置值无效。,"A storage secret configuration value is invalid."
存储凭据解密失败。,"Failed to decrypt the storage credentials."
已启用的存储磁盘数量超过上限。,"The number of enabled storage disks exceeds the limit."
禁用的存储磁盘不能设为默认。,"A disabled storage disk cannot be set as default."
存储磁盘配置数量超过默认切换上限。,"The number of storage disk configurations exceeds the default-switch limit."
默认存储切换必须位于写意图事务内。,"The default storage disk must be switched inside a write-intent transaction."
禁用,Disabled
启用,Enabled
磁盘代码与所选驱动不匹配。,"The disk code does not match the selected driver."
未知的存储驱动。,"Unknown storage driver."
存储显示名称无效。,"The storage display name is invalid."
存储状态无效。,"The storage status is invalid."
默认存储磁盘不能直接禁用，请先切换默认磁盘。,"The default storage disk cannot be disabled directly. Switch the default disk first."
存储配置超过大小限制。,"The storage configuration exceeds the size limit."
确认操作,"Confirm action"
确定,Confirm
取消,Cancel
确定要删除此存储配置吗？,"Are you sure you want to delete this storage configuration?"
新增配置,"New configuration"
ID,ID
标识,Identifier
显示名称,"Display name"
驱动,Driver
默认,Default
状态,Status
创建时间,"Created At"
操作,Actions
暂无存储配置,"No storage configuration yet"
是,Yes
设为默认,"Set as Default"
编辑,Edit
删除,Delete
操作失败,"Operation failed"
返回列表,"Back to List"
存储标识,"Storage ID"
驱动类型,"Driver type"
设为默认存储,"Set as default storage"
配置,Configuration
留空保留原密钥,"Leave blank to keep the existing secret"
保存,Save
测试连接,"Test Connection"
保存失败,"Save Failed"
测试中...,Testing...
测试失败,"Test failed"
写入句柄必须包装有效流。,"The write handle must wrap a valid stream."
存储写入总字节上限无效。,"The total storage write byte limit is invalid."
写入句柄已经关闭。,"The write handle has been closed."
客户端已断开，存储写入已取消。,"The client disconnected, so the storage write was cancelled."
单次存储写入块超过限制。,"The storage write chunk exceeds the size limit."
存储对象超过允许的总字节上限。,"The storage object exceeds the allowed total byte limit."
写入存储流失败。,"Writing to the storage stream failed."
存储写入没有返回对象统计。,"Storage writes do not return object statistics."
刷新存储写入流失败。,"Failed to refresh storage write stream."
无法验证存储写入流大小。,"The storage write stream size could not be verified."
存储写入流字节数与句柄记录不一致。,"The storage write-stream byte count does not match the handle record."
关闭存储写入流失败。,"Failed to close the storage write stream."
存储写入完成回调返回值无效。,"The storage write completion callback return value is invalid."
关闭已取消的存储写入流失败。,"Failed to close the cancelled storage write stream."
读取句柄必须包装有效流。,"The read handle must wrap the valid stream."
读取句柄已经关闭。,"The read handle has been closed."
读取分块大小无效。,"Invalid read chunk size."
客户端已断开，存储读取已取消。,"The client disconnected, so the storage read was cancelled."
读取存储流失败。,"Failed to read storage stream."
关闭存储读取流失败。,"Failed to close the storage read stream."
存储配置快照版本或对象命名空间指纹无效。,"The storage configuration snapshot revision or object-namespace fingerprint is invalid."
存储磁盘可见性配置无效。,"The storage disk visibility configuration is invalid."
"磁盘代码超过 190 字节限制。","The disk code exceeds the 190-byte limit."
磁盘代码包含无效段：%{1},"Disk code contains invalid segment: %{1}"
"URL 解析类型无效。","Invalid URL parsing type."
"临时 URL 有效期必须在 1 到 86400 秒之间。","The temporary URL must be valid between 1 and 86400 seconds."
"图片变体尺寸必须在 1 到 10000 之间。","Image variant dimensions must be between 1 and 10000."
图片变体格式或适配模式无效。,"The image variant format or fit mode is invalid."
"存储 URL 不能为空。","Storage URL cannot be empty."
"存储 URL 必须是站内绝对路径或 HTTP(S) URL。","A storage URL must be a site-absolute path or an HTTP(S) URL."
"存储 URL 类型无效。","The storage URL kind is invalid."
"临时 URL 必须带过期时间且不可共享缓存。","Temporary URLs must have an expiration time and cannot be shared in the cache."
"存储 URL 属性超过限制。","The storage URL attributes exceed the limit."
"存储 URL 属性无效。","A storage URL attribute is invalid."
对象字节数不能小于零。,"The number of bytes in the object cannot be less than zero."
对象修改时间无效。,"The object modification time is invalid."
"对象 MIME 类型无效。","The object MIME type is invalid."
"对象 ETag 无效。","The object ETag is invalid."
对象元数据超过限制。,"The object metadata exceeds the limit."
对象元数据无效。,"The object metadata is invalid."
对象键包含不安全路径段。,"Object key contains unsafe path segment."
存储配置字段代码无效。,"A storage configuration field code is invalid."
存储配置字段定义无效。,"A storage configuration field definition is invalid."
存储配置选项定义无效。,"A storage configuration option definition is invalid."
存储磁盘不存在：%{1},"Storage disk does not exist: %{1}"
存储磁盘配置不可用：%{1},"Storage disk configuration unavailable: %{1}"
"存储磁盘配置 JSON 无效：%{1}","Storage disk configuration JSON is invalid: %{1}"
存储磁盘配置身份无效：%{1},"The storage disk configuration identity is invalid: %{1}"
默认存储磁盘配置冲突或不可用。,"The default storage disk configuration is conflicting or unavailable."
本地媒体存储,"local media storage"
存储磁盘旧别名存在歧义：%{1},"The legacy storage disk alias is ambiguous: %{1}"
存储磁盘配置数量超过运行时上限。,"The number of storage disk configurations exceeds the runtime limit."
"存储 Client lease 已关闭。","Storage Client lease is closed."
存储磁盘占用保护器数量超过上限。,"The number of storage disk usage guards exceeds the limit."
"运行时注册存储磁盘已禁用，请保存磁盘配置并推进 config_revision。","Runtime storage disk registration is disabled. Save the disk configuration and advance config_revision."
"运行时注册存储驱动已禁用，请通过编译 Provider 注册。","Runtime storage driver registration is disabled. Register the Provider through compilation."
存储临时文件前缀无效。,"The storage temporary-file prefix is invalid."
存储临时文件目录无效或不可写。,"The storage temporary-file directory is invalid or not writable."
无法创建存储临时文件。,"Unable to create storage temporary file."
存储临时文件创建失败且资源清理不完整。,"Storage temporary-file creation failed and resource cleanup was incomplete."
存储临时文件未创建在指定目录。,"The storage temporary file was not created in the requested directory."
"Storage 临时文件注册失败且无法删除。","Storage temporary-file registration failed and the file could not be removed."
存储临时文件已释放。,"The storage temporary file has been released."
存储临时文件身份已发生变化。,"The storage temporary file identity has changed."
删除存储临时文件失败。,"Failed to delete storage temporary files."
请求流无效。,"The request stream is invalid."
请求流类型无效。,"The request stream type is invalid."
请求流已关闭。,"The request stream is closed."
关闭请求流失败。,"Failed to close the request stream."
单个请求打开的存储磁盘数超过上限。,"The number of storage disks opened by one request exceeds the limit."
存储配置快照写入校验必须位于持久化事务内。,"Storage configuration snapshot validation must run inside the persistence transaction."
存储磁盘配置在对象提交前已不可用。,"The storage disk configuration became unavailable before the object was committed."
存储磁盘对象命名空间在上传期间已变更，请重试。,"The storage disk object namespace changed during upload. Try again."
存储磁盘配置身份在对象提交前已变化。,"The storage disk configuration identity changed before the object was committed."
存储磁盘在对象提交前已停用。,"The storage disk was disabled before the object was committed."
"存储磁盘 Provider 在上传期间已变更。","The storage disk Provider changed during upload."
存储源名称不能为空,"The storage source name cannot be empty"
存储源名称无效,"Invalid storage source name"
存储目录移动超过条目上限。,"The storage directory move exceeds the item limit."
目录移动失败，且目标副本无法完整回收。,"The directory move failed and the target copy could not be fully reclaimed."
不允许操作存储根目录,"The storage root cannot be modified"
存储驱动提供者不可用：%{1},"Storage driver provider is unavailable: %{1}"
存储驱动未提供可配置契约：%{1},"The storage driver does not provide a configurable contract: %{1}"
"存储 Provider 显示名称无效：%{1}","The storage Provider display name is invalid: %{1}"
"存储 Provider 对象命名空间指纹无效：%{1}","The storage Provider object-namespace fingerprint is invalid: %{1}"
"存储 Provider 注册数量超过上限。","The number of registered storage Providers exceeds the limit."
"存储 Provider 重复注册：%{1}","Storage Provider duplicate registration: %{1}"
"存储 Provider 配置字段超过上限：%{1}","The storage Provider configuration field limit was exceeded: %{1}"
"存储 Provider 配置字段重复或无效：%{1}","A storage Provider configuration field is duplicated or invalid: %{1}"
"存储 Provider 密钥字段超过上限：%{1}","The storage Provider secret field limit was exceeded: %{1}"
"存储 Provider 密钥字段定义无效：%{1}","A storage Provider secret field definition is invalid: %{1}"
"存储 Provider 密钥字段未声明加密：%{1}","A storage Provider secret field is not declared as encrypted: %{1}"
上传源必须是可读取流。,"The upload source must be a readable stream."
客户端已断开，上传已取消。,"The client has been disconnected and the upload has been cancelled."
读取上传流失败。,"Failed to read the upload stream."
读取上传流时连续无数据进展。,"No progress was made while reading the upload stream."
"存储 URL 适配器返回的类型与请求不一致。","The storage URL adapter returned a URL kind different from the requested kind."
单个请求的存储资源句柄数超过上限。,"The number of storage resource handles in one request exceeds the limit."
"Storage 请求资源注册失败且资源无法关闭。","Storage request-resource registration failed and the resource could not be closed."
"Storage 请求资源清理失败：%{1} 个资源未正常关闭。","Storage request resource cleanup failed: %{1} resources were not closed gracefully."
本地存储对象已提交，但统计失败且无法回滚。,"The local storage object was committed, but stat failed and the object could not be rolled back."
注册存储驱动,"Register storage driver"
"允许其他模块注册自定义存储驱动。Observer 可向 drivers 数组添加驱动类。","Allow other modules to register custom storage drivers. Observer adds driver classes to the drivers array."
无法创建目标目录。,"Unable to create target directory."
复制存储对象失败。,"Failed to copy storage object."
保存失败：%{error},"Save failed: %{error}"
删除成功,"Deletion successful"
删除失败：%{error},"Deletion failed: %{error}"
测试失败：%{error},"Test failed: %{error}"
设置失败：%{error},"Setup failed: %{error}"
本地存储,"Local Storage"
"AWS S3","AWS S3"
"阿里云 OSS","Alibaba Cloud OSS"
唯一标识，只能包含字母、数字和下划线,"Unique identifier, can only contain letters, numbers and underscores"
本地存储配置,"Local storage configuration"
"AWS S3 配置","AWS S3 configuration"
"Access Key","Access Key"
"Secret Key","Secret Key"
Region,Region
Bucket,Bucket
前缀路径,"prefix path"
"自定义 Endpoint","Custom Endpoint"
留空使用默认,"Leave blank to use default"
"使用路径风格 Endpoint","Use path style Endpoint"
"阿里云 OSS 配置","Alibaba Cloud OSS configuration"
"AccessKey ID","AccessKey ID"
"AccessKey Secret","AccessKey Secret"
Endpoint,Endpoint
"使用 HTTPS","Use HTTPS"
存储配置版本必须大于零。,"Storage configuration version must be greater than zero."
图片变体尺寸必须大于零。,"Image variant size must be greater than zero."
未知的存储驱动：%{driver},"Unknown storage driver: %{driver}"
"驱动类必须实现 StorageInterface 接口","The driver class must implement the StorageInterface interface"
存储磁盘不存在：%{name},"Storage disk does not exist: %{name}"
"磁盘代码必须使用 type::vendor::instance 三段式格式。","A disk code must use the three-part type::vendor::instance format."
"存储 Provider 代码必须为 type::vendor：%{1}","A storage Provider code must use type::vendor: %{1}"
