请先登录,"Please log in first"
该地区已在系统禁运中，无需重复新增：%{1},"Region already under system embargo; no need to add again: %{1}"
已重新启用系统禁运：%{1},"System embargo re-enabled: %{1}"
已新增系统禁运：%{1},"System embargo added: %{1}"
已保存禁运原因：%{1},"Embargo reason saved: %{1}"
"原因码须为小写字母开头，仅含 a-z、0-9、下划线","Reason code must start with lowercase letter; only a-z, 0-9, underscore"
请填写原因名称,"Please enter reason name"
已删除禁运原因,"Embargo reason deleted"
系统种子原因不可删除,"System seed reasons cannot be deleted"
已解禁（全站生效），条目仍保留,"Lifted (sitewide); entry retained"
已恢复系统禁运（全站生效）,"System embargo restored (sitewide)"
已删除自建禁运条目,"Custom embargo entry deleted"
系统禁运,"System Blacklist"
alert-triangle,alert-triangle
系统默认禁运管理,"System default embargo mgmt"
查看系统禁运,"View system embargoes"
查看系统默认禁运列表,"View system default embargo list"
新增系统禁运,"Add system embargo"
plus,plus
新增系统禁运国家或省份,"Add system embargo country or province"
保存禁运原因,"Save embargo reason"
新增或更新禁运原因字典,"Add or update embargo reason dictionary"
删除禁运原因,"Delete embargo reason"
删除自建禁运原因（种子不可删）,"Delete custom embargo reason (seeds undeletable)"
解禁系统禁运,"Lift system embargo"
unlock,unlock
解禁系统禁运（全站生效）,"Lift system embargo (sitewide)"
恢复系统禁运,"Restore system embargo"
lock,lock
再启用系统禁运,"Re-enable system embargo"
删除自建系统禁运,"Delete custom system embargo"
删除后台自建的系统禁运行（种子不可删）,"Delete admin-created system embargo rows (seeds undeletable)"
"仅允许 POST 请求。","Only POST requests are allowed."
配送航线创建成功。,"Shipping route created."
贸易术语已更新。,"Incoterms updated."
仓与发货地址已绑定。,"Warehouse and ship-from bound."
"已复制 %{1} 条默认站航线到目标发货地址。","Copied %{1} default-site routes to the target ship-from address."
配送服务管理,"Delivery service management"
truck,truck
查看配送服务,"View delivery services"
查看配送服务列表,"View a list of delivery services"
保存配送服务,"Save delivery service"
创建配送服务,"Create a shipping service"
更新贸易术语,"Update Incoterms"
"更新配送航线 Incoterm","Update shipping route Incoterm"
绑定仓发货地址,"Bind warehouse ship-from address"
绑定仓库与发货地址,"Bind warehouse and ship-from address"
复制默认站航线,"Copy default-site routes"
复制默认站航线到发货锚点,"Copy default-site routes to ship anchor"
地区编辑功能暂未开放，请通过数据库或后续版本管理。,"Region editing is not yet available. Please manage via the database or a future version."
排序提交格式无效。,"Invalid sort submit format."
"已更新 %{1} 个国家的热门排序。","Updated popularity sort for %{1} countries."
"已新增 %{1} 个地区。","Added %{1} region(s)."
地区创建成功。,"Region created successfully."
地区管理,"Region Management"
查看地区,"View area"
查看地区列表,"View list of regions"
编辑地区,"Edit region"
保存地区,"save area"
创建地区,"Create a region"
快递公司不存在,"Courier company does not exist"
快递公司代码不能为空,"Carrier code cannot be empty"
快递公司名称不能为空,"Carrier name cannot be empty"
物流跟踪URL模板为必填项，所有快递公司必须支持追踪功能,"Tracking URL template is required, all carriers must support tracking"
快递公司代码已存在,"Carrier code already exists"
API配置JSON格式错误,"API configuration JSON format error"
快递公司管理,"Express company management"
查看快递公司,"View courier companies"
查看快递公司列表,"View list of courier companies"
编辑快递公司,"Edit Carrier"
保存快递公司,"Save courier company"
删除快递公司,"Delete courier company"
切换快递公司状态,"Switch courier company status"
circle,circle
切换快递公司启用/禁用状态,"Switch courier company enable/disable status"
费用模板不存在或不在当前作用范围。,"Fee template not found or out of current scope."
费用模板已更新。,"Fee template updated."
费用模板创建成功。,"The expense template is created successfully."
费用模板已删除。,"Fee template deleted."
费用模板管理,"Expense template management"
查看费用模板,"View fee template"
查看费用模板列表,"View a list of fee templates"
保存费用模板,"Save expense template"
创建或更新费用模板,"Create or update fee template"
删除自建费用模板,"Delete custom fee template"
删除自建费用模板（系统种子不可删）,"Delete custom fee template (system seeds undeletable)"
物流跟踪管理,"Logistics tracking management"
search,search
查看物流跟踪,"View logistics tracking"
查看物流跟踪记录,"View logistics tracking records"
查询物流位置,"Track shipment location"
按发货记录查询当前位置,"Query current location by shipment record"
免邮规则创建成功。,"Free shipping rule created successfully."
免邮规则已删除。,"Free shipping rule deleted."
免邮规则已启用。,"Free shipping rule enabled."
免邮规则已禁用。,"Free shipping rule disabled."
免邮规则管理,"Free shipping rule management"
查看免邮规则,"View free shipping rules"
查看免邮规则列表,"View the list of free shipping rules"
保存免邮规则,"Save free shipping rules"
创建免邮规则,"Create a free shipping rule"
启用免邮规则,"Enable free-shipping rule"
启用免邮规则（含系统种子）,"Enable free-shipping rule (incl. system seeds)"
禁用免邮规则,"Disable free-shipping rule"
ban,ban
禁用免邮规则（含系统种子）,"Disable free-shipping rule (incl. system seeds)"
删除自建免邮规则,"Delete custom free-shipping rule"
删除自建免邮规则（种子不可删）,"Delete custom free-shipping rule (seeds undeletable)"
配送系统,"Shipping System"
配送系统管理聚合页,"Delivery system management aggregation page"
查看配送系统,"View delivery system"
grid,grid
查看配送系统聚合页,"View the delivery system aggregation page"
客户ID不能为空,"Customer ID cannot be empty"
运送地址管理,"Shipping address management"
查看运送地址,"View shipping address"
查看运送地址列表,"View a list of shipping addresses"
编辑运送地址,"Edit Delivery Address"
保存运送地址,"Save shipping address"
删除运送地址,"Delete shipping address"
设置默认运送地址,"Set default shipping address"
启用运送地址,"Enable shipping address"
禁用运送地址,"Disable shipping address"
待发货,Pending
运输中,"In Transit"
已送达,Delivered
异常,Exception
不支持追踪,"Not Supported"
取件,Pickup
到达,Arrival
派送,Delivery
快速添加地址,"Quick add address"
收货人,Recipient
电话,Phone
详细地址,"Detailed address"
同时用作结账地址,"Also use as checkout address"
保存并使用,"Save and use"
收货地址,"Delivery Address"
发货地址,"Shipping Address"
请先保存网站，再配置禁运区域。,"Save the website first, then configure embargo zones."
请先保存网站，再配置可售目的地。,"Save the website first, then configure sellable destinations."
请先保存渠道，再配置禁运区域。,"Save the channel first, then configure embargo zones."
请先保存渠道，再配置可售目的地。,"Save the channel first, then configure sellable destinations."
请先保存商店，再配置禁运区域。,"Save the store first, then configure embargo zones."
请先保存商店，再配置可售目的地。,"Save the store first, then configure sellable destinations."
默认,Default
邮编：,"Postal code:"
编辑,Edit
设为默认,"Set as Default"
删除,Delete
新增,Add
可先填写邮编自动定位省市区；保存后当前页面会刷新地址卡片，不会跳转。,"Optionally fill postal code to auto-locate region; after save this page refreshes the address card without navigating away."
地址名称,"Address Name"
联系电话,"Contact Phone"
设为默认地址,"Set as Default Address"
保存地址,"Save Address"
取消,Cancel
管理顶部「配送至」与订单收货时使用的地址。,"Manage addresses used by the header Deliver-to picker and for order receiving."
新增收货地址,"Add Delivery Address"
还没有收货地址,"No delivery address yet"
点击“新增收货地址”，直接在当前页面维护。顶部「配送至」选择的地址也会出现在这里。,"Click ""Add Receiving Address"" to maintain it here. Addresses chosen in the header Deliver-to picker also appear here."
管理店铺或账户发货时使用的寄出地址。,"Manage the shipping addresses used when shipping from the store or account."
新增发货地址,"Add Shipping Address"
还没有发货地址,"No shipping address yet"
发货地址是店铺寄出地址，与顶部「配送至」不是同一套。,"Shipping addresses are outbound store addresses, not the same as the header Deliver-to picker."
去收货地址查看顶部配送地址,"Go to receiving addresses for header Deliver-to"
发货地址加载失败，请稍后重试,"Failed to load shipping addresses. Please try again later."
收货地址加载失败，请稍后重试,"Failed to load delivery addresses. Please try again later."
中国,China
国家/地区,Country/Region
省/州,State/Province
城市,City
区县,District
关闭,Close
"例如：华东仓 / 家","e.g., East China Warehouse / Home"
请输入联系人,"Please enter the contact person"
请输入联系电话,"Please enter contact phone"
联系人,Contact
管理配送收货地址,"Manage delivery addresses"
管理发货地址,"Manage shipping addresses"
帮助中心,"Help Center"
本站由中国大陆仓库发往海外。本页说明制作或备货、国际运输、运费、跟踪与异常处理。下单前请核实具体款式与目的地的安排；预售或定制说明不限制您依法享有的权利。,"We ship overseas from a warehouse in mainland China. This page explains production or preparation, international transit, shipping charges, tracking and delivery issues. Confirm arrangements for your particular style and destination before ordering. Preorder or custom-order information does not restrict your legal rights."
目录,Contents
一、发货时效,"1. Dispatch times"
"1.1 制作或备货时间与国际运输时间分开计算。下单前请联系客服核实所选款式的库存、制作方式及预计发货时间；本页不承诺统一发货天数。","1.1 Production or preparation time is separate from international transit time. Before ordering, contact us to confirm stock availability, how your chosen style is made and its estimated dispatch date. This page does not promise a single dispatch timeframe for every item."
"1.2 国际运输从实际发货后开始计算，预计时间因目的地、承运商、旺季及清关情况而异。下单前请核实目的地可用的配送服务及预计运输时间；预计时间不限制适用法律规定的交付义务与救济。","1.2 International transit starts after dispatch. Estimates vary by destination, carrier, peak season and customs clearance. Before ordering, confirm the delivery services available for your destination and estimated transit times. Estimates do not limit delivery obligations or remedies under applicable law."
"1.3 预售或定制款的工艺、面料、尺码与制作时间须在下单前确认。若无法按承诺时间发货，我们会及时通过订单联系方式通知新的预计发货日期，并依适用法律提供同意等待或取消并退款的选择；依法需要您同意的延迟不会仅凭订单备注生效。","1.3 Confirm the workmanship, fabric, size and production time for preorder or custom items before ordering. If we cannot dispatch as promised, we will promptly notify you using your order contact details of the revised estimated dispatch date, with the choice to agree to wait or cancel for a refund as required by applicable law. Where your consent is legally required, an order note alone does not make a delay effective."
"1.4 合并与拆单：同一地址可合并的订单可能并包发出；缺货时可能先发有货部分并告知补发或退款方案，不无故整单取消。","1.4 Merge/split: mergeable same-address orders may ship together; if partial OOS we may ship available items and advise restock/refund—no arbitrary full cancel."
二、配送范围,"2. Delivery coverage"
"2.1 发货地为中国大陆。海外及跨境地址是否可配送、可选航线与运费，以结账页计算结果为准。","2.1 Orders are dispatched from mainland China. Delivery availability, shipping routes and charges for overseas or cross-border addresses are determined at checkout."
"2.2 偏远岛屿、需多次中转或当地承运商覆盖弱的地址，可能仅支持指定渠道，时效长于常规航线。","2.2 Remote islands, addresses requiring multiple transfers or areas with limited local carrier coverage may have restricted shipping options and longer transit times."
"2.3 地址无法派送或不完整时，需您配合更正；因此产生的滞留、退回或改派费用可能由买家承担。","2.3 If an address cannot be delivered or is incomplete, you must help correct it; hold/return/redirect fees may be buyer-paid."
三、运费与包邮,"3. Shipping charges and free shipping"
"3.1 运费按目的地、重量/体积与国际航线在结账页计算，下单前请确认最终金额。","3.1 Freight is calculated at checkout by destination, weight/volume, and international lane—confirm the final amount before ordering."
"3.2 满额包邮等活动一般只减免去程标准运费，不含关税、清关、回程或二次派送；规则以活动页与结算提示为准。","3.2 Threshold free-shipping promos usually waive outbound standard freight only—not duties, clearance, returns, or redelivery; see promo/checkout notices."
"3.3 加急、保价等增值服务如有开通，将单独计费并在结算时明示。","3.3 Rush, insurance, and similar add-ons, if offered, are priced separately and shown at checkout."
"3.4 因拒收、地址错误、长期无人签收、清关失败导致退回或销毁的，退回/滞留费用通常由买家承担，重发需补差价。","3.4 Returns/destruction from refusal, wrong address, long no-show, or failed clearance usually make hold/return fees buyer-paid; reship requires paying the difference."
四、物流跟踪,"4. Tracking your order"
"4.1 发货后可在「我的订单」查看运单号与节点。承运商同步可能延迟；国际干线连续数日无更新较常见，不等同于丢件。","4.1 After dispatch, view the tracking number and updates in My Orders. Carrier updates may be delayed; a gap of several days during international transit does not necessarily mean a parcel is lost."
"4.2 若显著超过参考时效仍无进展：请先排除目的地节假日与清关中状态，再联系客服并提供订单号协助查询。","4.2 If there are still no updates significantly beyond the estimated timeframe, check for destination holidays or ongoing customs clearance, then contact us with your order number so we can investigate."
"4.3 请保持收件电话/邮箱畅通，并留意海关或本地派送通知；需改派自提点时按当地承运商指引操作。","4.3 Keep your delivery phone number and email accessible, and watch for customs or local delivery notices. Follow the local carrier's instructions if collection at a pickup point is required."
五、签收与验收,"5. Receiving and checking your order"
签收时请核对外包装；明显破损、浸水、变形时，建议拍照留证并尽快联系客服，以便调查。这一建议不缩短您的法定权利期限。,"Check the outer packaging on receipt. If it is visibly damaged, wet or deformed, we recommend taking photos and contacting us promptly to help us investigate. This recommendation does not shorten any statutory time limit for your rights."
运输破损或短少：建议保留外包装与运单，便于我们向承运商查验。承运商的申报期限不限制您向我们依法主张的权利。,"Transit damage or missing items: We recommend keeping the packaging and shipping label to help us investigate with the carrier. The carrier's reporting deadline does not limit your legal rights against us."
质量、错发、尺码问题适用「退换政策」；跨境寄回中国仓库的运费与税费承担见退换政策与配送政策。,"Quality, wrong item, and size issues follow the Returns Policy; who pays for returns to China and taxes follows Returns + Shipping Policy."
代收点/快递柜签收视为送达节点；代收后异常请尽快联系客服协助核查。,"Pickup-point/locker receipt counts as delivered; contact support ASAP for post-pickup issues so we can help investigate."
试穿时建议保留吊牌并避免下水洗涤。预售、按单制作或标准尺码选择并不当然排除法定退货权；真正依个人规格制作的商品可能适用法律规定的撤回权例外，但瑕疵、错发等法定救济不受影响。,"When trying on an item, we recommend keeping the tags attached and avoiding washing it. Preorders, made-to-order production or standard size choices do not automatically exclude statutory return rights. Goods genuinely made to personal specifications may qualify for a statutory withdrawal exception, but remedies for defects, incorrect items and other statutory claims remain unaffected."
六、异常与赔付,"6. Delivery issues and compensation"
"6.1 运输丢失或严重破损：请提供订单号及可取得的运单信息或照片，我们会调查并依法安排补发、退款或其他适用救济。因我们责任产生的退款不会自动扣除所谓不可回收费用，承运商调查不限制您的法定权利。","6.1 Lost or seriously damaged parcels: Provide your order number and any available tracking details or photos. We will investigate and arrange a replacement, refund or other applicable remedy as required by law. Refunds for issues that are our responsibility are not automatically reduced by so-called unrecoverable charges. Carrier investigations do not limit your statutory rights."
"6.2 显示已签收但未收到：建议先向家人、门卫、邻居及代收点确认；仍无法找到时请尽快联系客服启动查询。物流签收记录并非实际收到商品的唯一依据，报告建议不缩短法定权利期限。","6.2 Marked delivered but not received: We recommend checking with household members, reception staff, neighbours and collection points first. If you still cannot locate the parcel, contact us promptly so we can investigate. A carrier delivery scan is not the only evidence of actual receipt, and our reporting recommendation does not shorten statutory time limits."
"6.3 关税、清关与弃件以「配送政策」及结算页税费说明为准；默认税费到付、买家配合清关。","6.3 Duties, clearance, and abandonment follow the Shipping Policy and checkout tax notices; duties are collect by default and buyers must cooperate with clearance."
"6.4 海关查验、口岸拥堵或航班调整可能影响运输，我们会协助查询并及时告知进展。延误不构成一概免责的理由；您依法享有的取消、退款及其他救济不受本说明限制。","6.4 Customs inspections, port congestion or flight changes may affect transit. We will help investigate and keep you updated. Delay is not a blanket exclusion of liability. This guidance does not restrict your legal rights to cancellation, a refund or other remedies."
七、发票与配送凭证,"7. Invoices and proof of delivery"
如需发票，请在下单时按结算页指引填写开票信息，或在订单完成后联系客服补开。物流面单与签收记录可作为收货凭证，请妥善保存电子运单信息。,"If you need an invoice, enter the invoice details as instructed at checkout, or contact support after your order is completed. Shipping labels and delivery records can serve as proof of receipt. Please keep your electronic tracking information."
八、联系我们,"8. Contact us"
配送相关问题可通过帮助中心「联系客服」、联系我们页或订单详情页售后入口提交。请尽量提供订单号、运单号与问题截图，以便更快处理。,"For delivery questions, use Contact Support in the Help Center, the Contact Us page or the after-sales option in your order details. Include your order number, tracking number and screenshots where possible to help us respond more quickly."
查看退换政策,"View returns policy"
查看退款政策,"View refund policy"
返回帮助中心,"Back to the Help Center"
支付方式说明,"Payment methods guide"
配送说明目录,"Shipping guide contents"
本店从中国国内发往海外。汉服跨境回程成本较高，更建议您下单前确认尺码与款式。发出后，个人原因的退换通常难以安排；若遇到质量、错发或运输损坏，我们会认真处理。与部分平台的无理由退货不同，我们的售后重心是质量与发货准确性。退款到账另见退款政策。,"We ship from mainland China overseas. Cross-border return costs for hanfu are high, so we recommend confirming size and style before ordering. After dispatch, returns for personal reasons are usually difficult to arrange; if you encounter quality issues, wrong items, or shipping damage, we will handle them carefully. Unlike no-reason returns on some platforms, our after-sales focus is product quality and shipping accuracy. Refund timing is covered in the Refund Policy."
一、适用条件,"1. Eligibility"
"1.1 跨境售后说明：本店从中国国内发往海外。汉服跨境回程运费与税费较高，试穿后也较难二次销售，因此更建议您下单前确认尺码与款式。发出后，个人原因的退换通常难以安排；若遇到质量、错发或运输损坏，我们会认真处理。与部分平台的无理由退货不同，我们的售后重心是质量与发货准确性。","1.1 Cross-border after-sales note: We ship from mainland China overseas. Cross-border return freight and taxes for hanfu are high, and tried-on garments are hard to resell, so we recommend confirming size and style before ordering. After dispatch, returns for personal reasons are usually difficult to arrange; if you encounter quality issues, wrong items, or shipping damage, we will handle them carefully. Unlike no-reason returns on some platforms, our after-sales focus is product quality and shipping accuracy."
"1.2 可申请退换的情形：质量问题（明显做工瑕疵、污渍、破损且非买家使用造成、与描述明显不符）、错发或漏发、运输损坏。请保留商品与凭证并尽快申报；我们确认属商家或物流责任后，将优先安排补发、换货或退款。","1.2 Eligible returns/exchanges: quality issues (clear workmanship defects, stains, damage not caused by the buyer, clear mismatch with the description), wrong or missing items, or shipping damage. Keep the goods and proof and report promptly; after we confirm seller or carrier responsibility, we prioritize reshipment, exchange, or refund."
"1.3 特殊品类：定制/来图定做、剪裁改衣、贴身内衣、已下水、已拆封易耗配件，以及商品页标注不便退换的特价/清仓商品，在无质量问题时通常难以办理退换。","1.3 Special categories: Custom/made-to-order, altered garments, underwear, washed items, opened consumable accessories, and clearance items marked as not convenient to return are usually difficult to return when there is no quality issue."
"1.4 法定例外：若您所在地区的强制性法律要求提供法定冷静期或无理由退货，我们将在该强制范围内依法办理。这与我们日常以质量与发货准确性为主的售后服务不同；非质量原因的回程运费与税费通常由买家承担（法律另有规定除外）。","1.4 Statutory exceptions: If mandatory law where you are requires a cooling-off period or no-reason returns, we will process within that mandatory scope. That differs from our day-to-day after-sales focus on quality and shipping accuracy; for non-quality returns, return freight and taxes are usually paid by the buyer (unless law says otherwise)."
批发特别说明,"Wholesale notes"
批发/批量订单除适用上述质量与物流责任条款外：正常范围内损耗（如可熨烫褶皱、轻微线头、约定色差/公差内的批次差异）通常不作为退货理由；确认的质量问题仍可按件/按批次提供凭证，我们会按责任范围处理，一般不以「整单无理由」方式退货。,"For wholesale/bulk orders, in addition to the quality and carrier-responsibility rules above: normal in-range wear (e.g. ironable wrinkles, minor threads, batch color variance within agreed tolerance) is usually not a return reason; confirmed quality issues can still be handled with per-piece/batch evidence by responsibility scope—generally not as whole-order no-reason returns."
查看批发说明,"View wholesale FAQ"
二、通常难以办理退换的情况,"2. Situations where returns are usually difficult to arrange"
发货后因个人喜好、选错颜色/尺码、轻微试穿后不想要、改变主意等非质量原因；,"After dispatch: personal preference, wrong color/size, light try-on then change of mind, or other non-quality reasons;"
超过约定或法定退换期限，且不存在质量、错发或运输损坏问题；,"Beyond the agreed or statutory return window with no quality, wrong-item, or shipping-damage issue;"
商品已穿着使用、洗涤、染色、裁剪、熨烫变形，或吊牌/防伪标缺失导致无法二次销售（质量问题除外）；,"Worn, washed, dyed, cut, heat-damaged, or missing tags/security labels so the item cannot be resold (except quality issues);"
批发订单正常范围内损耗（可恢复褶皱、轻微线头、约定公差内色差等）；,"Wholesale orders: normal in-range wear (recoverable wrinkles, minor threads, color variance within agreed tolerance, etc.);"
非本站出售商品、缺少配件/赠品、或凭证不全无法核对订单；,"The item was not purchased from this store, accessories or gifts are missing, or insufficient proof prevents us from verifying the order;"
虚拟商品、电子兑换码、已履约的服务类商品（无质量问题）。,"Digital goods, electronic redemption codes or services that have already been provided, where there is no quality issue."
三、办理流程,"3. How to request a return or exchange"
"3.1 提交申请：登录账户进入「我的订单」，选择对应订单与商品，提交售后（退货/换货/仅退款），填写原因并上传清晰照片或视频。","3.1 Submit a request: Sign in and open My Orders, select the relevant order and item, then request a return, exchange or refund only. Explain the reason and upload clear photographs or videos."
"3.2 审核：我们将在 1–3 个工作日内完成初审。审核通过后，系统或客服会告知退货地址、寄回要求与注意事项。","3.2 Review: We complete the initial review within 1–3 business days. Once approved, the system or our support team will provide the return address, shipping requirements and instructions."
"3.3 寄回商品：请使用可追踪物流寄回，妥善包装并保留运单。建议在包裹内附上订单号与联系方式。","3.3 Send the item back: Use a trackable service, pack the goods securely and keep the shipping receipt. We recommend including your order number and contact details inside the parcel."
"3.4 收货确认：我们收到退回商品后，将在 1–2 个工作日内完成质检核对。","3.4 Receipt and inspection: After receiving your return, we complete the quality and item checks within 1–2 business days."
"3.5 完成处理：退货通过后办理退款；换货通过后安排重新发出。进度可在订单售后详情中查看。","3.5 Completion: Approved returns are refunded and approved exchanges are dispatched. You can follow progress in your order's after-sales details."
四、运费说明,"4. Return shipping costs"
"4.1 因质量问题、错发漏发或运输损坏且经确认属商家或物流责任的退换：合理范围内寄回中国仓库的标准国际运费按责任归属处理（核实报销、直免或以客服书面确认为准）；加急/保价等增值费用除外。","4.1 For returns due to quality issues, wrong/missing items, or shipping damage confirmed as seller or carrier responsibility: reasonable standard international return freight to our China warehouse is handled by responsibility (reimbursed, waived, or as confirmed in writing by support); express/insurance extras excluded."
"4.2 个人原因的退换通常难以安排。若因强制性法律必须办理且非质量问题，全部回程费用（寄回中国仓库的国际运费、可能产生的出口/进口税费与清关费）由买家承担；换货再发出的运费以客服确认为准。包邮一般不包含回程。","4.2 Returns for personal reasons are usually difficult to arrange. If mandatory law requires a non-quality return, the buyer pays all return costs (international freight to our China warehouse, possible export/import taxes and clearance); outbound exchange shipping follows support confirmation. Free shipping generally excludes returns."
"4.3 到付件：未经事先同意寄到付至我方仓库的包裹，我们可能无法签收，相关费用由寄件方承担。","4.3 Cash-on-delivery returns: Packages sent COD to our warehouse without prior consent may not be accepted; related costs are borne by the sender."
"4.4 因地址或签收原因导致退回、长期不取件，或跨境退货产生目的地出口手续/原进口税费不退等情况，除质量问题且我们书面同意承担外，相关成本通常需由买家自行处理。","4.4 Returns caused by address or delivery issues, long unclaimed parcels, or cross-border return export formalities / non-refundable original import taxes—except quality issues we agree in writing to cover—are usually handled by the buyer."
五、退款金额与到账,"5. Refund amounts and timing"
"5.1 退款金额一般为商品实付金额。因质量问题退货的，符合条件的运费一并退还；个人原因退货可能扣除已产生的运费优惠或回程运费。","5.1 The refund normally equals the amount actually paid for the item. For quality-related returns, eligible shipping charges are also refunded. For returns for personal reasons, shipping discounts already applied or return shipping costs may be deducted."
"5.2 优惠券、满减、积分、赠品：已使用的优惠是否退回以活动规则为准；赠品如已使用或损坏，可能需补差或从退款中扣除相应金额。","5.2 Coupons, spending discounts, points and gifts: Whether used benefits are restored depends on the offer's terms. If a gift has been used or damaged, an additional payment may be required or its value may be deducted from the refund."
"5.3 到账时效：质检通过后 3–15 个工作日内原路退回，具体到账时间以支付渠道（银行卡、第三方支付等）为准。节假日可能顺延。","5.3 Refund timing: Refunds are returned to the original payment method within 3–15 business days after the quality inspection is passed. The exact time depends on the payment provider, such as your bank or third-party payment service. Public holidays may cause delays."
六、换货规则,"6. Exchange rules"
"6.1 换货适用于同款不同尺码/颜色且库存充足的情形；无同款库存时，可改为退货退款或协商其它方案。","6.1 Exchanges are available for a different size or color of the same style when stock is available. If the same style is unavailable, you may choose a return and refund or agree on another solution with us."
"6.2 换货商品寄回要求与退货相同。换出商品发货后，物流与签收规则适用《配送说明》。","6.2 Items sent back for exchange must meet the same requirements as returns. Once the replacement is dispatched, the Shipping Information rules for tracking and receipt apply."
"6.3 定制类商品通常不便换款，仅对确认的质量问题提供修补、重做或退款方案。","6.3 Made-to-order items are usually inconvenient to exchange for a different style. For confirmed quality issues, we offer repair, remaking, or a refund."
七、尺码与试穿建议,"7. Sizing and trying on Hanfu"
下单前请对照商品页尺码表与自身三围/身高体重；若介于两码之间，可先咨询客服。,"Before ordering, compare the product's size chart with your body measurements, height and weight. If you are between sizes, contact support for advice."
试穿请在清洁环境进行，避免化妆沾染、香水、烟味；保留吊牌与原包装。,"Try items on in a clean environment, avoiding makeup stains, perfume and smoke odors. Keep the tags and original packaging."
汉服形制、交领宽窄、袖型等观感因个人审美差异较大；非质量问题的退换通常难以安排，请优先参考详情页实拍与尺寸后再下单。,"Hanfu silhouette, collar width, and sleeve style vary by taste; non-quality returns are usually difficult to arrange—please check product photos and measurements before ordering."
八、争议与联系,"8. Questions and disputes"
如对审核结果有异议，可通过帮助中心「联系客服」或联系我们页提交补充材料。我们将在合理期限内复核。更完整的退款条款亦可参阅退款政策页。,"If you disagree with a review outcome, submit additional information through Contact Support in the Help Center or the Contact Us page. We will review it within a reasonable timeframe. For fuller refund terms, please also see the Refund Policy page."
查看配送说明,"View shipping information"
前往我的订单,"Go to My Orders"
退换政策目录,"Returns policy contents"
确认操作,"Confirm action"
确定,Confirm
操作失败,"Operation failed"
确定要设置为默认地址吗？,"Are you sure you want to set this as the default address?"
确定要删除此地址吗？,"Are you sure you want to delete this address?"
新增地址,"Add Address"
暂无地址，请添加发货地址,"No address. Please add a shipping address."
地址,Address
邮编,"Postal Code"
发货地址详情,"Shipping address details"
返回列表,"Return to List"
默认地址,"Default Address"
国家,Country
省份,Province
街道地址,"Street Address"
邮政编码,"Postal Code"
完整地址,"Full Address"
创建时间,"Created At"
更新时间,"Update time"
例如：主仓库、分仓库等,"e.g., Main Repository, Sub-Repository, etc."
联系人姓名,"Contact Name"
保存,Save
收货地址管理,"Delivery Address Management"
暂无地址，请添加收货地址,"No address. Please add a delivery address."
收货地址详情,"Shipping Address Details"
编辑收货地址,"Edit shipping address"
