翻译文本,"Translated Text"
渠道代码（小写字母、数字、下划线），留空自动生成,"Channel code (lowercase letters, numbers, underscores), leave blank for auto-generation"
描述,Description
API配置,"API Configuration"
API密钥,"API Key"
从翻译服务提供商获取API密钥,"Get API key from translation service provider"
API密钥（Secret）,"API Secret"
部分服务商需要额外的Secret密钥,"Some providers require additional Secret key"
API端点URL,"API Endpoint URL"
API接口地址，留空使用默认地址,"API endpoint address, leave blank to use default address"
高级配置,"Advanced Configuration"
启用渠道,"Enable Channel"
设为默认渠道,"Set as Default Channel"
数字越大优先级越高,"Higher number means higher priority"
速率限制（每分钟）,"Rate Limit (per minute)"
每日限制,"Daily Limit"
每字符成本,"Cost per Character"
支持的语言,"Supported Languages"
选择支持的语言,"Select Supported Languages"
全选,"Select All"
全不选,"Deselect All"
保存,Save
AI翻译,"AI translation"
未找到目标输入框：%{1},"Target input box not found: %{1}"
输入框内容为空，无法翻译,"The input field is empty, cannot translate"
Translating...,Translating...
"Translation success","Translation success"
"Translation failed","Translation failed"
"Translation request failed, please try again later.","Translation request failed, please try again later."
未找到可用的翻译渠道,"No available translation channel found"
未找到渠道适配器：%{1},"Channel adapter not found: %{1}"
适配器类不存在：%{1},"Adapter class does not exist: %{1}"
适配器类必须实现ProviderInterface接口：%{1},"Adapter class must implement the ProviderInterface: %{1}"
