不支持的智能体操作：%{1},Unsupported agent operation: %{1}
适合单个项目的轻量配置。,Simple setup for one project with minimal overhead.
适合并行管理多个项目的团队。,Recommended for teams managing many projects in parallel.
以治理与安全为先，审批更清晰。,Governance-first setup with safer defaults and clear approvals.
适合单个项目的轻量流程。,Simple workflow for one project.
适合多项目并行的优先级流程。,Prioritized workflow for many projects.
严格安全与治理模式。,Strict safety and governance mode.
生成 AI 建议并自动填充字段,Generate AI suggestion and auto-fill fields
检查高级设置并保存,Review advanced settings and save
通用助手,General Assistant
日常多项目协作与轻量执行。,Daily multi-project collaboration and lightweight execution.
编码助手,Coding Assistant
代码阅读、调试、Shell 诊断与补丁规划。,"Code reading, debugging, shell diagnostics, and patch planning."
监控、事件分流与稳定性优先排障。,"Monitoring, incident triage, and stability-first troubleshooting."
关键词策略、优化规划与内容结构指导。,"Keyword strategy, optimization planning, and content structure guidance."
协调,Coordination
汇总,Summaries
轻量运维,Light ops
调试,Debugging
自动化,Automation
实现支持,Implementation support
健康检查,Health checks
日志分析,Log analysis
事件 SOP,Incident SOP
关键词,Keywords
页面优化,Page optimization
内容规划,Content planning
面向单项目的轻量协作助手。,Focused assistant for one project with low overhead coordination.
针对单项目聚焦优化。,Optimized for single-project focus.
以治理为先、可审计可预期的执行助手。,Governance-first assistant with predictable and auditable execution.
针对治理与合规优化。,Optimized for governance and compliance.
面向多项目并行与优先级分发的协调助手。,Coordinator assistant for many parallel projects with priority routing.
针对多项目路由优化。,Optimized for multi-project routing.
要执行的命令（例如 php bin/w cache:clear）,Command to run (e.g. php bin/w cache:clear)
