请先登录,"Please log in first"
在前台订单详情商品区块内注入扩展内容。,"Inject content inside the storefront order detail items section."
订单详情页后置内容,"Order detail content after"
在前台订单详情页正文后注入扩展内容。,"Inject content after the storefront order detail page body."
订单已加载,订单已加载
确定要取消此订单吗？取消后将自动退款。,"Are you sure you want to cancel this order? An automatic refund will be issued after cancellation."
确定要取消此订单吗？,"Are you sure you want to cancel this order?"
规格,规格
您还没有订单,"You have no orders yet"
该状态下暂无订单,"No orders in this status"
查看全部订单,"View all orders"
去购物,"Go Shopping"
订单号：%{1},"Order #%{1}"
订单金额：,"Order Amount:"
待支付,"To pay"
订单商品快照缺失，请重新导入订单数据,"Order item snapshot is missing. Please reimport order data."
"还有 %{1} 件商品，查看详情","%{1} more item(s). View details"
查看详情,"View Details"
继续支付,"Continue Payment"
取消订单,"Cancel Order"
申请退货,"Request return"
不可取消,"No cancellation"
返回订单位置,"Back to order"
订单状态,"Order Status"
支付状态,"Payment Status"
配送状态,"Shipping status"
支付方式,"Payment Method"
配送方式,"Shipping Method"
订单金额,"Order Amount"
订单商品,"Order Items"
支付流程会嵌入当前个人中心页面，不再跳到独立订单页。,"The payment flow is embedded in the current account page and no longer opens a separate order page."
×%{1},×%{1}
订单分页,"Order pagination"
待处理,"To process"
处理中,Processing
已支付,Paid
已发货,Fulfilled
已完成,Completed
已取消,Canceled
已退款,Refunded
已付款,Paid
"商品 #%{1}","Product #%{1}"
已取消或已退款的订单无法发货。,"Cancelled or refunded orders cannot be shipped."
仅已付款订单可发货。,"Only paid orders can be shipped."
仅已发货订单可标记为已送达。,"Only shipped orders can be marked as delivered."
不支持的订单状态。,"Unsupported order status."
"不允许的订单状态变更：%{1} → %{2}","Order status transition %{1} -> %{2} is not allowed."
不支持的支付状态。,"Unsupported payment status."
您无法取消该订单。,"You cannot cancel this order."
已完成订单无法取消，请申请退换货。,"Completed orders cannot be cancelled. Please request a return instead."
订单已退款。,"The order has already been refunded."
订单已发货，取消前请先提交退换货申请。,"This order has already shipped. Please submit a return before cancellation."
退换货待确认，收到退货后方可取消订单。,"The return is pending confirmation. Cancellation will be available after the return is received."
当前订单状态不允许取消。,"The current order status does not allow cancellation."
在一处完成订单搜索、审核与状态变更。,"Manage order search, review, and status transitions from one place."
订单总数,"Total Orders"
已完成/已取消,"Completed / Cancelled"
订单号,"Order number"
按订单号搜索,"Search by order number"
"客户 ID","Customer ID"
"按客户 ID 搜索","Search by customer ID"
状态,Status
全部状态,"All statuses"
应用筛选,"Apply Filters"
重置,Reset
总计,Total
创建时间,"Creation time"
操作,Actions
查看,View
未找到订单。,"No orders found."
请调整筛选条件，或从前台下单流程创建订单。,"Try adjusting the filters or create a new order flow from the storefront."
返回订单列表,"Back to Orders"
查看订单数据、商品行与当前状态。,"Review the order payload, items, and current status."
订单摘要,"Order Summary"
订单总额,"Grand Total"
更新状态,"Update Status"
保存状态,"Save Status"
商品,Product
SKU,SKU
数量,Qty
单价,Price
小计,"Row Total"
暂无订单商品。,"No order items found."
订单通知,"Order notice"
订单已更新,"Order updated"
请确认操作,"Please confirm"
操作失败,"Operation failed"
知道了,"Got it"
取消,Cancel
确认取消,"Confirm cancellation"
再想想,"Keep order"
正在取消订单...,"Cancelling order..."
取消订单失败,"Failed to cancel order"
订单列表加载失败，请稍后重试,"Failed to load orders. Please try again later."
订单加载中...,订单加载中...
"您有 %{1} 个订单待支付","You have %{1} order(s) awaiting payment"
请及时完成支付，避免订单自动取消。支付流程会在当前个人中心页面打开。,"Please complete payment promptly to avoid automatic order cancellation. The payment flow will open on the current account page."
订单状态筛选,"Order status filter"
全部,All
订单概览,"Order Snapshot"
最近订单,"Recent Orders"
查看全部,"View All"
待付款,Unpaid
合计,Subtotal
暂无订单。下单后即可在此查看动态。,"No orders yet. Place your first order to see activity here."
WeShop,WeShop
暂无订单,"No orders"
ID,ID
客户ID,"Customer ID"
输入订单号搜索...,"Search by order number..."
搜索,Search
清除筛选,"Clear filter"
发货状态,"Shipping Status"
暂无商品信息,"No product information"
商品图片,"Product Image"
商品信息,"Product Information"
订单信息,"Order information"
订单ID,"Order ID"
更新时间,"Update time"
发货信息,"Shipment Information"
承运商,Carrier
物流单号,"Tracking Number"
发货时间,"Shipped At"
送达时间,"Delivered At"
收货地址,"Delivery Address"
金额汇总,"Amount Summary"
商品小计,"Product Subtotal"
运费,"Shipping cost"
税费,"Taxes and Fees"
折扣,Discount
订单操作,"Order actions"
确认发货,"Confirm Shipment"
标记已送达,"Mark as Delivered"
打印订单,"Print order"
确定要取消此订单吗？此操作不可恢复。,"Are you sure you want to cancel this order? This action cannot be undone."
订单中心,"Order Center"
在这里追踪购买记录、完成待支付订单、查看配送进度。,"Track purchases, complete unpaid orders, and review delivery progress here."
继续购物,"Continue Shopping"
返回账户,"Back to Account"
下单后，您的订单记录将显示在这里。,"Your order history will appear here after you place your first purchase."
订单,Order
确认,Confirm
查看本订单的最新状态、支付状态和商品明细。,"Review the latest status, payment state, and items for this order."
时间轴,Timeline
暂无,N/A
