无权限访问重定向前,リダイレクト前にアクセス権限がありません
支持单个IP或CIDR格式的IP范围,単一のIPアドレスまたはCIDR形式のIPアドレス範囲をサポートします。
启用,有効にする
取消,取消
保存,保存
搜索IP地址或描述,IPアドレスまたは説明を検索します。
禁用,禁用
"例如：192.168.1.1 或 192.168.1.0/24","例: 192.168.1.1 または 192.168.1.0/24"
编辑ID：,IDの編集:
操作失败,操作失败
确定要切换状态吗？,ステータスを変更しますか？
确定要删除这条记录吗？,このレコードを削除しますか？
事件类型,イベントの種類
全部,全部
日志列表,ログ一覧
用户ID,ユーザーID
消息,メッセージ
查看详情,詳細を見る
暂无安全日志记录,セキュリティログはありません
搜索消息或IP地址,メッセージまたはIPアドレスを検索
查看日志ID：,ログIDの確認:
删除角色,ロールの削除
确定删除角色“%{1}”吗？此操作无法撤销。,ロール「%{1}」を削除しますか？この操作は元に戻せません。
权限角色,権限ロール
建立角色并按实际职责分配权限。,ロールを作成し、実際の責任に基づいて権限を割り当ててください。
面包屑,パンくず
"ACL 权限管理","ACL 権限管理"
角色,ロール
搜索角色,ロールの検索
搜索名称或描述,名前または説明を検索
清除,クリア
添加角色,ロールの追加
创建于,作成日
更新于,更新日
权限管理,権限管理
系统角色,システムロール
暂无角色,ロールはありません
角色分页,ロールのページネーション
关闭,关闭
角色名,ロール名
请输入角色名称,ロール名を入力してください
角色描述,ロールの説明
请输入角色描述,ロールの説明を入力してください
角色权限配置,ロールの権限設定
使用原生权限树控制菜单、接口、任务和运维能力,ネイティブな権限ツリーを使用して、メニュー、インターフェース、タスク、および運用機能を制御します。
返回列表,返回列表
配置角色,ロールの設定
操作者,オペレーター
未知,不明
标签包,タグパッケージ
"已选择 %{1} 项权限","%{1} 件の権限が選択されました"
没有匹配的权限,一致する権限はありません
保存权限配置,権限設定を保存
保存中…,保存中...
权限配置操作,権限設定の操作
当前角色,現在のロール
权限统计,権限の統計
已授权权限,付与された権限
权限总数,権限の総数
权限分组,権限のグループ
授权进度,権限の進捗状況
权限树工具,権限ツリーツール
搜索权限,権限の検索
"搜索权限名称、ID 或描述…",権限の名前、ID、または説明を検索...
模块,モジュール
所有模块,すべてのモジュール
类型,タイプ
所有类型,すべてのタイプ
权限视图,権限の表示
菜单维度,メニューの次元
标签维度,タグの次元
展开,展開
折叠,折りたたみ
全选,すべて選択
清空,すべてクリア
菜单与功能权限,メニューと機能の権限
勾选父节点会授予整个子树；取消父节点会收回整个子树。,親ノードをチェックすると、その子ツリー全体が権限されます。親ノードのチェックを解除すると、その子ツリー全体から権限が取り消されます。
标签权限包,タグの権限パッケージ
标签包适合批量授权；取消包内单项时会自动取消覆盖它的标签包。,タグパッケージは、一括で権限を付与するのに適しています。パッケージ内の特定の項目を解除すると、それをオーバーラップするタグパッケージも自動的に解除されます。
编辑角色,ロールの編集
角色只描述职责，具体能力在权限配置页中授予。,ロールは、役割のみを記述し、具体的な機能は権限設定ページで付与します。
保存角色,ロールを保存
标签维度资源,タグの次元リソース
模块维度资源,モジュールの次元リソース
"按标签浏览与搜索 ACL 资源；可切换到模块维度继续筛选","タグで ACL リソースを閲覧および検索します。モジュールの次元に切り替えて、さらに絞り込むこともできます。"
"按模块浏览与搜索 ACL 资源；可切换到标签维度继续筛选","モジュールで ACL リソースを閲覧および検索します。タグの次元に切り替えて、さらに絞り込むこともできます。"
模块维度,モジュールの次元
角色管理,ロール管理
标签元数据,タグのメタデータ
涉及模块,関連モジュール
资源类型数,リソースタイプの数
权限列表,権限リスト
暂无权限数据,権限データはありません
资源标识,リソース識別子
资源名称,リソース名
标签,タグ
请求方法,リクエスト方法
路由,ルーティング
所属模块,所属モジュール
更新时间,更新日時
搜索权限名称、ID、标签...,権限名、ID、タグを検索...
搜索权限名称、ID、路由...,権限名、ID、ルーティングを検索...
搜索模块名称,モジュール名を検索
在标签维度查看,タグの次元で表示
在模块维度查看,モジュールの次元で表示
Acl权限管理,Acl権限管理
系统配置,系统配置
支持角色权限管理,ロール権限管理をサポート
权限标签,権限ラベル
"ACL 标签管理",ACLタグ管理
"标签从 source_id 自动发现；可编辑元数据名、说明、颜色与排序。删除仅允许无资源引用且无角色订阅的手工元数据。",タグはsource_idから自動的に検出されます。メタデータ名、説明、色、並び順は編集可能です。削除は、リソースへの参照がなく、ロールによるサブスクリプションがない場合にのみ許可されます。
发现标签,タグを発見
已配置元数据,設定済みのメタデータ
关联资源数,関連リソース数
标签元数据列表,タグメタデータリスト
个标签,個のタグ
暂无发现的标签,まだ検出されていないタグ
资源数,リソース数
元数据名,メタデータ名
颜色,色
排序,並び順
说明,说明
已配置,設定済み
选择颜色,色を選択
仍有资源引用，无法删除,まだリソースが参照されているため、削除できません
删除元数据,メタデータを削除
"资源不能以自己为父级： %{1}","リソースは自分自身を親にできません: %{1}"
"检测到循环引用： %{1} -> %{2}","循環参照が検出されました: %{1} -> %{2}"
"设置此父级会形成循环引用： %{1} -> %{2}","この親を設定すると循環参照が発生します: %{1} -> %{2}"
"非标准父子类型组合： %{1} -> %{2}","非標準の親子タイプ組み合わせ: %{1} -> %{2}"
"资源 ID 不能为空",リソースIDは必須です
"资源 ID 已存在： %{1}","リソースIDはすでに存在します: %{1}"
"该菜单下有 %{1} 个子菜单，请先删除子菜单",このメニューには%{1}個のサブメニューがあるため、サブメニューを削除してから削除してください
操作授权条件不满足,操作の権限を満たしていません
菜单,メニュー
"HTTP 接口",HTTPインターフェース
"REST API","REST API"
"bin-query 接口","bin-query サービス"
后台任务,バックグラウンドタスク
运维操作,運用操作
其他,その他
系统菜单,システムメニュー
用户菜单,ユーザーメニュー
安全设置,セキュリティ設定
Acl角色管理,Aclロール管理
添加,追加
暂无记录,記録がありません
提交,送信
请输入角色名,ロール名を入力してください
为角色分配系统访问权限，控制菜单和功能的可见性,ロールにシステムのアクセス権を割り当て、メニューと機能の表示/非表示を制御します。
取消标签会收回该路径下全部叶子权限；保存使用页面级共享权限集合，避免切换视图丢权。,タグを削除すると、そのパスにあるすべてのサブ権限が取り消されます。保存すると、ページレベルの共有権限セットが使用され、ビューの切り替えによる権限の喪失を防ぎます。
标签权限树,タグ権限ツリー
勾选标签可整包授权；叶子也可单独勾选或取消,タグにチェックを入れると、パッケージ全体が許可されます。個々のサブ権限も個別にチェックまたは解除できます。
勾选需要授予的权限，子权限会自动关联父权限,許可する権限にチェックを入れます。サブ権限は自動的に親権限に関連付けられます。
"搜索权限名称、ID 或描述...",権限名、ID、または説明で検索...
按类型筛选,タイプでフィルタリング
展开所有,すべてを展開
折叠所有,すべてを折りたたみ
任务,タスク
运维,運用
菜单权限,メニュー権限
接口权限,インターフェース権限
访问权限,アクセス権限
找到,見つかりました
个匹配权限,件の権限
未找到匹配的权限，请尝试其他关键词,一致する権限が見つかりませんでした。別のキーワードをお試しください
已全选所有权限,すべての権限が選択されました
已清空所有选择,すべての選択が解除されました
筛选结果,フィルタリング結果
个分组,件のグループ
项权限,件の権限
Acl角色添加,Aclロール追加
角色名称验证成功,ロール名検証成功
角色描述验证成功,ロール説明検証成功
权限分配成功，权限缓存已清理。,権限の割り当てに成功しました。権限キャッシュをクリアしました。
正在创建...,作成中...
正在创建角色...,ロールを作成中...
角色创建失败，请检查输入后重试,ロールの作成に失敗しました。入力内容を確認して、再度お試しください
权限分配成功！,権限の割り当てに成功しました！
权限缓存清理成功！,権限キャッシュのクリアに成功しました！
"标签从 source_id 自动发现；可编辑显示名、说明、颜色与排序。删除仅允许无资源引用且无角色订阅的手工元数据。","タグは source_id から自動的に検出されます。表示名、説明、色、および順序は編集可能です。削除は、リソースへの参照がなく、ロールによるサブスクリプションがない場合にのみ可能です。"
元数据,メタデータ
删元数据,メタデータの削除
显示名,表示名
按模块筛选,モジュールでフィルタリング
管理系统中所有的访问控制权限，包括菜单、接口等资源,システム内のすべてのアクセス制御権限（メニュー、インターフェースなど）を管理します。
接口,インターフェース
"对象 Scope 写入授权通过","オブジェクト Scope への書き込み権限が許可されました"
"对象 Scope 授权拒绝","オブジェクト Scope への権限が拒否されました"
保存中...,保存中…
