[2026-01-08T07:30:05.582Z] 开始监控: E:\WelineFramework\DEV-workspace\
[2026-01-08T07:30:05.601Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Shopify
[2026-01-08T07:30:05.601Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline
[2026-01-08T07:30:05.602Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\WelineTools
[2026-01-08T07:30:05.602Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\WelineTools.zip
[2026-01-08T07:30:05.602Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\Weline_Test.zip
[2026-01-08T07:30:05.602Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\WeShop
[2026-01-08T07:30:05.603Z] 文件新增: E:\WelineFramework\DEV-workspace\app\etc\.gitignore
[2026-01-08T07:30:05.603Z] 文件新增: E:\WelineFramework\DEV-workspace\app\etc\.gitkeep
[2026-01-08T07:30:05.603Z] 文件新增: E:\WelineFramework\DEV-workspace\app\etc\db.sqlite
[2026-01-08T07:30:05.604Z] 文件新增: E:\WelineFramework\DEV-workspace\app\etc\env.php
[2026-01-08T07:30:05.604Z] 文件新增: E:\WelineFramework\DEV-workspace\app\etc\env.sample.php
[2026-01-08T07:30:05.604Z] 文件新增: E:\WelineFramework\DEV-workspace\app\etc\modules.php
[2026-01-08T07:30:05.605Z] 文件新增: E:\WelineFramework\DEV-workspace\app\etc\module_dependencies.php
[2026-01-08T07:30:05.605Z] 目录新增: E:\WelineFramework\DEV-workspace\app\i18n\Weline
[2026-01-08T07:30:05.605Z] 目录新增: E:\WelineFramework\DEV-workspace\app\i18n\WelineFramework
[2026-01-08T07:30:05.605Z] 目录新增: E:\WelineFramework\DEV-workspace\app\var\async
[2026-01-08T07:30:05.614Z] 目录新增: E:\WelineFramework\DEV-workspace\app\design\Weline\default
[2026-01-08T07:30:05.614Z] 目录新增: E:\WelineFramework\DEV-workspace\app\design\Weline\demo
[2026-01-08T07:30:05.614Z] 目录新增: E:\WelineFramework\DEV-workspace\app\design\Weline\test
[2026-01-08T07:30:05.614Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\AiOpencartProductReviewGenerate.disabled
[2026-01-08T07:30:05.615Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Bbs
[2026-01-08T07:30:05.615Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Companey
[2026-01-08T07:30:05.615Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Demo
[2026-01-08T07:30:05.615Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\DistributedMasterSlaveDatabase
[2026-01-08T07:30:05.616Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\ImageConvert
[2026-01-08T07:30:05.616Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\NewsSource
[2026-01-08T07:30:05.616Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\PlayingInChina
[2026-01-08T07:30:05.616Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Stock
[2026-01-08T07:30:05.617Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Test
[2026-01-08T07:30:05.617Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\ThemeStyza
[2026-01-08T07:30:05.617Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Tool
[2026-01-08T07:30:05.617Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Wordpress
[2026-01-08T07:30:05.617Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Shopify\ChlorStore
[2026-01-08T07:30:05.618Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\FlashForge\.DS_Store
[2026-01-08T07:30:05.618Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\FlashForge\.gitignore
[2026-01-08T07:30:05.618Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\FlashForge\EmailSignature
[2026-01-08T07:30:05.619Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\FlashForge\ShopifyOrderManager
[2026-01-08T07:30:05.619Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Acl
[2026-01-08T07:30:05.619Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Admin
[2026-01-08T07:30:05.619Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Ai
[2026-01-08T07:30:05.619Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\AiKnowledge
[2026-01-08T07:30:05.620Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\AliDdnsServer
[2026-01-08T07:30:05.620Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Api
[2026-01-08T07:30:05.620Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Async
[2026-01-08T07:30:05.620Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\AutoLeadAgent
[2026-01-08T07:30:05.620Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Backend
[2026-01-08T07:30:05.621Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\BackendActivity
[2026-01-08T07:30:05.621Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\BackendThemeUpzet
[2026-01-08T07:30:05.621Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Base
[2026-01-08T07:30:05.621Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\CacheManager
[2026-01-08T07:30:05.621Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Cdn
[2026-01-08T07:30:05.622Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Checkout
[2026-01-08T07:30:05.622Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\CKEditorEditorManager
[2026-01-08T07:30:05.622Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Cms
[2026-01-08T07:30:05.622Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Component
[2026-01-08T07:30:05.623Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Cron
[2026-01-08T07:30:05.623Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Currency
[2026-01-08T07:30:05.623Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Customer
[2026-01-08T07:30:05.623Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\CustomerService
[2026-01-08T07:30:05.623Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Database
[2026-01-08T07:30:05.624Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\DataTable
[2026-01-08T07:30:05.624Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Demo
[2026-01-08T07:30:05.624Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Deploy
[2026-01-08T07:30:05.624Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\DeveloperWorkspace
[2026-01-08T07:30:05.624Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Eav
[2026-01-08T07:30:05.625Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\EditorManager
[2026-01-08T07:30:05.625Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\ElFinderFileManager
[2026-01-08T07:30:05.625Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Event
[2026-01-08T07:30:05.625Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Extends
[2026-01-08T07:30:05.626Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\FileManager
[2026-01-08T07:30:05.626Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Framework
[2026-01-08T07:30:05.626Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Frontend
[2026-01-08T07:30:05.626Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\GenerativeEngineOptimization
[2026-01-08T07:30:05.626Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Geo
[2026-01-08T07:30:05.627Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Hook
[2026-01-08T07:30:05.627Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\I18n
[2026-01-08T07:30:05.627Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Index
[2026-01-08T07:30:05.627Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Indexer
[2026-01-08T07:30:05.627Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Installer
[2026-01-08T07:30:05.628Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Layout
[2026-01-08T07:30:05.628Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Maintenance
[2026-01-08T07:30:05.628Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Marketing
[2026-01-08T07:30:05.629Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\MediaManager
[2026-01-08T07:30:05.629Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Meta
[2026-01-08T07:30:05.629Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\ModuleManager
[2026-01-08T07:30:05.629Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\ModuleRouter
[2026-01-08T07:30:05.629Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Multipass
[2026-01-08T07:30:05.630Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Order
[2026-01-08T07:30:05.630Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Parts
[2026-01-08T07:30:05.630Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Payment
[2026-01-08T07:30:05.630Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Queue
[2026-01-08T07:30:05.630Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Seo
[2026-01-08T07:30:05.631Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\SessionManager
[2026-01-08T07:30:05.631Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Shipping
[2026-01-08T07:30:05.631Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Smtp
[2026-01-08T07:30:05.631Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Sticker
[2026-01-08T07:30:05.631Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\SystemConfig
[2026-01-08T07:30:05.632Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Taglib
[2026-01-08T07:30:05.632Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Theme
[2026-01-08T07:30:05.632Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\ThemeFancy
[2026-01-08T07:30:05.632Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\Weline\TODO.list
[2026-01-08T07:30:05.633Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\TranslationService
[2026-01-08T07:30:05.633Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\TwoFactorAuth
[2026-01-08T07:30:05.633Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\UrlManager
[2026-01-08T07:30:05.633Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Visitor
[2026-01-08T07:30:05.633Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Vue
[2026-01-08T07:30:05.634Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\WarmCache
[2026-01-08T07:30:05.634Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\WebsiteMonitoring
[2026-01-08T07:30:05.634Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Websites
[2026-01-08T07:30:05.634Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Weline\Widget
[2026-01-08T07:30:05.635Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\WelineTools\.DS_Store
[2026-01-08T07:30:05.635Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\WelineTools\FontSubLetter
[2026-01-08T07:30:05.635Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\WelineTools\Icon
[2026-01-08T07:30:05.635Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\WeShop\Base
[2026-01-08T07:30:05.635Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\WeShop\Inventory
[2026-01-08T07:30:05.636Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\WeShop\Product
[2026-01-08T07:30:05.636Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\WeShop\Store
[2026-01-08T07:30:05.636Z] 目录新增: E:\WelineFramework\DEV-workspace\app\i18n\Weline\en_US
[2026-01-08T07:30:05.636Z] 目录新增: E:\WelineFramework\DEV-workspace\app\i18n\Weline\zh_Hans_CN
[2026-01-08T07:30:05.636Z] 目录新增: E:\WelineFramework\DEV-workspace\app\i18n\WelineFramework\uz_Arab_AF
[2026-01-08T07:30:05.637Z] 目录新增: E:\WelineFramework\DEV-workspace\app\i18n\WelineFramework\za_CN
[2026-01-08T07:30:05.637Z] 目录新增: E:\WelineFramework\DEV-workspace\app\i18n\WelineFramework\zh_Hant_MO
[2026-01-08T07:30:05.637Z] 目录新增: E:\WelineFramework\DEV-workspace\app\var\async\logs
[2026-01-08T07:30:05.637Z] 目录新增: E:\WelineFramework\DEV-workspace\app\var\async\pids
[2026-01-08T07:30:05.707Z] 目录新增: E:\WelineFramework\DEV-workspace\app\design\Weline\default\Aiweline
[2026-01-08T07:30:05.708Z] 目录新增: E:\WelineFramework\DEV-workspace\app\design\Weline\default\assets
[2026-01-08T07:30:05.708Z] 目录新增: E:\WelineFramework\DEV-workspace\app\design\Weline\default\backend
[2026-01-08T07:30:05.708Z] 目录新增: E:\WelineFramework\DEV-workspace\app\design\Weline\default\frontend
[2026-01-08T07:30:05.709Z] 文件新增: E:\WelineFramework\DEV-workspace\app\design\Weline\default\README.md
[2026-01-08T07:30:05.709Z] 文件新增: E:\WelineFramework\DEV-workspace\app\design\Weline\default\register.php
[2026-01-08T07:30:05.709Z] 文件新增: E:\WelineFramework\DEV-workspace\app\design\Weline\demo\.theme-config.json
[2026-01-08T07:30:05.710Z] 目录新增: E:\WelineFramework\DEV-workspace\app\design\Weline\demo\Aiweline
[2026-01-08T07:30:05.710Z] 文件新增: E:\WelineFramework\DEV-workspace\app\design\Weline\demo\register.php
[2026-01-08T07:30:05.710Z] 目录新增: E:\WelineFramework\DEV-workspace\app\design\Weline\test\Aiweline
[2026-01-08T07:30:05.710Z] 文件新增: E:\WelineFramework\DEV-workspace\app\design\Weline\test\register.php
[2026-01-08T07:30:05.711Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\AiOpencartProductReviewGenerate.disabled\Console
[2026-01-08T07:30:05.711Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\AiOpencartProductReviewGenerate.disabled\Cron
[2026-01-08T07:30:05.711Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\AiOpencartProductReviewGenerate.disabled\etc
[2026-01-08T07:30:05.711Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\AiOpencartProductReviewGenerate.disabled\i18n
[2026-01-08T07:30:05.712Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\AiOpencartProductReviewGenerate.disabled\log
[2026-01-08T07:30:05.712Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\AiOpencartProductReviewGenerate.disabled\Model
[2026-01-08T07:30:05.712Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\AiOpencartProductReviewGenerate.disabled\README.md
[2026-01-08T07:30:05.713Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\AiOpencartProductReviewGenerate.disabled\Service
[2026-01-08T07:30:05.713Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\AiOpencartProductReviewGenerate.disabled\view
[2026-01-08T07:30:05.713Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Bbs\Api
[2026-01-08T07:30:05.713Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Bbs\Block
[2026-01-08T07:30:05.714Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Bbs\Cache
[2026-01-08T07:30:05.714Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Bbs\Console
[2026-01-08T07:30:05.714Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Bbs\Controller
[2026-01-08T07:30:05.714Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Bbs\Cron
[2026-01-08T07:30:05.714Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Bbs\etc
[2026-01-08T07:30:05.715Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Bbs\Global
[2026-01-08T07:30:05.715Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Bbs\i18n
[2026-01-08T07:30:05.715Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Bbs\Model
[2026-01-08T07:30:05.715Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Bbs\register.php
[2026-01-08T07:30:05.716Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Bbs\Session
[2026-01-08T07:30:05.716Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Bbs\Setup
[2026-01-08T07:30:05.716Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Bbs\test
[2026-01-08T07:30:05.716Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Bbs\view
[2026-01-08T07:30:05.716Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Demo\Model
[2026-01-08T07:30:05.717Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\DistributedMasterSlaveDatabase\Controller
[2026-01-08T07:30:05.717Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\DistributedMasterSlaveDatabase\Model
[2026-01-08T07:30:05.717Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\ImageConvert\composer.json
[2026-01-08T07:30:05.717Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\ImageConvert\Controller
[2026-01-08T07:30:05.717Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\ImageConvert\etc
[2026-01-08T07:30:05.718Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\ImageConvert\i18n
[2026-01-08T07:30:05.718Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\ImageConvert\png2svg.php
[2026-01-08T07:30:05.718Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\ImageConvert\register.php
[2026-01-08T07:30:05.719Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\ImageConvert\view
[2026-01-08T07:30:05.719Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\NewsSource\Api
[2026-01-08T07:30:05.719Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\NewsSource\Controller
[2026-01-08T07:30:05.719Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\NewsSource\etc
[2026-01-08T07:30:05.719Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\NewsSource\i18n
[2026-01-08T07:30:05.720Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\NewsSource\Model
[2026-01-08T07:30:05.720Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\NewsSource\register.php
[2026-01-08T07:30:05.720Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\NewsSource\Service
[2026-01-08T07:30:05.720Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\NewsSource\Setup
[2026-01-08T07:30:05.721Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\NewsSource\view
[2026-01-08T07:30:05.721Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\PlayingInChina\Controller
[2026-01-08T07:30:05.721Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\PlayingInChina\etc
[2026-01-08T07:30:05.721Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\PlayingInChina\i18n
[2026-01-08T07:30:05.721Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\PlayingInChina\Model
[2026-01-08T07:30:05.722Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\PlayingInChina\register.php
[2026-01-08T07:30:05.722Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\PlayingInChina\view
[2026-01-08T07:30:05.722Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Stock\Cache
[2026-01-08T07:30:05.723Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Stock\Console
[2026-01-08T07:30:05.723Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Stock\Cron
[2026-01-08T07:30:05.723Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Stock\Helper
[2026-01-08T07:30:05.723Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Stock\i18n
[2026-01-08T07:30:05.723Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Stock\register.php
[2026-01-08T07:30:05.724Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Stock\view
[2026-01-08T07:30:05.724Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Test\Console
[2026-01-08T07:30:05.724Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Test\Controller
[2026-01-08T07:30:05.724Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Test\i18n
[2026-01-08T07:30:05.725Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Test\Model
[2026-01-08T07:30:05.725Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Test\register.php
[2026-01-08T07:30:05.725Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Test\view
[2026-01-08T07:30:05.726Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\ThemeStyza\Controller
[2026-01-08T07:30:05.726Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\ThemeStyza\etc
[2026-01-08T07:30:05.726Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\ThemeStyza\i18n
[2026-01-08T07:30:05.727Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\ThemeStyza\register.php
[2026-01-08T07:30:05.727Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\ThemeStyza\view
[2026-01-08T07:30:05.727Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Tool\Console
[2026-01-08T07:30:05.728Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Tool\Controller
[2026-01-08T07:30:05.728Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Tool\etc
[2026-01-08T07:30:05.728Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Tool\i18n
[2026-01-08T07:30:05.729Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Tool\README.md
[2026-01-08T07:30:05.729Z] 文件新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Tool\register.php
[2026-01-08T07:30:05.729Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Tool\Service
[2026-01-08T07:30:05.729Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Tool\view
[2026-01-08T07:30:05.730Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Wordpress\Console
[2026-01-08T07:30:05.730Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Wordpress\data
[2026-01-08T07:30:05.730Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Wordpress\doc
[2026-01-08T07:30:05.730Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Wordpress\etc
[2026-01-08T07:30:05.731Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Wordpress\i18n
[2026-01-08T07:30:05.731Z] 目录新增: E:\WelineFramework\DEV-workspace\app\code\Aiweline\Wordpress\Model
