企业邮箱邮件已发送,"Work mailbox email sent"
"已有 %{1} 个 active 邮箱账号（例：%{2}）。建议至少保留 noreply@ 供系统发信。","%{1} active mailbox(es) (e.g. %{2}). Keep at least noreply@ for system mail."
请先启用邮局域名，再在「用户与账号」创建并启用邮箱。,"Enable a mail domain first, then create and activate mailboxes under Users & accounts."
"域名已就绪，但尚无 active 邮箱账号。请创建 noreply@ 或业务邮箱并启用。","Domain is ready but no active mailbox. Create noreply@ or a business mailbox and activate it."
"交给 Smtp 自管发信","Hand off to Smtp for sending"
"Smtp 已挂接自建邮局并完成测试确认。","Smtp is using self-hosted mail and test send is confirmed."
"Smtp 已挂接自建邮局传输，请打开 Smtp配置 发送测试邮件完成确认。","Smtp has a self-hosted transport—open Smtp config and send a test email to confirm."
"邮局账号已就绪。请打开 Smtp配置，使用「用自建邮局一键配置」由 Smtp 自动写传输并绑渠道，再测试发信确认。","Mailboxes ready. Open Smtp config → One-click self-hosted mail so Smtp writes transport + bindings, then test send."
"完成引擎/域名/DNS/账号后，由 Smtp 一键挂接 mail_account 传输；本任务不代替 Smtp 测试确认。","After engine/domain/DNS/account, let Smtp one-click attach mail_account transport; this task does not replace Smtp test confirmation."
企业邮箱沟通,"Business email chat"
关闭,Close
发送,Send
沟通历史,"Chat history"
暂无沟通记录,"No chat records"
加载中…,Loading...
请先登录,"Please sign in first"
请选择已绑定的本机企业邮箱,"Select a bound local business email"
只能使用本人已启用的企业邮箱账号,"You may only use your own active enterprise mailbox"
操作成功,"Operation succeeded"
操作失败,"Operation failed"
请选择或输入邮箱域名,"Please select or enter your email domain name"
邮件引擎参数无效,"Invalid mail engine parameter"
"Fake 测试引擎只允许 .invalid 或 .test 域名","The Fake test engine only allows .invalid or .test domains"
"真实邮箱域名必须先从 Websites 域名候选中选择","The real email domain name must first be selected from the Websites domain name candidates"
邮箱域名已存在,"Email domain name already exists"
邮箱域名已创建，可在域名列表中开启或继续创建邮箱账号,"The email domain name has been created. You can open it in the domain name list or continue to create an email account."
无效的请求方法,"Invalid request method"
邮箱账号操作失败,"Email account operation failed."
域名状态参数无效,"Domain name status parameter is invalid"
邮箱域名不存在,"Email domain name does not exist"
邮箱域名状态已更新,"Email domain status has been updated"
请选择已启用的本机企业邮箱账号,"Select an enabled local business email account"
邮件发送失败,"Email sending failed."
"邮箱域名 ID 无效。","The email domain ID is invalid."
"应用前必须确认邮件主机将以 DNS-only 暴露源站公网 IP。","Before applying, confirm that the DNS-only mail host exposes its public origin IP."
邮箱域名不存在。,"The email domain does not exist."
"CDN 模块返回了无效的 DNS 结果。","The CDN module returned an invalid DNS result."
"Cloudflare DNS 配置失败。","Cloudflare DNS configuration failed."
"Cloudflare DNS 已同步。","Cloudflare DNS has been synchronized."
"Cloudflare DNS 预览完成。","Cloudflare DNS preview completed."
"Cloudflare DNS 配置失败：%{1}","Cloudflare DNS configuration failed: %{1}"
企业邮箱管理,"Enterprise Mail"
mail,mail
"管理企业邮箱、用户账号、邮件与 DNS","Manage corporate email, user accounts, mail services, and DNS."
管理企业邮箱账号,"Manage corporate email accounts."
users,users
开通、暂停及重置企业邮箱账号,"Activating, suspending, and resetting corporate email accounts."
开通或重置邮箱密码,"Activate or reset your email password."
key,key
"在 Stalwart 中开通账号或安全重置密码","Create an account or reset your password in Stalwart."
使用企业邮箱代发,"Send emails using a corporate email address."
send,send
管理员使用已启用的企业邮箱账号发送邮件,"Administrators send emails using enabled corporate email accounts."
"配置 Cloudflare 邮箱 DNS","Configure Cloudflare email DNS."
cloud,cloud
"预览并同步当前企业邮箱域名 DNS","Preview and synchronize the DNS records for the current corporate email domain."
企业邮箱沟通线程,"Business email chat thread"
composer,composer
按业务来源加载企业邮箱沟通线程,"Load business-email chat thread by business source"
企业邮箱沟通发送,"Business email chat send"
经写信浮层发送企业邮箱并写入业务线程,"Send via compose overlay to business email and write business thread"
企业邮箱,"Business email"
尚未开通企业邮箱，可在下方申请本站邮箱。,"No business email yet; apply for site email below."
我的邮箱,"My Mail"
查看企业邮箱收件箱,"View enterprise mailbox"
我的企业邮箱,"My enterprise mailbox"
这里只显示与你当前账号绑定且已启用的邮箱。,"Only active mailboxes explicitly linked to your current account are shown."
当前邮箱,"Current mailbox"
邮件列表,"Message list"
收件箱暂无邮件。,"The inbox is empty."
发件人,Sender
含附件,"Has attachments"
选择一封邮件查看正文。,"Select a message to read it."
待同步,"Pending sync"
已启用,Active
已暂停,Suspended
邮箱服务尚未开启,"Mail service is not enabled"
站点管理员需要先完成原生邮件服务安装、端口检测，并开启至少一个邮箱域名后，用户才能申请企业邮箱账号。,"The site administrator must install the native mail service, verify the required ports, and enable at least one mail domain before users can apply for mailbox accounts."
暂无可申请域名,"No available mail domains"
当前没有已开启的邮箱域名，请稍后再试。,"No mail domains are currently enabled. Please try again later."
邮箱账号,"Mailbox account"
仅支持小写字母、数字、点、下划线和短横线。,"Only lowercase letters, numbers, dots, underscores, and hyphens are supported."
邮箱域名,"Mail domain"
显示名称,"Display name"
例如：业务邮箱,"For example: business mailbox"
申请邮箱账号,"Apply for mailbox"
您还没有申请邮箱账号。,"You have not applied for any mailbox accounts yet."
暂停,Suspend
恢复,Resume
测试邮箱,"Test mailbox"
"Fake 模式已启用，可进行本地收发信冒烟。","Fake mode is active. You can run local send/receive smoke tests."
收取测试邮件,"Receive test message"
发送测试邮件,"Send test message"
收件箱,Inbox
已发送,Sent
暂无已发送邮件。,"No sent messages yet."
邮件夹,"Mail folder"
刷新,Refresh
写邮件,Compose
发送邮件,"Send message"
这个邮件夹暂无邮件。,"This folder is empty."
（无主题）,"(No subject)"
回复,Reply
申请本站企业邮箱,"Apply for site business email"
注册并登录后可申请本站企业邮箱；开启辅助验证时须验证真人邮箱。,"After register/login you can apply for site business email; when secondary verify is on, verify a human email."
邮箱前缀,"Email prefix"
企业邮箱密码,"Business email password"
辅助验证邮箱,"Secondary verify email"
申请企业邮箱,"Apply for business email"
验证码,"Verification code"
确认开通,"Confirm activation"
企业邮箱收件箱,"Enterprise mailbox"
"直接查看 Stalwart 中真实投递的邮件；域名、DNS 和账号配置已移到独立设置页。","View messages actually delivered to Stalwart. Domain, DNS, and account configuration is now on a separate settings page."
邮箱与域名设置,"Mailbox and domain settings"
刷新收件箱,"Refresh inbox"
尚无已启用的企业邮箱账号，请先到设置页创建账号。,"No active enterprise mailbox exists. Create one on the settings page first."
"最近 %{1} 封收件","Latest %{1} messages"
系统服务,"System services"
"已开启 %{1} 个","%{1} opened"
按域名统一管理,"Unified management by domain name"
"Websites 候选域名","Websites candidate domain names"
"来自 Websites 域名池和注册域名","From Websites Domain Pool and Registered Domains"
邮件服务环境,"Mail service environment"
底层引擎：%{1}，平台：%{2},"Underlying engine: %{1}, platform: %{2}"
检测项,"Detection items"
状态,state
详情,Details
通过,pass
待处理,Pending
原生安装计划,"Native installation plan"
"Fake 测试引擎仅用于 .invalid / .test 域名的本地业务冒烟，真实生产域名仍需要 Stalwart 环境。","The Fake test engine is only for local business smoke tests on .invalid / .test domains. Real production domains still require the Stalwart environment."
"从 Websites 开通邮箱域名","Open an email domain from Websites"
"搜索 Websites 域名","Search Websites domain names"
"真实引擎需选择 Websites 中已有域名；Fake 可输入 .test / .invalid。","The real engine needs to select an existing domain name in Websites; Fake can enter .test / .invalid."
当前选择,"Current selection"
尚未选择域名,"No domain name selected yet"
请搜索并选择一个域名,"Please search and select a domain name"
邮件主机名,"Email hostname"
邮件引擎,"Mail engine"
"Fake 测试引擎","Fake test engine"
"默认容量 MB","Default capacity MB"
开通邮箱域名,"Open an email domain name"
邮箱域名列表,"Email domain name list"
支持多个域名,"Support multiple domain names"
域名,"domain name"
主机名,hostname
引擎,Engine
账号数,"Number of accounts"
操作,operate
暂无邮箱域名,"No email domain name yet"
开启,"turn on"
停用,deactivate
"Cloudflare 一键配置邮箱 DNS","One-click Cloudflare mail DNS"
"mail 主机的 A/AAAA 必须关闭 Cloudflare 代理（灰云 / DNS-only）。这会公开邮件服务器源站 IP；SMTP、IMAP、POP 不能走 Cloudflare 橙云代理。","The mail host A/AAAA must use DNS-only. This exposes the mail server origin IP; SMTP, IMAP, and POP cannot use Cloudflare proxy."
"连接或重新授权 Cloudflare","Connect or reauthorize Cloudflare"
"公网源站 IP（可留空保留现有 A/AAAA）","Public origin IP (leave blank to preserve existing A/AAAA)"
"Stalwart 实际 DKIM 选择器","Actual Stalwart DKIM selector"
"Stalwart 实际 DKIM 公钥或完整 TXT 值","Actual Stalwart DKIM public key or full TXT value"
"只处理当前域名的 mail A/AAAA、根 MX、根 SPF、当前选择器 DKIM 和 DMARC；smtp CNAME 与其他记录保持不变。重复记录会在预览中列出。","Only the current domain's mail A/AAAA, root MX, root SPF, current-selector DKIM, and DMARC are managed; smtp CNAME and unrelated records remain unchanged. Duplicates appear in the preview."
"PTR/rDNS 仍需到云服务器厂商配置，Cloudflare 无法代配。","PTR/rDNS must still be configured with the server provider; Cloudflare cannot configure it."
"我确认 mail 主机必须为 DNS-only，源站公网 IP 将对外可见。","I confirm the mail host must be DNS-only and its public origin IP will be visible."
"预览 Cloudflare DNS 变更","Preview Cloudflare DNS changes"
确认并一键应用,"Confirm and apply"
每个域名的企业邮箱配置,"Enterprise mailbox setup for each domain"
"开通域名后，请展开对应域名，按实际域名和主机名配置 DNS 与客户端。","After enabling a domain, expand it and configure DNS and client access using its actual domain and host name."
"开通邮箱域名后，这里会自动生成该域名的 DNS 和客户端配置清单。","After you enable a mailbox domain, its DNS and client configuration checklist will appear here automatically."
展开或收起此域名配置,"Expand or collapse this domain setup"
"Fake 测试域名无需配置公网 DNS，仅用于本地业务冒烟。","Fake test domains do not require public DNS and are only for local smoke checks."
"1. 配置必需 DNS","1. Configure required DNS"
邮箱地址使用邮箱域，例如：,"Mail addresses use the mailbox domain, for example:"
邮件服务使用独立主机名，例如：,"The mail service uses a separate host name, for example:"
类型,type
主机,Host
建议值,"Recommended value"
配置要求,Requirement
"服务器公网 IPv4","Server public IPv4"
"必需：邮件服务主机名指向服务器公网 IPv4。","Required: point the mail service host name to the server's public IPv4 address."
"服务器公网 IPv6（仅完整支持时）","Server public IPv6 (only with complete support)"
"条件配置：仅当邮件服务、防火墙和 PTR 均完整支持 IPv6 时添加；否则不要配置。","Conditional: add this only when the mail service, firewall, and PTR fully support IPv6; otherwise leave it unset."
"必需：邮箱域的 MX 优先级可用 10；MX 目标必须直接解析 A/AAAA，不要使用 CNAME。","Required: priority 10 is suitable for the mailbox-domain MX; its target must resolve directly through A/AAAA, not CNAME."
"必需：邮箱域发布 SPF TXT，授权 MX 主机发信。","Required: publish an SPF TXT record on the mailbox domain to authorize its MX hosts."
"必需：示例主机以 default 为选择器；请以邮件引擎实际生成的选择器和公钥发布 DKIM TXT。","Required: the example uses the default selector; publish the DKIM TXT with the selector and public key generated by the mail engine."
"建议分阶段：先使用 p=none 观察报告，确认无误后升级为 quarantine 或 reject。","Stage the policy: begin with p=none to review reports, then move to quarantine or reject after validation."
"服务器公网 IP","Server public IP"
"必需：在 VPS/云厂商控制台设置 PTR/rDNS，并确保主机名正向解析回同一公网 IP。","Required: set PTR/rDNS in the VPS or cloud console and ensure the host name resolves forward to the same public IP."
"2. 配置客户端主机名、证书与端口","2. Configure client host names, certificates, and ports"
"smtp 子域名不是必须项。客户端可以直接使用邮件服务主机名：","An smtp subdomain is optional. Clients can use the mail service host name directly:"
如需客户端友好别名，可配置以下任一方式：,"For a client-friendly alias, configure either option:"
"与邮件服务主机相同的公网 IPv4","The same public IPv4 address as the mail service host"
"无论使用哪个名称，TLS 证书都必须覆盖客户端实际连接的主机名。","Whichever name you use, the TLS certificate must cover the host name clients actually connect to."
端口,Port
用途,Purpose
加密与注意事项,"Encryption and notes"
服务器接收入站邮件（MTA）,"Server inbound mail (MTA)"
"服务器间 SMTP；不要作为普通客户端发信端口。","Server-to-server SMTP; do not use it as the normal client submission port."
客户端提交发信,"Client message submission"
STARTTLS（推荐）,"STARTTLS (recommended)"
客户端提交发信（可选）,"Client message submission (optional)"
"隐式 TLS","Implicit TLS"
客户端收信,"Client mail retrieval"
"配置完成后，请使用下方 DNS 检测，并执行真实收发验收。","After configuration, use the DNS checker below and complete real send/receive acceptance."
"检测此域名 DNS","Check DNS for this domain"
创建邮箱账号,"Create an email account"
请选择域名,"Please select a domain name"
管理员,administrator
客户ID,"Customer ID"
"容量 MB","Capacity MB"
账号状态,"Account status"
"Fake 域名会自动建议开启，真实域名默认待同步。","The fake domain name will be automatically recommended to be turned on, and the real domain name will be synchronized by default."
域名邮箱列表管理,"Domain name mailbox list management"
按域名筛选,"Filter by domain name"
全部域名,"All domain names"
邮箱,Mailbox
名称,name
容量,capacity
暂无邮箱账号,"No email account yet"
"DNS 检测","DNS detection"
域名邮箱配置与收发验收指南,"Domain mailbox configuration and delivery acceptance guide"
"按顺序完成 DNS、客户端入口和真实收发验收。","Complete DNS, client access, and real delivery acceptance in order."
展开或收起配置指南,"Expand or collapse the setup guide"
"3. 执行真实收发验收","3. Run real delivery acceptance"
"创建两个测试邮箱账号 A 和 B，验证 A→B 与 B→A 均能收到。","Create test mailboxes A and B, then verify both A→B and B→A delivery."
"向 QQ、Gmail 或 Outlook 等外部邮箱发送，并从外部邮箱回复。","Send to an external mailbox such as QQ, Gmail, or Outlook, then reply from that mailbox."
"检查外部收件邮件头，确认 SPF、DKIM 和 DMARC 均为 pass。","Inspect external message headers and confirm SPF, DKIM, and DMARC all report pass."
"未登录 SMTP 时尝试向外域转发，必须被拒绝，以确认服务器不是开放中继。","Attempt external relay without SMTP authentication; it must be rejected to confirm the server is not an open relay."
测试中文主题、正文和附件，确认内容、编码与附件均完整。,"Test a Chinese subject, body, and attachment; confirm content, encoding, and attachment integrity."
"验证 587 STARTTLS、可选 465 和 993 的证书链、主机名及加密连接。","Verify certificate chains, host names, and encrypted connections on 587 STARTTLS, optional 465, and 993."
"全部通过后再逐步提高发信额度；DNS 或 DKIM 未通过时不要开放大批量发信。","Increase sending limits gradually only after all checks pass; do not enable bulk sending while DNS or DKIM is failing."
检测,Detection
存在,exist
未检测到,"not detected"
客户端配置,"Client configuration"
输入域名和邮件主机名后显示客户端连接配置。,"After entering the domain name and email host name, the client connection configuration is displayed."
"Fake 邮件审计","Fake mail audit"
"显示最近 20 封 fake 模式写入的收件箱和发件箱邮件，用于后台冒烟核对。","Shows the latest 20 fake-mode Inbox and Sent messages for backend smoke verification."
账号ID,"Account ID"
邮件箱,mailbox
投递状态,"Delivery status"
时间,Time
"暂无 fake 邮件记录","No fake mail records yet"
"暂无匹配域名，可输入 .test / .invalid 域名做 Fake 冒烟","There is currently no matching domain name, you can enter .test / .invalid domain name to make Fake smoke"
已开通,"Already activated"
未开通,"Not activated"
可开通,"Can be opened"
手动测试域名,"Manually test domain names"
用户与账号,"Users & Accounts"
"域名与 DNS","Domains & DNS"
"查看真实邮件、管理用户邮箱、代发邮件，并指导每个域名完成 DNS。","View real emails, manage user mailboxes, send emails on behalf of users, and guide each domain through DNS configuration."
"Stalwart 管理连接正常","Stalwart management connected"
"Stalwart 管理连接待配置","Stalwart management connection required"
"完成管理连接后才能开通真实邮箱并同步 DNS。","Finish the management connection before provisioning real mailboxes and syncing DNS."
"去域名与 DNS","Go to Domains & DNS"
配置引擎,"Configure engine"
企业邮箱管理导航,"Enterprise mail navigation"
取消,Cancel
使用当前邮箱发送邮件,"Send email using the current email address."
当前账号邮箱不是本机企业邮箱，需外部发送。,"Current account email is not a local business email; external send is required."
写第一封邮件,"Compose first message"
去用户与账号,"Go to Users & accounts"
暂无邮件可阅读。写一封或开通更多账号后回来查看。,"Nothing to read yet. Compose a message or provision more accounts, then check back."
开通企业邮箱账号,"Activate a corporate email account."
邮箱账号前缀,"Email account prefix."
"系统用户 ID","System User ID"
"初始密码（真实邮箱至少 12 位）","Initial password (must be at least 12 characters and use a real email address)."
开通邮箱,"Open an email account."
系统用户,"System user"
暂无邮箱账号。,"No mailbox accounts yet."
查看邮件,"View email."
开通/重置密码,"Provision / Reset password"
新密码,"New password"
确认更新,"Confirm update."
"先完成本机 Stalwart 引擎安装与管理连接，再配置下方域名 DNS。可在服务器上运行检测与安装计划命令。","Finish local Stalwart engine install and management connection first, then configure domain DNS below. Run the check and install-plan commands on the server."
检测企业邮箱服务环境,"Detect corporate email service environment"
查看或执行安装计划,"View or run the install plan"
"mail 主机的 A/AAAA 必须关闭 Cloudflare 代理（灰云、DNS-only），否则会隐藏源站 IP，SMTP/IMAP 无法工作。smtp 子域名可选；若配置也必须 DNS-only。","For mail hosts, A/AAAA records must have Cloudflare proxy disabled (set to ""DNS-only"" mode). Otherwise, the origin server IP will be hidden, and SMTP/IMAP will not function.  The SMTP subdomain is optional; however, if configured, it must also be set to ""DNS-only"" mode."
新增邮箱域名,"New email domain."
网站域名,"Website domain"
邮件主机,"Mail host"
创建邮箱域名,"Create an email domain."
"暂无邮箱域名。请先新增域名并完成 DNS。","No email domains yet. Add a domain and finish DNS first."
"源站公网 IP","Public IP address of the origin server."
"填写 Stalwart 实际公钥","Enter the actual public key for Stalwart."
可选,Optional
"TLS 证书必须有效，但不要求购买商业证书：可由 Stalwart/ACME 自动申请 Let’s Encrypt，也可使用自有证书。","The TLS certificate must be valid, but purchasing a commercial certificate is not required. It can be automatically provisioned using Let's Encrypt via Stalwart/ACME, or a self-signed certificate can be used."
"Cloudflare 一键 DNS 配置","One-click Cloudflare DNS"
"DKIM 选择器","DKIM selector."
"DKIM 公钥（只填公钥正文）","DKIM public key (enter only the public key text)."
"我确认 mail 主机必须 DNS-only，源站公网 IP 将可见","I confirm that the mail server must be DNS-only, and the source website's public IP address will be visible."
预览变更,"Preview changes."
"应用 DNS","Applying DNS."
暂停域名,"Suspend domain."
启用域名,"Enable domain."
收件邮箱格式不正确,"Recipient email format is invalid"
主题和正文不能为空,"Subject and body are required"
邮件已发送,"Email sent"
邮箱地址必须属于所选域名,"Email address must belong to the selected domain name"
邮箱账号已存在,"Email account already exists"
请先启用邮箱域名,"Please enable the email domain first."
邮箱账号已开通,"Mailbox provisioned"
"邮箱账号开通失败，请检查 Stalwart 管理连接","Email account creation failed. Please check the Stalwart management connection."
邮箱账号状态参数无效,"Invalid email account status parameter."
邮箱账号不存在,"Mailbox account does not exist"
"请先通过“开通/重置密码”在 Stalwart 中开通该账号","Please first activate or reset the password for this account within Stalwart."
"无法确认 Stalwart 账号状态，请检查管理连接","Unable to verify the Stalwart account status. Please check the management connection."
邮箱账号状态已更新,"Email account status updated."
"Fake 邮箱不需要 Stalwart 密码","Fake email addresses do not require Stalwart passwords."
"邮箱已在 Stalwart 中开通，密码已更新","Mailbox provisioned in Stalwart and password updated"
"邮箱开通或密码重置失败，请检查 Stalwart 管理连接","Email activation or password reset failed. Please check the Stalwart connection."
"下载 stalwart-x86_64-pc-windows-msvc.zip","Download stalwart-x86_64-pc-windows-msvc.zip"
"解压 stalwart.exe 到 C:\Program Files\Stalwart\bin","Unzip stalwart.exe to C:\Program Files\Stalwart\bin"
"安装 NSSM 并注册 Stalwart Windows 服务","Install NSSM and register the Stalwart Windows service"
"生成 etc\config.json 并设置服务自启动","Generate etc\config.json and set the service to start automatically"
"启动服务后读取 18080/admin 初始化状态","After starting the service, read the initial status at 18080/admin."
"下载 Stalwart Linux 二进制","Download Stalwart Linux binaries"
"创建 /opt/stalwart/{bin,etc,data,logs}","Create /opt/stalwart/{bin,etc,data,logs}"
"生成 Stalwart 配置文件","Generate Stalwart configuration file"
"注册 systemd 服务","Register systemd service"
"启动服务并检测 SMTP/IMAP/Admin 端口","Start services and detect SMTP/IMAP/Admin ports"
"Stalwart 可执行文件","Stalwart executable"
"SMTP 25 端口","SMTP port 25"
"SMTP Submission 587 端口","SMTP Submission port 587"
"IMAP 143 端口","IMAP port 143"
"IMAPS 993 端口","IMAPS port 993"
"Stalwart Admin/JMAP 18080 端口","Stalwart Admin/JMAP Port 18080"
"NSSM Windows 服务包装器","NSSM Windows Service Wrapper"
"systemd 服务管理","systemd service management"
安装脚本不存在：%{1},"Installation script does not exist: %{1}"
"真实安装脚本已准备，但为避免误改系统服务，请先通过 env:install stalwart-mail-server -y 执行框架依赖安装入口。","The real installation script has been prepared, but to avoid accidentally modifying system services, please first execute the framework dependency installation entry through env:install stalwart-mail-server -y."
不支持的服务动作：%{1},"Unsupported service action: %{1}"
邮件已提交发送,"Message submitted"
"127.0.0.1:%{1} 可连接","127.0.0.1:%{1} is connectable"
"邮箱账号只能使用小写字母、数字、点、下划线和短横线，长度为 2 到 63 位。","Mailbox names may only use lowercase letters, numbers, dots, underscores, and hyphens, and must be 2 to 63 characters long."
请选择已开启的邮箱域名,"Please choose an enabled mail domain"
邮箱服务尚未开启，请等待站点管理员完成邮件服务环境配置。,"Mail service is not enabled yet. Please wait for the site administrator to finish configuring the mail service environment."
您已经申请过该邮箱账号,"You have already applied for this mailbox account"
该邮箱账号已被占用,"This mailbox account is already taken"
邮箱账号已启用，可在测试邮箱中收发信。,"Mailbox account is active. You can send and receive messages in the test mailbox."
邮箱账号申请已提交，管理员同步邮件服务后即可使用。,"Your mailbox application has been submitted. It can be used after an administrator syncs it to the mail service."
不支持的邮箱账号状态,"Unsupported mailbox account status"
邮箱账号已暂停,"Mailbox account has been suspended"
邮箱账号已恢复启用,"Mailbox account has been restored to active"
邮箱账号已恢复为待同步状态,"Mailbox account has been restored to pending sync"
"由邮件引擎生成 DKIM 公钥后填写","Fill in the DKIM public key generated by the mail engine."
邮箱域名格式无效。,"The email domain format is invalid."
邮件服务主机名必须属于当前邮箱域名。,"The mail server hostname must belong to the current email domain."
"DKIM 选择器格式无效。","The DKIM selector format is invalid."
"源站 IP 必须是可公开路由的 IPv4 或 IPv6。","The source IP address must be a routable IPv4 or IPv6 address."
"必须填写 Stalwart 实际生成的 DKIM 公钥，禁止填写私钥或示例值。","Enter the actual DKIM public key generated by Stalwart; private keys and examples are forbidden."
"DKIM TXT 缺少有效的 p= 公钥。","DKIM TXT record is missing a valid public key (p=)."
"DKIM 公钥不是有效的 Base64 公钥。","The DKIM public key is not a valid Base64 public key."
请选择已启用的自建邮箱账号,"Please choose an active self-hosted mailbox account"
真实自建邮箱账号必须通过已鉴权的邮箱界面发送,"Real, self-built email accounts must send messages through an authenticated email interface."
企业邮箱发送失败，请检查邮件服务状态,"Failed to send corporate email. Please check the email service status."
请选择已启用的测试邮箱账号,"Please choose an active test mailbox account"
测试邮件已发送并投递到本地收件箱,"Test message was sent and delivered to the local inbox"
测试邮件已写入发件箱,"Test message was written to Sent"
测试收件：%{1},"Test inbound message: %{1}"
"这是一封 fake 邮件服务生成的收件测试邮件，用于验证收件箱业务链路。","This inbound test message was generated by the fake mail service to verify the inbox business flow."
测试收件已写入收件箱,"Test inbound message was written to Inbox"
企业邮箱前台注册未开启,"Storefront business email signup disabled"
"企业邮箱密码至少 8 位","Business email password at least 8 chars"
请填写有效的辅助邮箱用于真人验证,"Enter a valid secondary email for human verification"
验证码已发送到辅助邮箱（测试环境可直接使用）：%{1},"Verification code sent to secondary email (test env may use directly): %{1}"
验证已过期，请重新申请,"Verification expired, please reapply"
验证码不正确,"Incorrect verification code"
"========== 企业邮箱环境检测 ==========","========== Enterprise mailbox environment detection =========="
平台：%{1},"Platform: %{1}"
引擎：%{1},"Engine: %{1}"
"✔ %{1}","✔ %{1}"
"✖ %{1}：%{2}","✖ %{1}：%{2}"
未满足,"not satisfied"
"企业邮箱运行环境已满足 ✔","The enterprise mailbox operating environment has met ✔"
"检测 Stalwart、系统服务、关键端口等企业邮箱环境状态","Detect enterprise mailbox environment status such as Stalwart, system services, key ports, etc."
"========== 企业邮箱安装计划 ==========","========== Enterprise Email Installation Plan =========="
安装完成,"Installation completed"
安装未执行,"Installation not executed"
脚本：%{1},"Script: %{1}"
安装或展示企业邮箱服务依赖,"Install or display enterprise email service dependencies"
展示或执行企业邮箱服务原生安装计划,"Demonstrate or execute a native installation plan for enterprise email services"
确认执行安装准备动作,"Confirm execution of installation preparation actions"
服务停止命令已执行,"Service stop command has been executed"
停止企业邮箱服务,"Stop corporate email service"
"停止 Stalwart 服务","Stop Stalwart service"
服务重启命令已执行,"Service restart command has been executed"
重启企业邮箱服务,"Restart corporate email service"
"重启 Stalwart 服务","Restart the Stalwart service"
"========== 企业邮箱服务状态 ==========","========== Corporate email service status =========="
"Stalwart 服务状态正常","Stalwart service status is normal"
"Stalwart 服务状态异常或未安装","Stalwart service status is abnormal or not installed"
无输出,"No output"
查看企业邮箱服务状态,"Check the status of corporate email service"
"查看 Stalwart 服务状态","View Stalwart service status"
服务启动命令已执行,"Service startup command has been executed"
启动企业邮箱服务,"Start corporate email service"
"启动 Stalwart 服务","Start the Stalwart service"
"========== 企业邮箱 DNS 检测 ==========","========== Corporate Email DNS Detection =========="
"✖ %{1}","✖ %{1}"
"检测企业邮箱 DNS 记录","Detect corporate email DNS records"
"检测 MX/SPF/DKIM/DMARC 记录是否存在","Check if MX/SPF/DKIM/DMARC records exist"
