请指定分支。,"Please specify a branch."
发布预检存在阻断项，不能执行回滚。,"There are blocking items in the release preflight and rollback cannot be performed."
"当前项目 Profile 未配置回滚参考。","The current project Profile does not have a rollback reference configured."
当前项目发布记录,"Current Project Releases"
当前域名发布记录,"Current Domain Releases"
全局发布记录,"Global Releases"
"未选择子项目，显示 WLS 主项目发布历史。","No child project is selected, so WLS host project release history is shown."
"Tag 发布策略","Tag Release Policy"
默认启用,"Enabled by Default"
已调整,Adjusted
"默认仅响应 tag push；需要分支发布时必须在 Deploy 配置中显式开启。","By default only tag pushes are accepted; branch releases must be explicitly enabled in Deploy Config."
"Webhook 随机路径","Webhook Random Path"
已生成,Generated
待生成,Pending
"公网入口使用 ~wh~ 随机路径和密钥鉴权，由 ModuleRouter 转入发布控制器。","The public endpoint uses a ~wh~ random path plus secret authentication, then ModuleRouter forwards it to the release controller."
子项目发布档案,"Child Project Release Profiles"
已启用,Enabled
已保存,Saved
继承全局,"Inherits Global"
"当前项目已有独立发布 Profile，后续 webhook/manual release 会按项目上下文读取。","This project already has a dedicated release profile; later webhook/manual release flows will read it by project context."
"当前项目暂未保存独立 Profile，发布能力继续读取全局 Deploy 配置。","This project has no dedicated profile yet, so release capabilities continue to read global Deploy configuration."
发布日志,"Release Logs"
已接入,Connected
"Webhook 与命令发布共用发布历史服务，面板可直接查看最近发布状态。","Webhook and command releases share the release history service, so the panel can show recent release status directly."
"仅分支 Push","Branch Push Only"
"分支 + Tag 都生效","Branch + Tag"
"仅 Tag Push","Tag Push Only"
成功,Success
失败,Failed
运行中,Running
等待中,Pending
未知,Unknown
会触发发布,"Would Trigger Release"
不会触发,"Will Be Skipped"
待回放,"Ready to Replay"
"Plan ready","Plan ready"
"Policy skipped","Policy skipped"
"Waiting for ref","Waiting for ref"
"Current WLS project root","Current WLS project root"
Enabled,Enabled
Disabled,Disabled
"Enabled, command not configured","Enabled, command not configured"
"No execution plan yet","No execution plan yet"
"Enter a matching tag or branch ref to preview the manual release path.","Enter a matching tag or branch ref to preview the manual release path."
"Fetch tags from %{1}, then checkout tag %{2}.","Fetch tags from %{1}, then checkout tag %{2}."
"Fetch %{1}, then %{2} branch %{3}.","Fetch %{1}, then %{2} branch %{3}."
"Preflight gate","Preflight gate"
Backup,Backup
"Create a deploy backup before Git changes.","Create a deploy backup before Git changes."
"Git update","Git update"
Composer,Composer
"Composer is enabled, but no command is configured yet.","Composer is enabled, but no command is configured yet."
"Composer is disabled for this project.","Composer is disabled for this project."
"Post deploy","Post deploy"
"No post-deploy command is configured.","No post-deploy command is configured."
"Runtime stamp and reload","Runtime stamp and reload"
"A real release would write current.json, sync env release metadata, record project-scoped history, dispatch release_after, and reload WLS.","A real release would write current.json, sync env release metadata, record project-scoped history, dispatch release_after, and reload WLS."
"Execution gate","Execution gate"
"Build Plan stays read-only. Run Release requires explicit confirmation and re-runs the preflight and trigger policy before execution.","Build Plan stays read-only. Run Release requires explicit confirmation and re-runs the preflight and trigger policy before execution."
"Manual release ref contains unsupported shell control characters.","Manual release ref contains unsupported shell control characters."
"Manual release ref is outside the WLS allowlist.","Manual release ref is outside the WLS allowlist."
策略命中，会进入发布流程。,"Policy matched; it would enter the release flow."
"当前为仅 Tag Push，分支事件会被跳过。","Current mode is Tag Push only, so branch events will be skipped."
"当前为仅分支 Push，Tag 事件会被跳过。","Current mode is Branch Push only, so tag events will be skipped."
"分支与 Webhook 分支过滤不匹配。","Branch does not match the Webhook branch filter."
"Tag 不符合配置的前缀过滤。","Tag does not match the configured prefix filter."
"Ref 不是可识别的分支或 Tag。","Ref is not a recognizable branch or tag."
暂无回放结果。,"No replay result yet."
"项目发布 Profile 已保存。","Project release profile saved."
发布预检已完成，未执行真实发布。,"Release preflight completed; no real release was executed."
"Webhook 回放预检已完成，未执行真实发布。","Webhook replay preflight completed; no real release was executed."
项目回滚已完成。,"Project rollback completed."
"Manual release plan is ready; no release was executed.","Manual release plan is ready; no release was executed."
"Manual release plan was skipped by the current trigger policy; no release was executed.","Manual release plan was skipped by the current trigger policy; no release was executed."
"Manual release completed.","Manual release completed."
"Manual release was skipped by the current trigger policy; no release was executed.","Manual release was skipped by the current trigger policy; no release was executed."
"WLS 面板部署发布入口","WLS panel deployment release portal"
"查看 WLS 部署发布","View WLS deployment releases"
"查看 WLS 面板部署发布","View WLS Panel Deployment Release"
"View WLS Deploy Overview","View WLS Deploy Overview"
grid,grid
"View WLS Panel deploy overview","View WLS Panel deploy overview"
"View WLS Deploy Release Path","View WLS Deploy Release Path"
branch,branch
"View WLS Panel deploy release path","View WLS Panel deploy release path"
"View WLS Deploy Configuration","View WLS Deploy Configuration"
settings,settings
"View WLS Panel deploy configuration","View WLS Panel deploy configuration"
"View WLS Deploy Project Profile","View WLS Deploy Project Profile"
edit,edit
"View WLS Panel deploy project profile","View WLS Panel deploy project profile"
"View WLS Deploy Preflight","View WLS Deploy Preflight"
check,check
"View WLS Panel deploy preflight","View WLS Panel deploy preflight"
"View WLS Deploy Webhooks","View WLS Deploy Webhooks"
"View WLS Panel deploy webhooks","View WLS Panel deploy webhooks"
"View WLS Deploy Releases","View WLS Deploy Releases"
"View WLS Panel deploy releases","View WLS Panel deploy releases"
"View WLS Deploy Manual Plan","View WLS Deploy Manual Plan"
list,list
"View WLS Panel deploy manual plan","View WLS Panel deploy manual plan"
"保存 WLS 项目发布 Profile","Save WLS Project Release Profile"
"保存 WLS 面板项目发布 Profile","Save WLS Panel Project Release Profile"
"执行 WLS 项目发布预检","Perform a WLS project release preflight"
"执行 WLS 面板项目发布预检","Perform WLS Panel project release preflight"
"回放 WLS 发布 Webhook","Replay WLS publish webhook"
"回放 WLS 面板 Webhook 触发策略","Replay WLS Panel Webhook Triggering Policy"
"执行 WLS 项目发布回滚","Performing a WLS project release rollback"
"执行 WLS 面板项目发布回滚","Performing a WLS panel project release rollback"
"Build WLS manual release plan","Build WLS manual release plan"
"Build read-only WLS Panel manual release execution plan","Build read-only WLS Panel manual release execution plan"
"Run WLS project rollback","Run WLS project rollback"
"Run WLS Panel project rollback","Run WLS Panel project rollback"
项目仓库地址不合法。,"Project repository URL is invalid."
"Webhook 密钥包含不允许的控制字符。","Webhook secret contains disallowed control characters."
已配置，留空表示不修改,"Configured, leave blank to not modify"
未配置,"Not Configured"
立即复制,"Copy now"
"后台配置保存后会优先于 dev/deploy/.config 和 .env；字段留空时才回退到服务器文件配置。","After the background configuration is saved, it will take precedence over dev/deploy/.config and .env; only when the field is left blank will it fall back to the server file configuration."
项目仓库,"Project warehouse"
项目仓库地址,"Project Repository URL"
项目分支,"Project Branch"
"Git Remote 名称","GitRemote name"
项目仓库用户名,"Project repository username"
"项目仓库 Token","Project Warehouse Token"
部署行为,"Deployment behavior"
部署根目录,"deployment root directory"
"Git 更新模式","Git update mode"
"Composer 命令","Composer command"
部署后命令,"Post Deploy Command"
允许覆盖本地改动,"Allow local changes to be overridden"
允许切换分支,"Allow switching branches"
"更新 Submodule","Update Submodule"
"运行 Composer","Run Composer"
核心仓库,"core warehouse"
核心仓库地址,"Core warehouse address"
核心默认分支,"core default branch"
核心仓库用户名,"Core warehouse username"
"核心仓库 Token","Core Warehouse Token"
Webhook,Webhook
"当前站点域名可直接用于 Webhook；请将下方完整地址复制到 Gitee/GitHub 仓库 Webhook 配置。","The current site domain can be used directly for Webhook. Copy the full URL below into your Gitee/GitHub repository Webhook settings."
域名来源：%{1},"Domain source: %{1}"
"尚未生成 Webhook 路径。首次生成：","No Webhook path yet. Generate one with:"
；仅轮换路径：,";Rotate paths only:"
"Webhook 公网地址（复制到 Git 平台）","Webhook public URL (copy to Git platform)"
"尚未生成，请执行 deploy:webhook:setup","It has not been generated yet, please execute deploy:webhook:setup"
"Webhook 入口挂在站点根域名下，不跟随后台路径前缀；版本探测地址为同路径后加 /version。","The Webhook entry is mounted on the site root domain and does not follow the backend path prefix. Append /version for release probing."
版本探测地址,"Version probe URL"
"Webhook 随机路径（只读）","Webhook random path (read-only)"
"Webhook 密钥","Webhook key"
"即 webhook_secret；留空保存表示不修改已有密钥。","That is, webhook_secret; leaving it blank to save means not to modify the existing key."
"Bash 命令","Bash commands"
"Webhook 配置引导","Webhook Setup Guide"
"Git 平台 Webhook URL 使用上方「Webhook 公网地址」；Secret/密码与「Webhook 密钥」相同。","Use the Webhook public URL above as the Git platform Webhook URL. Secret/password must match the Webhook secret field."
其他平台,"Other Platforms"
"第 1 步：进入 Gitee 仓库设置","Step 1: Open Gitee repository settings"
"打开 Gitee 仓库页面，点击顶部「管理」","Open your Gitee repository page, click \Manage\ at the top"""""""""""""""
"左侧菜单找到「WebHooks」，点击「添加 WebHook」","Find \WebHooks\ in the left menu"""""""
"第 2 步：填写 Webhook 信息","Step 2: Fill in Webhook details"
密码,Password
"填写上方「Webhook 密钥」中保存的值","Enter the value saved in \Webhook Secret\ above"""""""""""""""
触发事件,"Trigger Events"
勾选「Push」,"Check \Push\"""""
数据格式,Data format
第 3 步：验证,Step 3: Verify
返回 {""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""ok"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""":true} 即表示 Webhook 入口正常。"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
数据格式,数据格式
"第 3 步：验证","第 3 步：验证"
"返回 {""ok"":true} 即表示 Webhook 入口正常。","Returning {""ok"":true} means that the Webhook entry is normal."
"第 1 步：进入 GitHub 仓库设置","Step 1: Open GitHub repository settings"
"打开 GitHub 仓库页面，点击「Settings」","Open your GitHub repository page, click \Settings\"""""
左侧菜单找到「Webhooks」，点击「Add webhook」,Find """"Webhooks"""" on the left menu and click """"Add webhook"""""""
"左侧菜单找到「Webhooks」，点击「Add webhook」","左侧菜单找到「Webhooks」，点击「Add webhook」"
"选择「Just the push event」","Select \Just the push event\"""""
支持的 Webhook 协议,Supported webhook protocols
本系统兼容标准 Webhook 协议，支持以下鉴权方式：,This system is compatible with the standard Webhook protocol and supports the following authentication methods:
通用 HTTP Bearer Token,Standard HTTP Bearer Token
URL 参数传递,URL query parameter
Gitee 专用（自动识别）,Gitee-specific (auto-detected)
GitHub 专用（HMAC-SHA256）,GitHub-specific (HMAC-SHA256)
Payload 要求,Payload Requirements
请求体为 JSON 格式，必须包含 <code>ref</code> 字段：,The request body is in JSON format and must contain the <code>ref</code> field:
Nginx 反代示例（WLS）,Nginx anti-generation example (WLS)
Webhook 随机路径与站点其他路径共用 WLS 反代，无需单独 fastcgi 入口。,Webhook random path shares the same WLS reverse proxy as the rest of the site; no extra fastcgi entry is required.
手动测试,Manual Test
默认仅 Tag Push：分支测试会返回 trigger_mode_tag_only；选择分支或两者都生效后，branch_mismatch 表示分支不匹配。,Default is Tag Push only: branch tests return trigger_mode_tag_only. After selecting Branch or Both"
"支持的 Webhook 协议","支持的 Webhook 协议"
"本系统兼容标准 Webhook 协议，支持以下鉴权方式：","本系统兼容标准 Webhook 协议，支持以下鉴权方式："
"通用 HTTP Bearer Token","通用 HTTP Bearer Token"
"URL 参数传递","URL 参数传递"
"Gitee 专用（自动识别）","Gitee 专用（自动识别）"
"GitHub 专用（HMAC-SHA256）","GitHub 专用（HMAC-SHA256）"
"Payload 要求","Payload 要求"
"请求体为 JSON 格式，必须包含 <code>ref</code> 字段：","请求体为 JSON 格式，必须包含 <code>ref</code> 字段："
"Nginx 反代示例（WLS）","Nginx 反代示例（WLS）"
"Webhook 随机路径与站点其他路径共用 WLS 反代，无需单独 fastcgi 入口。","Webhook 随机路径与站点其他路径共用 WLS 反代，无需单独 fastcgi 入口。"
手动测试,手动测试
"默认仅 Tag Push：分支测试会返回 trigger_mode_tag_only；选择分支或两者都生效后，branch_mismatch 表示分支不匹配。","默认仅 Tag Push：分支测试会返回 trigger_mode_tag_only；选择分支或两者都生效后，branch_mismatch 表示分支不匹配。"
触发模式,"Trigger Mode"
部署触发方式,"Deploy Trigger"
"默认仅 Tag Push；只有明确选择分支模式或两者都生效时才响应分支 push。","Default is Tag Push only; branch pushes are accepted only when Branch or Both is selected explicitly."
分支过滤,"Branch Filter"
"留空匹配所有分支；填写后仅该分支的 push 触发部署","Leave empty to match all branches; set to only trigger on pushes to this branch"
"Tag 前缀过滤","Tag Prefix Filter"
"留空匹配所有 tag；填写后仅匹配此前缀的 tag 触发部署","Leave blank to match all tags; after filling in, only tags matching this prefix will trigger deployment."
"发布探测 Token","Deploy Probe Token"
"访问 Webhook 路径后加 /version?token=xxx 可查看详细版本信息","Append /version?token=xxx to the Webhook path to view detailed version info"
版本策略,"Version Policy"
"分支 Push 版本 = commit 短 SHA（如 a3f5c2d）；Tag Push 版本 = tag 名（如 v2.4.1）。","Branch push version = commit short SHA (e.g. a3f5c2d); Tag push version = tag name (e.g. v2.4.1)."
"Git 平台配置提示","Git Platform Setup Tips"
"「触发模式」选「仅 Tag Push」时，Webhook 触发事件需额外勾选「Tag Push」；选「仅分支 Push」或「都生效」时勾选「Push」即可。","When trigger mode is \Tag Push Only\"""
默认「Just the push event」已包含分支和 tag push，无需额外配置。,By default """"Just the push event"""" already includes branch and tag push"
"默认「Just the push event」已包含分支和 tag push，无需额外配置。","默认「Just the push event」已包含分支和 tag push，无需额外配置。"
测试：,Test:
Cloudflare,Cloudflare
启用缓存清理,"Enable cache cleaning"
"Cloudflare Zone ID","Cloudflare Zone ID"
"Cloudflare API Token","Cloudflare API Token"
保存配置,"Save configuration"
已复制,Copied
当前版本,"Current Version"
尚未发布过,"No releases yet"
正式站回滚前将自动整站备份。,"Production sites back up automatically before rollback."
暂无发布记录,"No release records yet"
时间,time
版本,Version
类型,Type
触发,Trigger
范围,Scope
状态,Status
耗时,Duration
Commit,Commit
当前,Current
tag,tag
全局,Global
回滚到此版本,"Rollback to This Version"
确认回滚,"Confirm Rollback"
回滚可能导致数据迁移、配置或代码不兼容。,"Rollback may break migrations, config, or code compatibility."
我确认要回滚到此版本,"I confirm rollback to this version"
我确认要回滚到更旧版本,"I confirm rollback to an older version"
取消,Cancel
执行回滚,"Run Rollback"
回滚到版本,"Rollback to version"
需要确认,"Needs Review"
已配置，留空表示保留当前项目密钥,"Configured; leave blank to keep the current project secret."
未配置，可填写当前项目独立密钥,"Not configured; enter a project-specific secret if needed."
项目密钥,"Project Secret"
全局密钥,"Global Secret"
已配置,Configured
"当前 WLS","Current WLS"
域名上下文,"Domain Context"
本机面板,"Local Panel"
已保存未启用,"Saved, Disabled"
"当前 WLS 主项目","Current WLS Host Project"
"WLS 部署导航","WLS Deploy Navigation"
"WLS 插件面板","WLS Plugin Panel"
部署发布,Deploy
部署发布菜单,"Deploy Menu"
总览,Overview
发布路径,"Release Path"
配置摘要,"Configuration Summary"
"项目 Profile","Project Profile"
发布预检,"Release Preflight"
"Webhook 回放","Webhook Replay"
发布记录,"Release Records"
插件商城,"Plugin Marketplace"
"Manual Plan","Manual Plan"
深色,Dark
浅色,Light
切换明暗色,"Toggle Theme"
"返回 WLS Panel","Back to WLS Panel"
"WLS 独立插件","WLS Standalone Plugin"
"集中查看当前 WLS 项目的 Tag/Webhook 发布策略、脱敏配置状态和最近发布结果；完整编辑仍进入 Deploy 配置页。","Review the current WLS project's tag/webhook release policy, redacted configuration status, and recent release results; full editing stays in Deploy Config."
"打开 Deploy 配置","Open Deploy Config"
完整发布历史,"Full Release History"
项目后台,"Project Admin"
项目上下文,"Project Context"
项目,Project
域名,Domain
未指定,"Not Specified"
由项目卡片安全透传,"Safely passed from the project card"
操作,Operation
"来自 WLS capability 链接","From WLS capability link"
触发策略,"Trigger Policy"
默认保守发布策略,"Default conservative release policy"
项目发布路径,"Project Release Path"
"从项目卡片进入后，Profile、Webhook 回放、Manual Plan 和发布记录会共享同一组 WLS 项目上下文。","When opened from a project card, Profile, Webhook Replay, Manual Plan, and release records share the same WLS project context."
"发布 Profile","Release Profile"
继承全局配置,"Inherited Global Config"
"配置 Profile","Configure Profile"
触发与计划,"Trigger and Plan"
默认示例：%{1},"Default sample: %{1}"
"%{1} 条","%{1} records"
查看当前范围,"View Current Scope"
"真实发布成功后会记录 profile_key、project_id、domain 与 project_type；当前页面按这组上下文刷新发布历史。","A successful release records profile_key, project_id, domain, and project_type; this page refreshes release history by that context."
"项目发布 Profile","Project Release Profile"
"为当前 WLS 项目保存独立仓库、Tag 策略、回滚参考和发布命令；保存后仍由后续发布动作显式触发。","Save a dedicated repository, tag policy, rollback reference, and release command for the current WLS project; saving still requires a later explicit release action."
"启用项目 Profile","Enable Project Profile"
发布前备份,"Backup Before Release"
"Tag 前缀","Tag prefix"
"例如 v","For example v"
"Webhook 分支过滤","Webhook branch filtering"
"项目 Webhook 密钥","Project Webhook Secret"
当前验签来源,"Current verification source"
命令白名单,"Command Allowlist"
"Composer 示例","Composer Examples"
部署后命令示例,"Post-deploy Command Examples"
回滚参考,"Rollback Reference"
回滚示例,"Rollback Examples"
说明,Description
记录该项目发布注意事项,"Record release notes for this project"
"发布 Profile 会被后续 webhook/manual release 按项目上下文读取；当前按钮只保存配置。","The release profile will be read by later webhook/manual release flows using the project context; this button only saves configuration."
"保存 Profile","Save Profile"
"仅检查当前项目发布配置、触发策略和命令白名单，不执行 Git、文件写入或服务重载。","Checks only the current project release config, trigger policy, and command allowlist; it does not run Git, write files, or reload services."
执行预检,"Run Preflight"
暂无预检结果。,"No preflight result yet."
"Rollback Action","Rollback Action"
"Only the saved Profile rollback reference is used, and it runs inside the selected project context.","Only the saved Profile rollback reference is used, and it runs inside the selected project context."
"Not configured","Not configured"
"Rollback Version","Rollback Version"
"Release ID","Release ID"
Ref,Ref
"Confirm rollback in the selected project context","Confirm rollback in the selected project context"
"Run Rollback","Run Rollback"
"Webhook 回放预检","Webhook Replay Preflight"
"输入 webhook payload.ref，复用当前项目 Tag/Branch 策略，只判断是否会触发发布。","Enter webhook payload.ref and reuse the current project Tag/Branch policy to check whether a release would trigger."
"Webhook Ref","Webhook Ref"
回放预检,"Replay Preflight"
回放示例,"Replay Examples"
"Tag 示例","Tag Example"
分支示例,"Branch Example"
判断结果,Decision
发布版本,"Release Version"
"Git Checkout","Git Checkout"
原因,Reason
"还没有回放结果；可以先用 Tag 示例确认默认 tag-only 策略。","No replay result yet; use the Tag example to confirm the default tag-only policy."
"Manual Release Plan","Manual Release Plan"
"Preview the exact project-scoped release path, then run it only after explicit confirmation. The server re-checks preflight and trigger policy before execution.","Preview the exact project-scoped release path, then run it only after explicit confirmation. The server re-checks preflight and trigger policy before execution."
"Manual release ref","Manual release ref"
"Raw tag names are interpreted as tag refs in tag mode; explicit refs/tags/* and refs/heads/* are preferred.","Raw tag names are interpreted as tag refs in tag mode; explicit refs/tags/* and refs/heads/* are preferred."
"Build Plan","Build Plan"
"Manual release examples","Manual release examples"
"Tag sample","Tag sample"
"Branch sample","Branch sample"
"I understand this will run Git, write release metadata, record history, and reload WLS for the selected project context.","I understand this will run Git, write release metadata, record history, and reload WLS for the selected project context."
"Run Release","Run Release"
"Plan status","Plan status"
Type,Type
"Deploy version","Deploy version"
"Git checkout","Git checkout"
Profile,Profile
"Deploy root","Deploy root"
"Remote / mode","Remote / mode"
Reason,Reason
"No manual release plan yet. Build a tag plan first to verify the selected project Profile and trigger policy.","No manual release plan yet. Build a tag plan first to verify the selected project Profile and trigger policy."
planned,planned
pending,pending
敏感字段只显示是否配置，不显示原值。,"Sensitive fields only show whether they are configured; raw values are not displayed."
"Webhook 已生成","Webhook Generated"
"Webhook 待生成","Webhook Pending"
仓库地址,"Repository URL"
"分支 / Remote","Branch / Remote"
"Webhook 路径","Webhook Path"
未生成,"Not Generated"
"Tag 前缀 / 分支过滤","Tag Prefix / Branch Filter"
"全部 Tag","All Tags"
全部分支,"All Branches"
密钥状态,"Secret Status"
"仓库 Token","Repository Token"
后置能力,"Post Deploy Capabilities"
启用,On
关闭,Off
命令,Command
当前运行版本,"Current Runtime Version"
"读取 var/deploy/current.json，不触发发布动作。","Reads var/deploy/current.json without triggering a release."
已发布,Released
暂无版本,"No Version"
引用,Ref
提交,Commit
发布时间,"Released At"
"尚未发布过；完成一次 deploy:release 或合法 Tag Webhook 后会在这里显示当前版本。","No release yet; after deploy:release or a valid tag webhook, the current version will appear here."
能力阶段,"Capability Stage"
"仅显示当前 WLS 项目最近 12 条发布历史，失败记录保留错误摘要。","Only the 12 most recent release records for the current WLS project are shown; failed records keep their error summary."
"显示 WLS 主项目最近 12 条发布历史，失败记录保留错误摘要。","The 12 most recent WLS host project release records are shown; failed records keep their error summary."
查看完整列表,"View Full List"
发布历史暂不可用：%{1},"Release history is temporarily unavailable: %{1}"
耗时未知,"Duration Unknown"
"当前项目暂无发布记录。完成一次项目上下文发布或 Tag Webhook 后会写入这里。","No release records for the current project yet. A project-context release or tag webhook will write records here."
"暂无发布记录。完成一次命令发布或 Tag Webhook 后会写入发布历史。","No release records yet. Command releases or tag webhooks will write release history."
等价于命令,"Equivalent to command"
"不会覆盖 env.php、.env、dev/deploy/.config 及业务模块目录。","Will not overwrite env.php, .env, dev/deploy/.config, or business module directories."
正式站执行前将自动整站备份。,"Production sites automatically create a full-site backup before core update."
"未配置，将使用默认 GitHub/Gitee 仓库","If not configured, the default GitHub/Gitee repository will be used"
默认分支,"Default branch"
受保护路径,"Protected Paths"
更新分支,"Update Branch"
我确认要执行核心更新,"I confirm core update"
开始核心更新,"Start Core Update"
执行日志,"Execution Log"
执行中...,Running...
请先在部署配置中填写项目仓库信息。,"Configure the project repository in Deployment Settings first."
前往部署配置,"Go to Deployment Settings"
"正式站发布前将自动整站备份；发布过程不会覆盖 pub/ 与生成目录。","Production sites back up before release; pub/ and generated directories are not overwritten."
查看分支,"View Branch"
刷新提交,"Refresh Commits"
"刷新 Tags","Refresh Tags"
分支提交,"Branch Commits"
作者,author
确认发布,"Confirm Release"
目标版本早于当前版本，回退可能导致数据迁移、配置或代码不兼容。,"The target version is older than the current one; rollback may break migrations, config, or code compatibility."
我确认要执行发布,"I confirm this release"
我确认要发布到更旧版本,"I confirm releasing to an older version"
立即发布,"Release Now"
加载分支中...,"Loading branches..."
加载分支失败,"Failed to load branches"
加载提交中...,"Loading commits..."
加载提交失败,"Failed to load commits"
更旧,Older
发布,release
"加载 Tags 中...","Loading tags..."
"加载 Tags 失败","Failed to load tags"
"发布 commit","Release commit"
"发布 tag","Release tag"
发布执行中...,Releasing...
发布成功,"Posted successfully"
发布失败,"Publishing failed"
部署根目录不存在，无法创建备份。,"Deploy root does not exist; backup cannot be created."
无法创建备份目录。,"Unable to create backup directory."
整站备份失败：未生成归档文件。,"Full-site backup failed: archive was not created."
"PowerShell 备份失败。","PowerShell backup failed."
"tar 备份失败：%{1}","tar backup failed: %{1}"
无法创建目录：%{1},"Unable to create directory: %{1}"
"无法生成 SSH 密钥，请确认服务器已安装 ssh-keygen。","Unable to generate SSH key, please verify that the server has ssh-keygen installed."
"命令行 --base-url","Command line --base-url"
"运行环境 website_url","Operating environment website_url"
"环境配置 %{1}","Environment configuration %{1}"
"app/etc/env.php website_url","app/etc/env.php website_url"
"app/etc/env.php website.url","app/etc/env.php website.url"
"网站管理默认站点 URL","Website management default site URL"
"推荐：Bearer 鉴权（GitHub / 通用 HTTP 客户端）","Recommended: Bearer authentication (GitHub / universal HTTP client)"
"兼容：X-Webhook-Token 请求头（与部分平台密码字段等价）","Compatible with: X-Webhook-Token request header (equivalent to some platform password fields)"
"兼容：URL 查询参数 token","Compatible with: URL query parameter token"
健康检查（GET，无需密钥）,"Health check (GET, no key required)"
"【1】Webhook 公网路径为随机生成（~wh~ 前缀），仅 deploy:webhook:setup 可轮换；Git 平台 URL 须与命令输出完全一致。","[1] The Webhook public network path is randomly generated (~wh~ prefix), and only deploy:webhook:setup can be rotated; the Git platform URL must be exactly the same as the command output."
"【2】Git 平台 Secret / 密码须与下方 webhook_secret 一致；推荐使用 Authorization: Bearer。","【2】The Git platform Secret/password must be consistent with the webhook_secret below; it is recommended to use Authorization: Bearer."
"【3】版本探测地址为 Webhook 路径后加 /version（可配合后台「发布探测 Token」）。","【3】The version detection address is the Webhook path followed by /version (can be used in conjunction with the background ""publish detection token"")."
"【4】Git 平台 Webhook URL（复制到仓库配置）：%{1}","【4】Git platform Webhook URL (copy to warehouse configuration): %{1}"
"【4】未能自动推断站点域名，请追加 --base-url=https://你的域名 后重新运行以输出完整部署地址与 curl。","[4] The site domain name cannot be automatically inferred. Please add --base-url=https://your domain name and re-run to output the complete deployment address and curl."
"【5】仅在专用部署目录测试 curl，避免误触发开发机上的未提交代码。","【5】Only test curl in the dedicated deployment directory to avoid accidentally triggering uncommitted code on the development machine."
"【6】本次已生成新的 Webhook 密钥并写入后台配置，请同步更新 Git 平台 Webhook 中的密钥。","【6】This time, a new Webhook key has been generated and written into the background configuration. Please update the key in the Git platform Webhook simultaneously."
"【7】部署 SSH 公钥：将公钥添加到 Git 平台「部署公钥 / Deploy Key」（只读即可），服务器私钥位于 %{1}（勿提交 Git）。","【7】Deploy SSH public key: Add the public key to the Git platform ""Deploy Public Key/Deploy Key"" (read-only), and the server private key is located at %{1} (do not submit to Git)."
