主题通知事件,"""حدث Theme."","
"严重错误：编译后的%{1}文件中检测到PHP代码，这是不允许的\n\n位置信息：\n  源文件: %{2}\n  来源标识: %{3}\n  %{1}内容中的行号: 第 %{4} 行\n  PHP代码位置: 字符位置 %{5}\n\n问题代码片段：\n%{6}\n\n错误说明：\n  主题布局内不允许存在编译后还有PHP代码。\n  编译后的%{1}文件必须是纯%{1}，不能包含任何PHP代码。\n\n正确的做法：\n  1. 使用CSS变量：在模板中定义CSS变量，然后在CSS中使用 var()\n  2. 使用data属性：在HTML元素上设置data属性，然后在JS中读取\n  3. 使用window对象：在模板中设置 window.config = {...}，然后在JS中使用\n  4. 使用标签系统：使用框架提供的标签系统传递数据\n  5. 如果确实需要PHP代码，请添加 data-no-extract=""true"" 属性，不提取该标签","خطأ حرج: تم اكتشاف كود PHP في ملف %{1} المجمّع، وهو أمر غير مسموح به.

معلومات الموقع:
  ملف المصدر: %{2}
  معرف المصدر: %{3}
  رقم السطر في محتوى %{1}: السطر %{4}
  موضع كود PHP: موضع الحرف %{5}

مقتطف التعليمات البرمجية الذي يسبب المشكلة:
%{6}

شرح الخطأ:
  لا يجوز أن يحتوي تصميم القالب على كود PHP متبقي بعد التجميع.
  يجب أن يكون ملف %{1} المجمّع عبارة عن ملف %{1} نقي، ولا يجوز أن يحتوي على أي كود PHP.

الطرق الصحيحة:
  1. استخدم متغيرات CSS: عرّف متغيرات CSS في القالب، ثم استخدم var() في CSS.
  2. استخدم سمات data: قم بتعيين سمات data على عناصر HTML، ثم اقرأها في JavaScript.
  3. استخدم كائن window: قم بتعيين window.config = {...} في القالب، ثم استخدمه في JavaScript.
  4. استخدم نظام العلامات: استخدم نظام العلامات الذي يوفره الإطار لنقل البيانات.
  5. إذا كان من الضروري حقًا استخدام كود PHP، أضف سمة data-no-extract=""true"" لمنع استخراجه."
"Theme 配置读取缺少冻结的 locale。","يفتقر تكوين القالب إلى إعدادات المنطقة (locale) المجمدة."
"Theme 配置语言代码无效：%{1}","رمز لغة تكوين القالب غير صالح: %{1}"
产品布局定时边界缓存清理,产品布局定时边界缓存清理
"扫描产品/分类默认布局定时的生效与失效边界，按目标清理详情/FPC 缓存（不写回永久选择）","扫描产品/分类默认布局定时的生效与失效边界，按目标清理详情/FPC 缓存（不写回永久选择）"
"产品布局定时边界处理完成：%{1} 条","产品布局定时边界处理完成：%{1} 条"
产品布局定时边界处理失败：%{1},产品布局定时边界处理失败：%{1}
模板编译文件生成失败：%{1},"فشل توليد ملف تجميع القالب: %{1}"
"Weline UI 审计：扫描 %{1} 个文件","تدقيق واجهة مستخدم Weline: تم فحص %{1} ملفًا"
"Weline UI 审计通过","تم اجتياز تدقيق واجهة مستخدم Weline"
"Weline UI 审计失败：%{1} 项违规","فشل التدقيق في واجهة مستخدم Weline: %{1} مخالفة."
"审计 Weline UI 2.0 旧依赖、资源归属和性能预算","تدقيق Weline UI 2.0: الاعتمادات القديمة، وملكية الموارد، وميزانية الأداء"
"输出机器可读 JSON","أُخراج ملف JSON قابل للقراءة بواسطة الآلة."
完整审计,"تدقيق كامل"
"JSON 审计","تدقيق JSON"
"恢复会写回迁移前的字体图标值；请显式使用 --yes 确认。","سيتم استعادة قيم أيقونات الخطوط إلى ما كانت عليه قبل الترحيل؛ يرجى استخدام الخيار --yes للتأكيد بشكل صريح."
"已从快照恢复 %{1} 个图标值，跳过 %{2} 个已被后续修改的值。","تم استعادة %{1} قيم أيقونة من النسخة الاحتياطية، وتم تخطي %{2} قيم تم تعديلها لاحقًا."
快照：%{1},"لقطة شاشة: %{1}"
"按 Weline UI 2.0 图标迁移快照恢复数据","استعد البيانات باستخدام لقطة مُرحَّلة وفق أيقونات Weline UI 2.0."
"可选快照路径；默认使用 var/migration/weline-ui-2.0-icons.json","مسار اختياري للصورة المصغرة؛ يتم استخدام var/migration/weline-ui-2.0-icons.json افتراضيًا"
确认执行数据恢复,"تأكيد استعادة البيانات"
恢复默认快照,"استعادة النسخة الاحتياطية الافتراضية."
"设置了 -t/--theme 参数，但没有提供主题名称！","تم تعيين المعلمة -t/--theme، لكن لم يتم توفير اسم موضوع!"
已取消操作,"تم إلغاء العملية"
"=== 主题安装 ===","=== تثبيت السمة ==="
未找到可安装的主题,"لم يتم العثور على أي طُرُق تثبيت."
主题应该位于：%{1},"يُوجد الموضوع في: %{1}"
找到以下可安装的主题：,"عُثر على السمات القابلة للتثبيت التالية:"
[已安装],[مثبت]
[未安装],"[غير مثبت]"
"请选择要安装的主题（输入序号，或输入 0 取消）","يرجى اختيار السمة للتثبيت (أدخل الرقم، أو 0 للإلغاء)"
无效选择,"التحديد غير صالح"
"主题 %{1} 已经安装","العنوان %{1} مُثبَّت بالفعل."
是否重新安装？(y/n，默认：n),"هل ترغب في إعادة تثبيت البرنامج؟ (نعم/لا، القيمة الافتراضية: لا)"
扫描主题目录时出错：%{1},"خطأ أثناء فحص دليل السمة: %{1}"
正在安装主题：%{1},"تثبيت الموضوع: %{1}"
未找到主题：%{1},"العنوان غير موجود: %{1}"
主题注册文件不存在：%{1},"ملف تسجيل السمة غير موجود: %{1}"
"主题 %{1} 安装成功！","ثُبّتت السمة %{1} بنجاح!"
提示：使用以下命令激活主题：,"ملاحظة: استخدم الأمر التالي لتفعيل الطراز:"
"主题安装可能未完成，请检查 register.php 文件","قد يكون تثبيت السمة غير مكتمل. يرجى فحص ملف register.php."
安装主题时出错：%{1},"خطأ أثناء تثبيت الطراز: %{1}"
"主题 %{1} 未安装，无法激活","السمة %{1} غير مثبتة ولا يمكن تفعيلها."
"主题 %{1} 已激活！","العنوان %{1} نشط!"
激活主题时出错：%{1},"خطأ عند تفعيل الطراز: %{1}"
安装主题到系统,"ثبّت الطابع إلى النظام."
"设置了 -n/--name 参数，但没有提供主题名称！","تم تعيين المُعامل -n/--name، لكن لم يتم توفير اسم نمط!"
"设置了 -p/--parent 参数，但没有提供父主题名称！","تم تعيين المعلمة -p/--parent، لكن لم يتم توفير اسم موضوع والد!"
"设置了 -v/--version 参数，但没有提供版本号！","تم تعيين المعلمة -v/--version، لكن لم يُقدَّم رقم إصدار!"
"设置了 -d/--description 参数，但没有提供描述信息！","تم تعيين المعلمة -d/--description، لكن لم يتم توفير وصف!"
主题名称只能包含字母、数字、下划线和连字符！,"يُسمح لاسم الموضوع بتحتوي فقط على أحرف، وأرقام، وعلامات تحتية، وعلامات فاصلة!"
"父主题 ""%{1}"" 不存在！请先创建父主题或使用已存在的主题名称。","الموضوع الأب ""%{1}"" غير موجود! يرجى إنشاء الموضوع الأب أولًا أو استخدام اسم موضوع موجود."
正在创建主题目录结构...,"جارٍ إنشاء بنية دليل السمة..."
"主题 ""%{1}"" 创建成功！","أُنشئت السمة ""%{1}"" بنجاح!"
配置文件已迁移到主题目录：%{1},"تم ترحيل ملف الإعدادات إلى دليل السمة: %{1}"
配置已更新：%{1},"تم تحديث التهيئة: %{1}"
配置已保存到：%{1},"تم حفظ التكوين في: %{1}"
配置文件已移动到主题目录：%{1},"تم نقل ملف التهيئة إلى دليل الموضوع: %{1}"
配置文件已复制到主题目录：%{1},"تم نسخ ملف التهيئة إلى دليل الموضوع: %{1}"
"=== 已配置内容摘要 ===","=== ملخص المحتوى المُعدّ ==="
"=== 继续之前的操作 ===","=== متابعة العملية السابقة ==="
当前状态：,"الحالة الحالية:"
主题目录：%{1},"دليل الموضوع: %{1}"
已创建,"تم الإنشاء"
未创建,"غير مُنشأ"
默认模板：%{1},"القالب الافتراضي: %{1}"
主题目录不存在，需要创建主题,"دليل الموضوع غير موجود؛ لذا يجب إنشاء الموضوع."
主题目录已存在，但默认模板未创建,"مجلد الموضوع موجود، لكن القوالب الافتراضية لم تُنشَأ بعد."
是否现在创建默认模板？(y/n，默认：y),"إنشاء القالب الافتراضي الآن؟ (y/n، الافتراضي: y)"
主题已完整创建！,"تم إنشاء الموضوع بنجاح!"
您可以：,يمكنك:
是否进入操作菜单？(y/n，默认：n),"هل تريد الدخول إلى قائمة العمليات؟ (نعم/لا، القيمة الافتراضية: لا)"
"=== 主题操作菜单 ===","=== قائمة تشغيل الموضوع ==="
主题：%{1},"السمة: %{1}"
状态：%{1},"الحالة: %{1}"
目录：%{1},"الدليل: %{1}"
请选择操作：,"يرجى اختيار إجراء:"
"1. 重新创建主题（根据配置重新创建所有文件）","1. إعادة إنشاء الموضوع (إعادة إنشاء جميع الملفات بناءً على الإعدادات)"
"2. 创建默认模板文件","2. إنشاء ملفات القوالب الافتراضية"
"3. 查看主题配置","3. عرض إعدادات الموضوع"
"4. 修改主题信息","٤. تعديل معلومات الموضوع"
"5. 继续完成创建流程","5. متابعة عملية الإنشاء"
"6. 提取并翻译i18n词典（高级选项）","6. استخرج وترجم قاموس i18n (خيار متقدم)"
"7. 继承模块（从其他模块拷贝view目录）","7. وراثة الوحدة (نسخ دليل العرض من وحدة أخرى)"
"8. 检查主题完整性","8. التحقق من سلامة الموضوع"
"9. 注册主题到数据库","9. سجّل السمة في قاعدة البيانات"
"10. 卸载主题（从数据库移除）","10. إلغاء تثبيت القالب (إزالة من قاعدة البيانات)"
"11. 重装主题（卸载后重新安装）","11. إعادة تثبيت الموضوع (أزيله ثم تثبيته مجددًا)"
"0. 退出","0. خروج"
退出操作,"إنهاء العملية"
无效选项，请重新选择,"خيار غير صالح. يرجى الاختيار مجددًا."
确认重新创建主题？这将覆盖现有文件。(y/n，默认：n),"هل تأكد من رغبتك في إعادة إنشاء الموضوع؟ سيُغِيّ هذا الملفات الحالية. (نعم/لا، القيمة الافتراضية: لا)"
主题目录不存在：%{1},"المجلد الرئيسي غير موجود: %{1}"
完整配置：,"التكوين الكامل:"
"=== 修改主题信息 ===","=== تعديل معلومات السمة ==="
当前版本：%{1},"الإصدار الحالي: %{1}"
请输入新版本号（留空不修改）,"يرجى إدخال رقم إصدار جديد (اتركه فارغاً للحفاظ على عدم تغييره)"
当前描述：%{1},"الوصف الحالي: %{1}"
请输入新描述（留空不修改）,"يرجى إدخال وصف جديد (اتركه فارغًا للإبقاء دون تغيير)"
当前父主题：%{1},"التصميم الأساسي الحالي: %{1}"
是否修改父主题？(y/n，默认：n),"تعديل السمة الأب؟ (y/n، الافتراضي: n)"
可用的父主题：,"الأساليب الأساسية المتاحة:"
"%{1}. %{2}","%{1}. %{2}"
请输入父主题名称（留空表示无父主题）,"يرجى إدخال اسم الموضوع الرئيسي (اتركه خالياً إذا لم يكن هناك موضوع رئيسي)"
"父主题 ""%{1}"" 不存在！","الموضوع الأب ""%{1}"" غير موجود!"
主题信息已更新,"تم تحديث معلومات الموضوع."
"Hello World!","Hello World!"
"欢迎使用 %{1} 主题","مرحباً بكم في تمثيل %{1}."
这是一个默认的模板文件，您可以在此基础上进行开发。,"هذه ملف قوالب افتراضية يمكنكم استخدامها كنقطة بداية لعملية التطوير."
"已创建默认模板文件: %{1}","أُنشئ ملف القالب الافتراضي: %{1}"
"已创建注册文件: %{1}","تم إنشاء ملف التسجيل: %{1}"
═══════════════════════════════════════════════════════,═══════════════════════════════════════════════════════
主题创建成功！,"تم إنشاء الموضوع بنجاح!"
"主题名称: %{1}","اسم الموضوع: %{1}"
"主题路径: %{1}","مسار الموضوع: %{1}"
"模块名称: Weline_%{1}","اسم الوحدة: Weline_%{1}"
"继承自: %{1} 主题","مُورَّث من: %{1} Theme"
"继承自: 无（独立主题）","موروث من: لا شيء (سمة مستقلة)"
"版本: %{1}","الإصدار: %{1}"
"描述: %{1}","الوصف: %{1}"
下一步操作:,"الخطوة التالية:"
创建新主题,"إنشاء موضوع جديد"
"=== 主题创建向导 ===","=== معالج إنشاء السمة ==="
请输入主题名称（只能包含字母、数字、下划线和连字符，例如：my-theme）,"يرجى إدخال اسم السمة (أحرف وأرقام وشرطات سفلية وواصلات فقط، مثل: my-theme)"
主题名称不能为空,"لا يمكن أن يكون اسم الموضوع فارغًا."
"检测到主题 %{1} 之前的操作记录","سجل عمليات السمة %{1}"
创建时间：%{1},"وقت الإنشاء: %{1}"
最后更新：%{1},"آخر تحديث: %{1}"
"1. 继续之前的操作（从上次中断的地方继续）","1. استمر في التشغيل السابق (استئناف العمل من آخر انقطاع)"
"2. 重新开始（保留配置但重新走完流程）","2. إعادة التشغيل (الاحتفاظ بالإعدادات مع إعادة تشغيل العملية)"
"3. 进入二次操作菜单","3. ادخل قائمة العملية الثانوية"
"4. 取消","4. إلغاء"
将使用之前的配置作为默认值，您可以修改,"سيستخدم هذا التكوين السابق كافتراضي؛ يمكنك تعديله."
"检测到主题 ""%{1}"" 已存在！","العنوان ""%{1}"" موجود بالفعل!"
"- 主题已在数据库中注册","القالب مسجّل بالفعل في قاعدة البيانات."
"- 主题目录已存在: %{1}","دليل السمة موجود بالفعل: %{1}"
"1. 进入二次操作菜单（推荐）","1. ادخل قائمة العمليات الثانوية (مُوصى بها)"
"2. 继续完成创建流程","2. متابعة عملية الإنشاء"
已退出,"تم تسجيل الخروج"
请输入版本号（默认：%{1}）,"يرجى إدخال رقم الإصدار (القيمة الافتراضية: %{1})"
请输入主题描述（可选，当前：%{1}）,"أدخل وصف الموضوع (خياري؛ الحالة الحالية: %{1})"
请输入主题描述（可选）,"أدخل وصف الموضوع (اختياري)"
是否要继承父主题？(y/n，默认：n),"الوراثة من القالب الأب؟ (y/n، الافتراضي: n)"
请输入父主题名称（从列表中选择或直接输入名称）,"يرجى إدخال اسم الموضوع الأصل (اختر من القائمة أو اكتب مباشرة)"
请输入父主题名称,"يرجى إدخال اسم الموضوع الأب"
是否要创建默认模板文件？(y/n，默认：y),"هل تريد إنشاء ملف القالب الافتراضي؟ (نعم/لا، القيمة الافتراضية: نعم)"
"直接回车将创建默认 helloworld 模板文件","اضغط على زر «Enter» مباشرة لإنشاء ملف القالب الافتراضي «helloworld»."
请确认以下信息：,"يرجى تأكيد المعلومات التالية:"
"创建默认模板: %{1}","إنشاء القالب الافتراضي: %{1}"
"创建位置: %{1}","تاريخ الإنشاء: %{1}"
确认创建？(y/n，默认：y),"تأكيد الإنشاء؟ (y/n، الافتراضي: y)"
已取消创建,"تم إلغاء الإنشاء"
主题特性,"ميزات السمة"
支持交互式创建模式，不提供参数时自动进入向导,"يدعم وضع الإنشاء التفاعلي، ويدخل المعالج تلقائيًا عند عدم توفير معاملات."
支持二次操作模式，记住创建进程，可继续操作,"يدعم وضع العملية الثانوية، مع تذكر عملية الإنشاء والسماح لك بمتابعة العملية."
"主题将创建在: app/design/Weline/<主题名称>/","ستُنشأ السمة في: app/design/Weline/<theme_name>/"
"模块名称格式: Weline_<PascalCase主题名称>","صيغة اسم الوحدة: Weline_<اسم الموضوع بصيغة PascalCase>"
支持主题继承，可以指定父主题,"يدعم وراثة المواضيع، مما يسمح لك بتحديد موضوع أب."
"自动生成 register.php 注册文件","إنشاء ملف التسجيل register.php تلقائيًا"
"自动创建基础目录结构（view/templates, view/statics等）","إنشاء هيكل المجلد الأساسي تلقائيًا (view/templates، view/statics، إلخ)"
二次操作模式,"وضع التشغيل المزدوج"
支持重新创建主题、创建模板文件、查看和修改配置等操作,"يُمكّن من إعادة إنشاء المواضيع، وإنشاء ملفات القوالب، وعرض وتعديل الإعدادات، وغيرها."
"=== 提取并翻译i18n词典 ===","=== استخراج وترجمة قاموس i18n ==="
请输入目标语言代码（例如：en_US，多个语言用逗号分隔，默认：zh_Hans_CN）,"يرجى إدخال رمز اللغة الهدف (مثل en_US، عدة لغات مفصولة بفواصل، الافتراضي: zh_Hans_CN)"
将处理以下语言：%{1},"سيُعالج هذه اللغة اللغات التالية: %{1}"
正在扫描主题目录下的模块...,"البحث عن الوحدات في دليل الموضوع..."
未找到任何模块，请确保主题目录下有模块（如：Weline/Demo）,"لم يتم العثور على أي وحدات. يُرجى التأكد من أن دليل الموضوع يحتوي على وحدات (مثل Weline/Demo)."
"找到 %{1} 个模块","تم العثور على وحدات %{1}."
"- %{1} (%{2})","- %{1} (%{2})"
正在处理模块：%{1},"وحدة المعالجة: %{1}"
"模块 %{1} 未找到翻译词","لم يُعثر على مصطلحات ترجمة للوحدة %{1}."
"模块 %{1} 提取到 %{2} 条翻译词","استخرجت الوحدة %{1} %{2} مصطلح ترجمة."
未找到任何翻译词,"لم يتم العثور على أي ترجمات"
"所有模块共提取到 %{1} 条翻译词（去重后）","تم استخراج ما مجموعه %{1} مصطلحات مُترجمة عبر جميع الوحدات (بعد إزالة المكررات)."
"=== 处理语言：%{1} ===","=== معالجة اللغة: %{1} ==="
正在从数据库词典中查找已翻译的词汇...,"البحث عن مصطلحات مُترجمة في قاعدة البيانات..."
从数据库词典查找翻译时出错：%{1},"خطأ أثناء البحث عن الترجمات في قاموس قاعدة البيانات: %{1}"
"从数据库词典中找到 %{1} 条已翻译的词汇","تم العثور على مصطلحات مُترجمة تحت اسم %{1} في قاموس قاعدة البيانات."
所有词汇都已翻译！,"تم ترجمة جميع المصطلحات!"
"还有 %{1} 条词汇需要翻译","هناك %{1} كلمة أخرى للترجمة"
是否尝试使用AI翻译服务？(y/n，默认：y),"هل ترغب في استخدام خدمة الترجمة بالذكاء الاصطناعي؟ (نعم/لا، القيمة الافتراضية: نعم)"
"AI翻译完成，成功翻译 %{1} 条词汇","اكتملت ترجمة الذكاء الاصطناعي، تُرجم %{1} إدخالات بنجاح"
已保存到：%{1},"حُفظ في: %{1}"
无法写入文件：%{1},"تعذر الكتابة إلى الملف: %{1}."
"以下 %{1} 条词汇需要手动翻译：","المصطلحات التالية %{1} تحتاج إلى ترجمة يدوية:"
"请手动编辑文件 %{1}，将以下词汇的占位符替换为正确的翻译：","يرجى تحرير الملف %{1} يدويًا واستبدال العناصر النائبة للمصطلحات التالية بالترجمات الصحيحة:"
"... 还有 %{1} 条词汇未显示","... %{1} هناك مصطلحات إضافية مخفية."
"语言 %{1} 的所有词汇都已翻译完成！","تمت ترجمة جميع مفردات اللغة %{1}!"
所有语言处理完成！,"عولجت جميع اللغات بنجاح!"
模块目录不存在：%{1},"مجلد الوحدة غير موجود: %{1}"
模块i18n目录不存在：%{1},"دليل i18n غير موجود للوحدة: %{1}"
"正在使用AI翻译服务翻译 %{1} 条词汇...","تُرجم مصطلحات %{1} باستخدام خدمة الترجمة بالذكاء الاصطناعي..."
AI翻译服务调用失败：%{1},"فشل خدمة ترجمة AI: %{1}"
已保存翻译到：%{1},"تم حفظ الترجمات في: %{1}"
"=== 继承模块 ===","=== وراثة الوحدة ==="
请输入要继承的模块名称（例如：Weline_Demo，支持模糊搜索）,"يرجى إدخال اسم المودول الذي ترغب في توريثه (مثلاً: Weline_Demo، يدعم البحث الضبابي)"
模块名称不能为空,"لا يمكن أن يكون اسم الوحدة فارغًا."
未找到匹配的模块,"لم يُعثر على وحدة مطابقة."
找到模块：%{1},"الوحدة التي تم العثور عليها: %{1}"
"找到 %{1} 个匹配的模块：","تم العثور على وحدات مطابقة %{1}:"
请选择模块（输入序号）,"يرجى اختيار وحدة (أدخل الرقم)"
无效的选择,"التحديد غير صالح"
"模块 %{1} 没有 view 目录","الوحدة %{1} لا تحتوي على دليل 'view'."
"模块 %{1} 的 view 目录结构：","عرض هيكل الدليل للوحدة %{1}:"
"view 目录为空","دليل العرض فارغ"
[目录],[دليل]
[文件],[ملفات]
"%{1}. %{2} %{3}","%{1}. %{2} %{3}"
"请选择要继承的目录（输入序号，多个用逗号分隔，输入 all 继承全部目录）","يرجى اختيار الدلائل المراد وراثتها (أدخل الأرقام مفصولة بفواصل، أو أدخل all لوراثة جميع الدلائل)"
注意：只能选择目录，文件会随目录一起拷贝,"ملاحظة: يمكن اختيار المجلدات فقط؛ سيتم نسخ الملفات جنبًا إلى جنب مع المجلد."
跳过文件：%{1}（只能选择目录）,"تم تخطي الملف: %{1} (يمكن اختيار الأدلة فقط)"
未选择任何目录,"لم يتم اختيار مجلد"
将拷贝以下目录到：%{1},"سيُنسخ المجلدات التالية إلى: %{1}"
"- %{1}","- %{1}"
确认拷贝？(y/n，默认：y),"هل تريد تأكيد النسخة؟ (نعم/لا، القيمة الافتراضية: نعم)"
已拷贝：%{1},"تم النسخ: %{1}"
拷贝失败：%{1},"فشل النسخ: %{1}"
"成功拷贝 %{1} 个目录","نُسخ %{1} من الأدلة بنجاح."
"=== 主题管理 ===","=== إدارة الموضوع ==="
已存在的主题：,"السمة الموجودة:"
[已注册],[مسجل]
[有目录],"[يوجد دليل]"
输入序号：选择已存在的主题进行操作,"أدخل رقمًا: اختر سمة موجودة للعمل عليها"
"输入 new：创建新主题","أدخل new: لإنشاء موضوع جديد"
"输入 0 或直接回车：创建新主题","أدخل الرقم 0 أو اضغط على Enter مباشرة: لإنشاء موضوع جديد"
已选择主题：%{1},"العنوان المُختار: %{1}"
无效的选择，将创建新主题,"اختيار غير صحيح؛ سيتم إنشاء طابع جديد."
未找到已存在的主题，将创建新主题,"لم يتم العثور على سمة موجودة؛ سيتم إنشاء سمة جديدة."
"=== 检查主题完整性 ===","=== فحص سلامة القالب ==="
正在检查主题：%{1},"التحقق من الموضوع: %{1}"
"❌ 主题目录不存在","❌ دليل السمة غير موجود."
"✓ 主题目录存在","✓ دليل الموضوع موجود"
"缺少 register.php 文件","انفصال ملف register.php"
"❌ 缺少 register.php 文件","❌ ملف register.php مفقود."
"✓ register.php 文件存在","✓ ملف register.php موجود"
"register.php 文件为空","ملف register.php فارغ"
"❌ register.php 文件为空","❌ ملف register.php فارغ"
"❌ register.php 文件格式不正确","❌ تنسيق ملف register.php غير صحيح."
"✓ register.php 文件格式正确","✓ تنسيق ملف register.php صحيح"
"缺少 README.md 文件（可选）","ملف readme.md مفقود (خياري)"
"⚠ 缺少 README.md 文件（可选）","⚠ ملف README.md مفقود (اختياري)"
"✓ README.md 文件存在","✓ يوجد ملف README.md"
"view 目录（模板目录）","دليل view (دليل القوالب)"
"view/templates 目录","دليل view/templates"
"view/statics 目录","دليل العرض/الإحصائيات"
"view/statics/css 目录","مجلد view/statics/css"
"view/statics/js 目录","دليل view/statics/js"
"view/statics/images 目录","دليل view/statics/images"
"缺少 %{1}","مفقود %{1}"
"⚠ 缺少 %{1}","⚠ مفقود %{1}"
"✓ %{1} 存在","✓ %{1} موجود"
主题未在数据库中注册,"السمة غير مسجّلة في قاعدة البيانات."
"⚠ 主题未在数据库中注册","⚠ السمة غير مسجّلة في قاعدة البيانات."
"✓ 主题已在数据库中注册","✓ السمة مسجّلة في قاعدة البيانات"
"数据库中的路径与目录路径不匹配：%{1} vs %{2}","مسار في قاعدة البيانات لا يتطابق مع مسار المجلد: %{1} مقابل %{2}"
"⚠ 数据库路径与目录路径不匹配","⚠ مسار قاعدة البيانات لا يطابق مسار الدليل."
缺少主题配置文件：%{1},"ملف إعداد الموضوع مفقود: %{1}"
"⚠ 缺少主题配置文件","⚠ ملف إعداد السمة مفقود"
"✓ 主题配置文件存在","✓ ملف تهيئة الموضوع موجود"
"✓ 发现 %{1} 个模块目录","✓ تم العثور على مجلدات وحدة %{1}"
"- %{1} (有 view 目录)","- %{1} (يحتوي على دليل «view»)"
"- %{1} (缺少 view 目录)","- %{1} (مفقود الدليل 'view')"
"=== 检查结果摘要 ===","=== ملخص نتائج الفحص ==="
"✓ 正常项：%{1}","✓ طبيعي: %{1}"
"⚠ 警告项：%{1}","⚠ تحذير: %{1}"
"❌ 错误项：%{1}","❌ خطأ: %{1}"
主题完整性检查通过！所有项目正常。,"تم اجتياز فحص سلامة السمة! جميع العناصر طبيعية."
主题基本完整，但有一些可选的警告项。,"التصميم يكتمل في معظمه، إلا أن هناك بعض التحذيرات اختيارية."
主题存在一些问题，请修复后再使用。,"توجد بعض المشكلات في الموضوع؛ يُرجى تصحيحها قبل استخدامه."
未找到任何主题,"لم يُعثر على سمات"
请选择要检查的主题：,"يرجى اختيار الموضوع للفحص:"
"请输入序号（输入 0 取消）","أدخل الرقم التسلسلي (أدخل 0 للإلغاء)"
"=== 注册主题到数据库 ===","=== تسجيل السمة في قاعدة البيانات ==="
"请先创建 register.php 文件","يرجى إنشاء ملف register.php أولًا"
未激活,"""غير مفعل"","
"主题 %{1} 已经注册到数据库","العنوان %{1} مُسجَّل بالفعل في قاعدة البيانات."
当前状态：%{1},"الوضع الحالي: %{1}"
是否重新注册（更新）？(y/n，默认：n),"إعادة التسجيل (تحديث)؟ (y/n، الافتراضي: n)"
正在注册主题：%{1},"العنوان المُسجَّل: %{1}"
"主题 %{1} 注册成功！","سُجّلت السمة %{1} بنجاح!"
主题状态：%{1},"حالة الموضوع: %{1}"
主题路径：%{1},"مسار الموضوع: %{1}"
"主题注册可能未完成，请检查 register.php 文件","قد يكون تسجيل السمة غير مكتمل. يرجى فحص ملف register.php."
注册主题时出错：%{1},"خطأ أثناء تسجيل السمة: %{1}"
"=== 卸载主题 ===","=== إلغاء تثبيت الموضوع ==="
"主题 %{1} 未在数据库中注册","القالب %{1} غير مسجّل في قاعدة البيانات."
主题名称：%{1},"اسم الموضوع: %{1}"
警告：当前主题处于激活状态，卸载后系统将没有激活的主题！,"تحذير: الموضوع الحالي مُفعّل. إن إزالة هذا الموضوع سيؤدي إلى عدم وجود موضوع نشط في النظام!"
"确认要卸载主题 %{1} 吗？(y/n，默认：n)","هل تأكد من رغبتك في إزالة الطراز %{1}؟ (نعم/لا، القيمة الافتراضية: لا)"
注意：此操作只会从数据库移除主题记录，不会删除主题文件,"ملاحظة: سيُزيل هذا الإجراء سجل الموضوع فقط من قاعدة البيانات، دون حذف ملفات الموضوعات."
卸载前将自动备份主题文件,"قبل إزالة البرنامج، سيتم نسخ ملفات الموضوعات احتياطيًا تلقائيًا."
"步骤 1/2：正在备份主题文件...","الخطوة 1/2: جارٍ نسخ ملفات السمة احتياطيًا..."
主题备份成功,"تم حفظ نسخة احتياطية من الموضوع بنجاح."
备份路径：%{1},"مسار النسخ الاحتياطي: %{1}"
主题备份失败：%{1},"فشل عملية النسخ الاحتياطي للعنوان: %{1}"
"步骤 2/2：正在卸载主题：%{1}","الخطوة 2/2: جارٍ إلغاء تثبيت السمة: %{1}"
"主题 %{1} 卸载成功！","أُلغي تثبيت السمة %{1} بنجاح!"
主题文件仍然保留在：%{1},"ملفات السمة لا تزال في: %{1}"
备份文件已保存到：%{1},"تم حفظ ملف النسخ الاحتياطي في: %{1}"
"如需重新注册，请使用选项 9：注册主题到数据库","لإعادة التسجيل، يُرجى استخدام الخيار 9: تسجيل الموضوع في قاعدة البيانات."
主题卸载失败,"فشل إلغاء تثبيت الموضوع"
卸载主题时出错：%{1},"خطأ أثناء إلغاء تثبيت السمة: %{1}"
主题目录不存在，跳过备份：%{1},"دليل السمة غير موجود، تخطي النسخ الاحتياطي: %{1}"
备份文件大小：%{1},"حجم ملف النسخ الاحتياطي: %{1}"
备份文件创建失败,"فشل إنشاء ملف النسخ الاحتياطي."
备份主题时出错：%{1},"خطأ أثناء نسخ النسخ الاحتياطي للتصميم: %{1}"
"=== 重装主题 ===","=== إعادة تثبيت الموضوع ==="
主题当前状态：已注册，%{1},"حالة السمة الحالية: مسجّلة، %{1}"
主题当前状态：未注册,"حالة السمة الحالية: غير مسجّلة"
重装操作将：,"تُنفَّذ عملية إعادة التثبيت ما يلي:"
"1. 从数据库卸载主题（如果已注册）","1. إلغاء تثبيت السمة من قاعدة البيانات (إن كانت مسجّلة)"
"2. 重新注册主题到数据库","2. أعد تسجيل السمة في قاعدة البيانات"
注意：重装后主题将变为未激活状态，需要手动激活,"ملاحظة: بعد إعادة التثبيت، يصبح الموضوع غير نشط، ويجب تفعيله يدويًا."
"确认要重装主题 %{1} 吗？(y/n，默认：n)","هل تأكد من رغبتك في إعادة تثبيت الطراز %{1}؟ (نعم/لا، القيمة الافتراضية: لا)"
"步骤 1/2：正在卸载主题...","الخطوة 1/2: جارٍ إلغاء تثبيت السمة..."
