主题通知事件,"थीम अधिसूचना इवेंट"
"解析当前有效 Theme 虚拟布局运行时信息","वर्तमान में सक्रिय थीम के वर्चुअल लेआउट के रनटाइम जानकारी का विश्लेषण करें"
"清理 Theme 运行时布局缓存","थीम रनटाइम लेआउट कैश साफ़ करें"
"保存 Theme 布局选择","थीम लेआउट विकल्प सहेजें"
"删除 Theme 布局选择并恢复继承","थीम लेआउट चयन हटाएं और डिफ़ॉल्ट पर वापस जाएं"
"解析 Theme 布局选择及来源","थीम लेआउट चयन और स्रोत का विश्लेषण करें"
列出产品/分类布局选择版本,"उत्पाद/श्रेणी लेआउट चयन संस्करण दिखाएं"
预检产品/分类布局选择版本是否可回滚,"उत्पाद/श्रेणी लेआउट के चयनित संस्करण को वापस किया जा सकता है या नहीं, इसकी जांच करें।"
回滚产品/分类布局选择版本,"उत्पाद/श्रेणी लेआउट चयन संस्करण को वापस करें"
"列出产品布局 layout_option（文件壳）","列出产品布局 layout_option（文件壳）"
"新建产品布局 layout_option（克隆文件壳）","新建产品布局 layout_option（克隆文件壳）"
"解析产品详情有效 layout_option（含定时）","解析产品详情有效 layout_option（含定时）"
列出产品/分类默认产品布局定时计划,列出产品/分类默认产品布局定时计划
保存产品布局定时计划,保存产品布局定时计划
删除产品布局定时计划,删除产品布局定时计划
扫描并处理临近边界的产品布局定时计划缓存清理,扫描并处理临近边界的产品布局定时计划缓存清理
"生成 Theme 前台预览 token","थीम फ्रंट-एंड पूर्वावलोकन टोकन उत्पन्न करें"
"校验 Theme 前台预览 token","थीम फ्रंट-एंड पूर्वावलोकन टोकन का सत्यापन करें"
"Theme editor signed backend request bridge","Theme editor signed backend request bridge"
同步后台跟随系统、亮色或暗色模式,"सिस्टम, हल्के या गहरे मोड के अनुसार बैकएंड को सिंक्रोनाइज़ करें"
"system、light 或 dark","सिस्टम, लाइट या डार्क मोड"
按区域激活主题,"क्षेत्र के अनुसार थीम सक्रिय करें"
"frontend 或 backend","फ्रंटएंड या बैकएंड"
"Theme 虚拟部件智能体","थीम वर्चुअल कंपोनेंट एजेंट"
"用于生成、微调和验证 Weline Theme 的虚拟部件 JSON 与模板内容。","इसका उपयोग Weline थीम के वर्चुअल कंपोनेंट JSON और टेम्पलेट सामग्री को उत्पन्न, फाइन-ट्यून और सत्यापित करने के लिए किया जाता है।"
"AI 查询入口不可用。","एआई क्वेरी एंट्री अनुपलब्ध है।"
"AI 调用失败：%{1}","एआई कॉल विफल: %{1}"
准备进入下一轮智能体调用,"अगले एआई एजेंट कॉल के लिए तैयार"
"智能体未能生成最终 JSON 输出","एजेंट अंतिम JSON आउटपुट उत्पन्न करने में विफल रहा"
"Theme 虚拟部件生成","Theme 虚拟部件生成"
"用于主题编辑器 AI 生成/精修虚拟部件（theme_component*），与 theme_component_builder 智能体配套。","用于主题编辑器 AI 生成/精修虚拟部件（theme_component*），与 theme_component_builder 智能体配套。"
"主题 AI 适配器","थीम एआई एडेप्टर"
用于主题可视化编辑器的配置翻译、虚拟主题布局源码生成、文案生成和主题图片生成。,"इसका उपयोग थीम विज़ुअल एडिटर के लिए कॉन्फ़िगरेशन अनुवाद, वर्चुअल थीम लेआउट स्रोत कोड पीढ़ी, कॉपी पीढ़ी और थीम छवि पीढ़ी के लिए किया जाता है।"
缺少布局类型。,"लेआउट प्रकार गायब है।"
缺少布局选项。,"लेआउट विकल्प गायब हैं।"
缺少源语言。,"स्रोत भाषा गायब है।"
缺少目标语言。,"लक्ष्य भाषा गायब है।"
"Weline 主题库","वेलिन थीम लाइब्रेरी"
"从 Weline 主题库中选择主题方案，支持多种布局风格。","Weline थीम लाइब्रेरी से थीम चुनें, जो विभिन्न लेआउट शैलियों का समर्थन करती है।"
首页,होम
关于我们,"हमारे बारे में"
联系我们,"हमसे संपर्क करें"
隐私政策,"गोपनीयता नीति"
服务条款,"सेवा की शर्तें"
退款政策,"रिफंड नीति"
"Cookie 政策","कुकी नीति"
博客列表,"ब्लॉग सूची"
博客分类,"ब्लॉग श्रेणियाँ"
博客文章,"ब्लॉग लेख"
自定义页面,"कस्टम पेज"
网站主页，展示品牌和核心内容,"वेबसाइट होमपेज, जो ब्रांड और मुख्य सामग्री प्रदर्शित करता है"
介绍品牌故事、团队和价值观,"ब्रांड की कहानी, टीम और मूल्यों का परिचय"
提供联系方式和联系表单,"संपर्क जानकारी और संपर्क फ़ॉर्म प्रदान करें"
说明隐私数据处理方式,"गोपनीयता डेटा हैंडलिंग के बारे में जानकारी"
明确服务使用条款,"सेवा की उपयोग शर्तों को समझें"
说明退款和退货政策,"रिफंड और रिटर्न नीति के बारे में जानकारी"
"说明 Cookie 使用方式","कुकी उपयोग के बारे में जानकारी"
博客文章列表页,"ब्लॉग लेखों की सूची पृष्ठ"
按分类查看博客文章,"श्रेणी के अनुसार ब्लॉग पोस्ट देखें"
博客文章详情页,"ब्लॉग लेख विवरण पृष्ठ"
自定义单页面内容,"कस्टम सिंगल-पेज सामग्री"
"主题店面静态页（about/products 等）","主题店面静态页（about/products 等）"
任务进度,"कार्य प्रगति"
等待中,"प्रतीक्षा कर रहा हूँ"
执行中,"निष्पादन में..."
成功,सफलता
失败,विफलता
已跳过,"छोड़ा गया"
正在连接...,"कनेक्ट हो रहा है..."
已连接,"जुड़ा हुआ"
已断开,डिस्कनेक्ट
就绪,तैयार
复制,"कॉपी करें"
清空,"खाली करें"
已复制,"कॉपी किया गया"
请选择,"कृपया चुनें"
暂无数据,"कोई डेटा नहीं"
加载中...,"लोड हो रहा है..."
搜索...,खोज...
终端输出,"टर्मिनल आउटपुट"
连接错误,"कनेक्शन त्रुटि"
连接失败（可能为网络问题或服务端异常），请查看下方日志或服务器终端。,"कनेक्शन विफल (संभवतः नेटवर्क समस्या या सर्वर त्रुटि), कृपया नीचे दिए गए लॉग या सर्वर टर्मिनल की जांच करें।"
停止,"बंद करें"
开始,"शुरू करें"
"【DNS 供应商返回】","【DNS प्रदाता द्वारा लौटाया गया】"
思考输出：开（点击关闭）,"सोचें: चालू (बंद करने के लिए क्लिक करें)"
思考输出：关（点击开启）,"सोचें: बंद (सक्रिय करने के लिए क्लिक करें)"
思考,सोचें
连接重试中...,"कनेक्शन पुनः प्रयास कर रहा है..."
【输出过长，已省略前部】,"【आउटपुट बहुत लंबा है, शुरुआत छोड़ी गई है】"
开始日期,"शुरू होने की तारीख"
结束日期,"समाप्ति तिथि"
至,से
今天,आज
昨天,कल
最近7天,"पिछले 7 दिन"
最近30天,"पिछले 30 दिन"
本月,"इस महीने"
上月,"पिछला महीना"
今年,"इस वर्ष"
输入后按回车添加,"दर्ज करें और एंटर दबाकर जोड़ें"
移除,हटाएं
已达到最大标签数量,"अधिकतम टैग की संख्या तक पहुँच गया"
标签已存在,"लेबल पहले से मौजूद है"
标签太短,"लेबल बहुत छोटा है"
标签太长,"लेबल बहुत लंबा है"
展开,"विस्तार करें"
折叠,"फोल्ड करें"
"w:slot wrapper=""section"" 必须配置 weline-code 属性（用于事件溯源）","w:slot wrapper=""section"" में weline-code एट्रिब्यूट कॉन्फ़िगर किया जाना चाहिए (इवेंट ट्रेसिंग के लिए)"
"w:slot wrapper=""section"" 的 weline-code 不能为空","w:slot wrapper=""section"" का weline-code खाली नहीं हो सकता"
"w:slot 标签缺少必填属性 id","w:slot टैग में आवश्यक एट्रिब्यूट id गायब है"
"w:slot 标签 id 格式无效: ""%{id}""，只允许字母开头，包含字母、数字、下划线、连字符","w:slot टैग का आईडी प्रारूप अमान्य है: ""%{id}"", केवल अक्षर से शुरू होना चाहिए, और इसमें अक्षर, संख्याएँ, अंडरस्कोर और हाइफ़न शामिल हो सकते हैं"
"w:slot 标签 id 重复: ""%{id}""","w:slot टैग आईडी दोहराव: ""%{id}"""
"已存在于: %{location}","यह पहले से ही %{location} पर मौजूद है"
"当前位置: %{location}","वर्तमान स्थान: %{location}"
"w:slot 标签 position 属性值无效: ""%{value}""","w:slot टैग का position एट्रिब्यूट मान अमान्य है: ""%{value}"""
"允许的值: %{values}","अनुमत मान: %{values}"
"w:slot 标签属性冲突 - exclusive 和 multiple 不能同时为 true","w:slot टैग एट्रिब्यूट संघर्ष - exclusive और multiple दोनों एक साथ true नहीं हो सकते"
"w:slot 标签属性冲突 - append 和 prepend 不能同时为 true","w:slot टैग एट्रिब्यूट संघर्ष - append और prepend दोनों एक साथ true नहीं हो सकते"
"w:slot 标签属性冲突 - exclusive 模式下不能使用 append 或 prepend","w:slot टैग एट्रिब्यूट संघर्ष - exclusive मोड में append या prepend का उपयोग नहीं किया जा सकता"
"w:slot id=""%{id}"" accept 和 reject 包含相同的部件类型: %{types}","w:slot id=""%{id}"" स्वीकार और अस्वीकार, दोनों में समान घटक प्रकार शामिल हैं: %{types}"
"w:slot 标签 max 属性必须是 >= -1 的整数，当前值: ""%{value}""","w:slot टैग का max एट्रिब्यूट एक पूर्णांक होना चाहिए जो >= -1 हो, वर्तमान मान: ""%{value}"""
"w:slot 标签 min 属性必须是 >= 0 的整数，当前值: ""%{value}""","w:slot टैग का min एट्रिब्यूट एक पूर्णांक होना चाहिए जो >= 0 हो, वर्तमान मान: ""%{value}"""
"w:slot 标签 min (%{min}) 不能大于 max (%{max})","w:slot टैग का min (%{min}) मान max (%{max}) से बड़ा नहीं हो सकता"
致命错误,"गंभीर त्रुटि"
"文件: %{file}","फ़ाइल: %{file}"
"行数: %{line}","पंक्ति संख्या: %{line}"
"示例: %{example}","उदाहरण: %{example}"
警告,चेतावनी
选择图标,"आइकन चुनें"
搜索图标,"खोज आइकन"
可用图标,"उपलब्ध आइकन"
没有匹配的图标,"कोई मिलान करने वाला आइकन नहीं"
预设颜色,"पूर्वनिर्धारित रंग"
请选择或搜索...,"चुनें या खोजें..."
搜索中...,"खोज जारी है..."
没有找到匹配的结果,"कोई भी मिलान करने वाला परिणाम नहीं मिला"
加载失败,"लोड करने में विफल"
输入关键词搜索,"कीवर्ड दर्ज करें और खोजें"
复制失败,"कॉपी करने में विफल"
关闭,"बंद करें"
页脚之前,"फ़ुटर से पहले"
在渲染页脚组件之前触发，允许其他模块在页脚开始处注入内容。,"फुटर कंपोनेंट को प्रदर्शित करने से पहले ट्रिगर होता है, जिससे अन्य मॉड्यूल फुटर की शुरुआत में सामग्री जोड़ सकते हैं।"
页脚内容之前,"फ़ुटर सामग्री से पहले"
在渲染页脚主要内容之前触发，允许其他模块在页脚内容开始处注入内容。,"मुख्य फुटर सामग्री को प्रदर्शित करने से पहले ट्रिगर होता है, जिससे अन्य मॉड्यूल फुटर की शुरुआत में सामग्री जोड़ सकते हैं।"
页脚区块之前,"फ़ुटर ब्लॉक से पहले"
在渲染页脚区块之前触发，允许其他模块在页脚区块开始处注入内容。,"फुटर सेक्शन को प्रदर्शित करने से पहले ट्रिगर होता है, जिससे अन्य मॉड्यूल फुटर सेक्शन की शुरुआत में सामग्री जोड़ सकते हैं।"
页脚区块之后,"फ़ुटर ब्लॉक के बाद"
在渲染页脚区块之后触发，允许其他模块在页脚区块结束处注入内容。,"फुटर सेक्शन को प्रदर्शित करने के बाद ट्रिगर होता है, जिससे अन्य मॉड्यूल फुटर सेक्शन के अंत में सामग्री जोड़ सकते हैं।"
页脚内容之后,"फ़ुटर सामग्री के बाद"
在渲染页脚主要内容之后触发，允许其他模块在页脚内容结束处注入内容。,"मुख्य फुटर सामग्री को प्रदर्शित करने के बाद ट्रिगर होता है, जिससे अन्य मॉड्यूल फुटर के अंत में सामग्री जोड़ सकते हैं।"
页脚品牌内容,"फ़ुटर ब्रांड सामग्री"
覆盖默认页脚品牌区域，允许站点或业务模块替换页脚品牌名称、标识和说明。,"डिफ़ॉल्ट फ़ुटर ब्रांड क्षेत्र को ओवरराइड करें, जिससे साइट या व्यवसाय मॉड्यूल फ़ुटर ब्रांड नाम, लोगो और विवरण को बदल सकें।"
页脚链接内容,"फ़ुटर लिंक सामग्री"
覆盖页脚链接内容，允许其他模块完全替换页脚的链接区域。,"फ़ुटर के लिंक सामग्री को ओवरराइड करें, जिससे अन्य मॉड्यूल फ़ुटर के लिंक क्षेत्र को पूरी तरह से बदल सकें।"
页脚社交媒体内容,"फ़ुटर सोशल मीडिया सामग्री"
覆盖页脚社交媒体内容，允许其他模块完全替换页脚的社交媒体区域。,"फ़ुटर के सोशल मीडिया सामग्री को ओवरराइड करें, जिससे अन्य मॉड्यूल फ़ुटर के सोशल मीडिया क्षेत्र को पूरी तरह से बदल सकें।"
页脚社交媒体之前,"फ़ुटर सोशल मीडिया से पहले"
在渲染页脚社交媒体链接之前触发，允许其他模块在社交媒体区域开始处注入内容。,"फुटर के सोशल मीडिया लिंक को प्रदर्शित करने से पहले ट्रिगर होता है, जिससे अन्य मॉड्यूल सोशल मीडिया सेक्शन की शुरुआत में सामग्री जोड़ सकते हैं।"
页脚社交媒体链接之前,"फ़ुटर सोशल मीडिया लिंक से पहले"
在渲染页脚社交媒体链接列表之前触发，允许其他模块在链接列表开始处注入内容。,"फुटर के सोशल मीडिया लिंक की सूची को प्रदर्शित करने से पहले ट्रिगर होता है, जिससे अन्य मॉड्यूल लिंक सूची की शुरुआत में सामग्री जोड़ सकते हैं।"
页脚社交媒体链接之后,"फ़ुटर सोशल मीडिया लिंक के बाद"
在渲染页脚社交媒体链接列表之后触发，允许其他模块在链接列表结束处注入内容。,"फुटर के सोशल मीडिया लिंक की सूची को प्रदर्शित करने के बाद ट्रिगर होता है, जिससे अन्य मॉड्यूल लिंक सूची के अंत में सामग्री जोड़ सकते हैं।"
页脚社交媒体之后,"पाद लेख सोशल मीडिया के बाद"
在渲染页脚社交媒体链接之后触发，允许其他模块在社交媒体区域结束处注入内容。,"फुटर सोशल मीडिया लिंक को रेंडर करने के बाद ट्रिगर होता है, जिससे अन्य मॉड्यूल सोशल मीडिया क्षेत्र के अंत में सामग्री जोड़ सकते हैं।"
页脚版权信息之前,"पाद लेख कॉपीराइट जानकारी से पहले"
在渲染页脚版权信息之前触发，允许其他模块在版权信息开始处注入内容。,"फुटर कॉपीराइट जानकारी को रेंडर करने से पहले ट्रिगर होता है, जिससे अन्य मॉड्यूल कॉपीराइट जानकारी की शुरुआत में सामग्री जोड़ सकते हैं।"
页脚版权信息,"फुटर कॉपीराइट जानकारी"
覆盖默认页脚版权信息，允许站点或业务模块输出自定义版权文本。,"डिफ़ॉल्ट फ़ुटर कॉपीराइट जानकारी को कवर करता है, जो साइट या व्यावसायिक मॉड्यूल को कस्टम कॉपीराइट पाठ आउटपुट करने की अनुमति देता है।"
页脚版权信息之后,"पाद लेख कॉपीराइट जानकारी के बाद"
在渲染页脚版权信息之后触发，允许其他模块在版权信息结束处注入内容。,"फुटर कॉपीराइट जानकारी को रेंडर करने के बाद ट्रिगर होता है, जिससे अन्य मॉड्यूल कॉपीराइट जानकारी के अंत में सामग्री जोड़ सकते हैं।"
页脚之后,"फुटर के बाद"
在渲染页脚组件之后触发，允许其他模块在页脚结束处注入内容。,"यह क्रिया पृष्ठपाद (footer) घटक के रेंडर होने के बाद ट्रिगर होती है, जिससे अन्य मॉड्यूल पृष्ठपाद के अंत में सामग्री जोड़ सकते हैं।"
页头之前,"हेडर से पहले"
在渲染页头组件之前触发，允许其他模块在页头开始处注入内容。,"हेडर कंपोनेंट को रेंडर करने से पहले ट्रिगर होता है, जिससे अन्य मॉड्यूल हेडर की शुरुआत में सामग्री जोड़ सकते हैं।"
"页头 Logo 之前","हेडर लोगो से पहले"
"在渲染页头 Logo 之前触发，允许其他模块在 Logo 开始处注入内容。","हेडर लोगो को रेंडर करने से पहले ट्रिगर होता है, जिससे अन्य मॉड्यूल लोगो की शुरुआत में सामग्री जोड़ सकते हैं।"
"页头 Logo 内容","हेडर लोगो सामग्री"
"覆盖默认页头 Logo 区域，允许站点或业务模块替换品牌标识和首页链接。","डिफ़ॉल्ट हेडर लोगो क्षेत्र को कवर करता है, जो साइट या व्यावसायिक मॉड्यूल को ब्रांड पहचान और होमपेज लिंक को बदलने की अनुमति देता है।"
"页头 Logo 之后","हेडर लोगो के बाद"
"在渲染页头 Logo 之后触发，允许其他模块在 Logo 结束处注入内容。","हेडर लोगो को रेंडर करने के बाद ट्रिगर होता है, जिससे अन्य मॉड्यूल लोगो के अंत में सामग्री जोड़ सकते हैं।"
页头配送地址槽,"हेडर डिलीवरी पता"
"在 header delivery 空槽内触发；结账配送上下文由 Checkout default_injections 注入，本 Hook 供扩展覆盖或附加内容。","हेडर डिलीवरी स्लॉट में ट्रिगर होता है; चेकआउट डिलीवरी संदर्भ को Checkout default_injections द्वारा इंजेक्ट किया जाता है, यह हुक विस्तार, ओवरराइड या अतिरिक्त सामग्री के लिए है।"
页头公告内容,"हेडर घोषणा सामग्री"
覆盖或注入页头公告区域，允许业务模块提供全站促销、配送或运营提示。,"हेडर घोषणा क्षेत्र को ओवरराइड या इंजेक्ट करता है, जो व्यावसायिक मॉड्यूल को पूरे साइट पर प्रचार, शिपिंग या परिचालन संकेत प्रदान करने की अनुमति देता है।"
页头分类菜单之前,"हेडर श्रेणी मेनू से पहले"
在渲染页头分类菜单之前触发，允许其他模块在分类菜单开始处注入内容。,"हेडर श्रेणी मेनू को रेंडर करने से पहले ट्रिगर होता है, जिससे अन्य मॉड्यूल श्रेणी मेनू की शुरुआत में सामग्री जोड़ सकते हैं।"
页头分类菜单之后,"हेडर श्रेणी मेनू के बाद"
在渲染页头分类菜单之后触发，允许其他模块在分类菜单结束处注入内容。,"हेडर श्रेणी मेनू को रेंडर करने के बाद ट्रिगर होता है, जिससे अन्य मॉड्यूल श्रेणी मेनू के अंत में सामग्री जोड़ सकते हैं।"
页头导航之前,"नेविगेशन से पहले"
在渲染页头导航菜单之前触发，允许其他模块在导航菜单开始处注入内容。,"हेडर नेविगेशन मेनू को रेंडर करने से पहले ट्रिगर होता है, जिससे अन्य मॉड्यूल नेविगेशन मेनू की शुरुआत में सामग्री जोड़ सकते हैं।"
页头导航内容,"नेविगेशन सामग्री"
覆盖默认页头导航列表，允许站点或业务模块提供业务导航。,"डिफ़ॉल्ट हेडर नेविगेशन सूची को कवर करता है, जो साइट या व्यावसायिक मॉड्यूल को व्यावसायिक नेविगेशन प्रदान करने की अनुमति देता है।"
页头导航之后,"नेविगेशन के बाद"
在渲染页头导航菜单之后触发，允许其他模块在导航菜单结束处注入内容。,"हेडर नेविगेशन मेनू को रेंडर करने के बाद ट्रिगर होता है, जिससे अन्य मॉड्यूल नेविगेशन मेनू के अंत में सामग्री जोड़ सकते हैं।"
页头搜索之前,"हेडर सर्च से पहले"
在渲染页头搜索框之前触发，允许其他模块在搜索框开始处注入内容。,"हेडर सर्च बॉक्स को रेंडर करने से पहले ट्रिगर होता है, जिससे अन्य मॉड्यूल सर्च बॉक्स की शुरुआत में सामग्री जोड़ सकते हैं।"
页头搜索内容,"हेडर सर्च सामग्री"
覆盖默认页头搜索表单，允许站点或业务模块提供自己的搜索目标和占位文案。,"डिफ़ॉल्ट हेडर खोज फ़ॉर्म को कवर करता है, जो साइट या व्यावसायिक मॉड्यूल को अपने स्वयं के खोज लक्ष्य और प्लेसहोल्डर पाठ प्रदान करने की अनुमति देता है।"
页头搜索表单之前,"हेडर सर्च फॉर्म से पहले"
在渲染页头搜索表单之前触发，允许其他模块在搜索表单开始处注入内容（如分类下拉菜单等）。,"हेडर सर्च फॉर्म को रेंडर करने से पहले ट्रिगर होता है, जिससे अन्य मॉड्यूल सर्च फॉर्म की शुरुआत में सामग्री जोड़ सकते हैं (जैसे श्रेणी ड्रॉपडाउन मेनू)।"
页头搜索之后,"हेडर सर्च के बाद"
在渲染页头搜索框之后触发，允许其他模块在搜索框结束处注入内容。,"हेडर सर्च बॉक्स को रेंडर करने के बाद ट्रिगर होता है, जिससे अन्य मॉड्यूल सर्च बॉक्स के अंत में सामग्री जोड़ सकते हैं।"
页头操作按钮之前,"हेडर क्रिया बटन से पहले"
在渲染页头操作按钮（如购物车、用户菜单等）之前触发，允许其他模块在操作按钮区域开始处注入内容。,"हेडर एक्शन बटन (जैसे शॉपिंग कार्ट, उपयोगकर्ता मेनू) को रेंडर करने से पहले ट्रिगर होता है, जिससे अन्य मॉड्यूल एक्शन बटन क्षेत्र की शुरुआत में सामग्री जोड़ सकते हैं।"
页头账户操作,"हेडर खाता क्रियाएं"
覆盖默认页头账户入口，允许客户、会员或站点模块接入自己的账户中心地址。,"डिफ़ॉल्ट हेडर खाता प्रविष्टि को कवर करता है, जो ग्राहकों, सदस्यों या साइट मॉड्यूल को अपने स्वयं के खाता केंद्र पते को एकीकृत करने की अनुमति देता है।"
页头购物车入口,"हेडर शॉपिंग कार्ट प्रवेश"
覆盖默认页头购物车入口，允许购物车模块提供数量、金额、迷你购物车或结账入口。,"डिफ़ॉल्ट हेडर शॉपिंग कार्ट प्रविष्टि को कवर करता है, जो शॉपिंग कार्ट मॉड्यूल को मात्रा, राशि, मिनी शॉपिंग कार्ट या चेकआउट प्रविष्टि प्रदान करने की अनुमति देता है।"
页头操作按钮之后,"हेडर ऑपरेशन बटन के बाद"
在渲染页头操作按钮（如购物车、用户菜单等）之后触发，允许其他模块在操作按钮区域结束处注入内容。,"हेडर एक्शन बटन (जैसे शॉपिंग कार्ट, उपयोगकर्ता मेनू) को रेंडर करने के बाद ट्रिगर होता है, जिससे अन्य मॉड्यूल एक्शन बटन क्षेत्र के अंत में सामग्री जोड़ सकते हैं।"
页头之后,"हेडर के बाद"
在渲染页头组件之后触发，允许其他模块在页头结束处注入内容。,"हेडर कंपोनेंट को रेंडर करने के बाद ट्रिगर होता है, जिससे अन्य मॉड्यूल हेडर के अंत में सामग्री जोड़ सकते हैं।"
"Frontend head favicon","Frontend head favicon"
"Allows modules to replace the frontend favicon links in the document head.","Allows modules to replace the frontend favicon links in the document head."
"Head 模块声明","हेड मॉड्यूल घोषणा"
"在 head 中 theme.js 加载之后触发，允许其他模块注入 JS 模块声明。使用 Weline.declare() 声明需要加载的模块。","`theme.js` को `<head>` में लोड करने के बाद ट्रिगर होता है, जो अन्य मॉड्यूल को JS मॉड्यूल घोषणाएं इंजेक्ट करने की अनुमति देता है। लोड करने के लिए आवश्यक मॉड्यूल को `Weline.declare()` के साथ घोषित करें।"
面包屑自定义内容（items）,"ब्रेडक्रंब अनुकूलन सामग्री (आइटम)"
"覆盖前台主题的面包屑节点列表，允许其他模块输出自定义的面包屑结构（如基于分类层级、搜索结果等动态生成路径）。如果未实现此 Hook，将回退到主题默认的面包屑渲染逻辑。","फ्रंट-एंड थीम के ब्रेडक्रंब नोड सूची को ओवरराइड करता है, जो अन्य मॉड्यूल को कस्टम ब्रेडक्रंब संरचना आउटपुट करने की अनुमति देता है (जैसे श्रेणी पदानुक्रम, खोज परिणाम आदि के आधार पर गतिशील रूप से उत्पन्न पथ)। यदि यह हुक लागू नहीं किया गया है, तो यह थीम के डिफ़ॉल्ट ब्रेडक्रंब रेंडरिंग लॉजिक पर वापस आ जाएगा।"
商品卡片加购按钮,"उत्पाद कार्ड पर 'जोड़ें' बटन"
"商品卡片加购操作槽，默认由 Weline_Cart 通过 Cart add 提供加购按钮。","商品卡片加购操作槽，默认由 Weline_Cart 通过 Cart add 提供加购按钮。"
商品卡片立即购买按钮,"उत्पाद कार्ड पर 'अभी खरीदें' बटन"
"商品卡片立即购买操作槽，默认由 Weline_Checkout 提供立即购买按钮。","उत्पाद कार्ड पर 'अभी खरीदें' कार्रवाई स्लॉट, डिफ़ॉल्ट रूप से Weline_Checkout द्वारा प्रदान किया जाता है।"
基础布局头部之前,"मूल लेआउट हेडर से पहले"
"在渲染基础布局的 <head> 标签之前触发，允许其他模块在头部开始处注入内容。此 hook 适用于所有使用基础布局的页面。","मूल लेआउट के <head> टैग से पहले ट्रिगर होता है, जिससे अन्य मॉड्यूल हेडर की शुरुआत में सामग्री जोड़ सकते हैं। यह हुक उन सभी पृष्ठों पर लागू होता है जो मूल लेआउट का उपयोग करते हैं।"
基础布局头部之后,"मूल लेआउट हेडर के बाद"
