AI监控告警,"AI Monitoring Alerts"
"参数错误：target_locale 不能为空","Parameter error: target_locale cannot be empty"
AI翻译调用失败,"AI translation call failed"
"目标语言：%{locale}\n词数：%{count}\n错误信息：%{error}","Target language: %{locale}\nNumber of words: %{count}\nError message: %{error}"
"发送 AI 翻译系统消息失败：%{1}","Failed to send AI translation system message: %{1}"
开始扫描AI模块资源...,"Start scanning AI module resources..."
正在扫描场景适配器...,"Scanning scene adapters..."
"扫描到 %{count} 个场景适配器","Scanned %{count} scene adapters"
未发现新的场景适配器,"No new scene adapters found"
正在扫描智能体...,"Scanning agents..."
"扫描到 %{count} 个智能体","Scanned %{count} agents"
未发现新的智能体,"No new agents found"
正在扫描AI模型...,"Scanning AI models..."
"扫描到 %{count} 个AI模型","Scanned %{count} AI models"
未发现新的AI模型,"No new AI models found"
AI模块资源扫描完成,"AI module resource scanning completed"
"AI模块资源扫描失败: %{error}","AI module resource scan failed: %{error}"
文章生成适配器,"Article generation adapter"
"专为内容模块设计的 AI 文章生成适配器。支持多种文章类型、多语言、SEO 优化、自定义风格和长度。输出结构化 JSON 格式，包含标题、摘要、正文、SEO 元信息等。","AI article generation adapter designed for content modules. Supports multiple post types, multiple languages, SEO optimization, custom styles and lengths. Output in structured JSON format, including title, abstract, body, SEO meta information, etc."
无效的文章类型：%{type},"Invalid article type: %{type}"
无效的写作风格：%{style},"Invalid Writing Style: %{style}"
无效的文章长度：%{length},"Invalid article length: %{length}"
文章生成适配器参数,"Article generation adapter parameters"
主关键词,"main keyword"
文章的核心关键词，将在标题和内容中突出,"Core keywords of the article, which will be highlighted in the title and content"
相关关键词,"Related keywords"
需要在文章中自然融入的相关关键词,"Relevant keywords that need to be naturally integrated into the article"
文章类型,"Article Type"
博客文章,"Blog Article"
新闻资讯,"News & Updates"
产品介绍,"Product introduction"
落地页,"Landing page"
企业介绍,"Company introduction"
FAQ,FAQ
教程,Tutorial
评测,Evaluation
写作风格,"Writing style"
专业严谨,"Professional and rigorous"
轻松活泼,"Light and lively"
技术深度,"Technical Depth"
营销推广,"Marketing promotion"
教育科普,"Educational Outreach"
文章长度,"Article Length"
短篇（300-500字）,"Short (300-500 words)"
中篇（500-800字）,"Medium (500-800 words)"
长篇（800-1500字）,"Long-form (800-1500 characters)"
语言,language
"文章语言代码，如 zh_Hans_CN, en_US","Article Language Code, e.g., zh_Hans_CN, en_US"
目标受众,"Target audience"
文章的目标读者群体,"Target audience of the article"
包含SEO信息,"Include SEO information"
"是否生成 meta_title、meta_description、meta_keywords","Generate meta_title, meta_description, meta_keywords"
自定义说明,"Custom Description"
额外的写作要求或说明,"Additional Writing Requirements or Instructions"
博客文章生成,"Blog Article Generation"
"根据关键词生成 SEO 优化的博客文章","Generate SEO-optimized blog articles based on keywords"
"关键词：PHP 8.4 新特性","Keywords: PHP 8.4 New Features"
产品介绍页,"Product Introduction Page"
生成产品介绍文案,"Generate product description copy"
产品：智能家居控制中心,"Product: Smart Home Control Center"
"FAQ 生成","FAQ generation"
生成常见问题解答,"Generate FAQ"
主题：电商退换货政策,"Theme: E-commerce Return and Exchange Policy"
AI助手工具,"AI Assistant Tool"
多种AI模型,"Multiple AI models"
"支持OpenAI GPT、Claude等多种主流AI模型，满足不同场景需求","Supporting mainstream AI models such as OpenAI GPT and Claude to meet diverse scenario requirements."
场景适配器,"Scene adapter"
提供翻译、代码生成、内容创作等专业场景适配器，优化生成效果,"Providing professional scenario adapters for translation, code generation, content creation, etc., to optimize generation outcomes."
可恢复任务接口,"Resumable task interface"
通过后台任务和可重连事件订阅提供实时响应，短暂断网不会中断生成,"Provide real-time response through background tasks and reconnectable event subscriptions, and short network interruptions will not interrupt production"
安全可靠,"Safe and reliable"
完善的API密钥管理、访问控制和内容安全检测机制,"Comprehensive API key management, access control, and content security detection mechanisms."
高性能,"High performance"
智能缓存、并发控制和负载均衡，确保快速响应,"Intelligent caching, concurrency control, and load balancing ensure rapid response."
国际化,internationalization
支持多语言界面和内容，自动语言检测和转换,"Supports multilingual interfaces and content, with automatic language detection and conversion."
功能特性,Features
使用指南,"User Guide"
"内部服务调用（CLI / Runner）","Internal service calls (CLI/Runner)"
"内部翻译服务（CLI / Runner）","In-house translation service (CLI/Runner)"
浏览器可恢复任务订阅,"Browser resumeable task subscription"
定价信息,"Pricing Information"
个人中心,"Personal center"
API密钥管理,"API Key Management"
请先登录,"Please log in first"
无效的请求方法,"Invalid request method"
密钥名称不能为空,"The key name cannot be empty."
API密钥创建成功，等待管理员审核,"API key created successfully, awaiting administrator review."
创建失败：%{1},"Creation failed: %{1}"
无权操作此密钥,"No permission to operate this key."
API密钥已删除,"The API key has been deleted."
删除失败：%{1},"Delete failed: %{1}"
使用统计,"Using statistics"
个人设置,"Personal Settings"
仅支持POST请求,仅支持POST请求
请输入提示词,请输入提示词
生成成功,生成成功
获取成功,获取成功
获取模型列表失败,获取模型列表失败
请选择模型,"Please select a model"
配置保存成功,配置保存成功
保存配置失败,保存配置失败
获取余额失败,获取余额失败
AI聊天,"AI Chat"
聊天历史已清空,"Chat history has been cleared."
智能体代码不能为空。,"Agent code is required."
智能体代码和工具名称不能为空。,"Agent code and tool name are required."
"成功扫描 %{count} 个智能体","Successfully scanned %{count} agents"
扫描智能体失败,"Agent scan failed"
"AI 智能体治理","AI agent governance"
circle,circle
"AI 智能体目录与工具治理","AI agent catalog and tool governance"
"查看 AI 智能体","View AI agents"
list,list
"查看 AI 智能体目录","View AI agent catalog"
tag,tag
保存智能体覆盖,"Save agent overrides"
save,save
保存智能体名称与描述覆盖,"Save agent name and description overrides"
切换智能体状态,"Toggle agent status"
switch,switch
"启用或禁用 AI 智能体","Enable or disable AI agents"
保存工具描述覆盖,"Save tool description override"
保存智能体工具描述覆盖,"Save AI agent tool description override"
切换工具状态,"Toggle tool status"
启用或禁用智能体工具,"Enable or disable agent tools"
"扫描 AI 智能体","Scan AI agents"
search,search
"扫描并注册 AI 智能体","Scan and register AI agents"
自定义供应商不存在,"Custom supplier does not exist"
本地供应商已保存,"Local supplier saved"
"本地供应商已保存（模型 %{1} 个，删除 %{2} 个）","Local suppliers saved (models %{1}, deleted %{2})"
连通性测试成功,"Connectivity test successful"
模型列表格式无效,"Invalid model list format"
参数错误,"Parameter error"
已删除,Deleted
已启用,Enabled
已停用,Deactivated
本地AI供应商,"Local AI Supplier"
server,server
本地/自定义AI供应商管理,"Local/custom AI supplier management"
查看本地供应商,"View local suppliers"
查看本地/自定义供应商列表,"View local/custom supplier list"
编辑本地供应商,"Edit local supplier"
edit,edit
编辑本地/自定义供应商,"Edit local/custom supplier"
保存本地供应商,"Save local supplier"
保存本地/自定义供应商,"Save local/custom supplier"
测试本地供应商连通性,"Test local provider connectivity"
test,test
测试本地/自定义供应商连通性,"Test local/custom provider connectivity"
删除本地供应商,"Delete local supplier"
trash,trash
删除本地/自定义供应商,"Remove local/custom provider"
切换本地供应商状态,"Switch local supplier status"
启用或停用本地供应商,"Enable or disable local providers"
"模型绑定的供应商账户不存在（account_id: %{1}）","The provider account bound to the model does not exist (account_id: %{1})"
"模型绑定的供应商账户未启用（account_id: %{1}，account_name: %{2}）","The provider account bound to the model is not enabled (account_id: %{1}, account_name: %{2})"
"字段 %{field} 不是有效的 JSON 配置","Field %{field} is not a valid JSON configuration"
模型ID不能为空,"Model ID cannot be empty."
"模型同步完成，收集 %{1} 个模型","Model sync completed, collected %{1} models"
"模型同步失败: %{1}","Model sync failed: %{1}"
模型代码或ID不能为空,"Model code or ID cannot be empty."
供应商连通性测试未通过，无法激活。请先进行连通性测试。,"The supplier connectivity test failed and cannot be activated. Please perform the connectivity test first."
自配置连通性测试未通过，无法激活。请先进行自配置测试。,"The self-configuration connectivity test failed and cannot be activated. Please perform the self-configuration test first."
"状态更新失败: %{msg}","Status update failed: %{msg}"
"设置失败: %{msg}","Setup failed: %{msg}"
模型代码不能为空,"Model code cannot be empty."
"无法识别模型 %{code} 的供应商，请检查模型代码是否正确","Unable to identify the vendor for model %{code}, please check if the model code is correct."
自配置测试成功,"Self-configuration test successful"
账户不存在或加载失败,"Account does not exist or failed to load"
供应商账户测试成功,"Supplier account test successful."
连接成功,"Connection successful"
连接测试失败,"Connection Test Failed"
所有供应商账户测试均失败,"All vendor account tests failed"
"没有可用的 %{provider} 供应商账户","No available %{provider} provider account"
连接测试完成（至少一项成功）,"Connection test completed (at least one successful)"
连接测试完成（均失败）,"Connection test completed (all failed)."
"测试失败: %{msg}","Test failed: %{msg}"
模型自配置不完整,"The model self-configuration is incomplete."
无法创建供应商实例,"Unable to create provider instance"
API响应为空,"API response is empty"
文生图模型测试未返回图片,"Text-to-image model test did not return an image"
模型没有自配置密钥,"The model does not have a self-configuration key."
"自配置测试失败: %{msg}","Self-configuration test failed: %{msg}"
"模型未配置API密钥，且无可用供应商账户，无法激活。请先在供应商账户中添加可用账号或在配置中填写 api_key。","The model is not configured with an API key, and there are no available vendor accounts to activate. Please first add an available account in the vendor account or fill in the api_key in the configuration."
模型连通性测试未通过，无法激活。请先进行连通性测试。,"The model connectivity test failed and cannot be activated. Please perform the connectivity test first."
"模型必须选择一个供应商账户，或者在自配置模式填写 API Key / api_key_env。","The model must select a provider account, or fill in the API Key / api_key_env in self-configuration mode."
"供应商 %{1} 不支持模型 %{2}，不允许切换。请先同步供应商支持模型或更换模型代码。","Supplier %{1} does not support model %{2}, switching is not allowed. Please sync the supplier's supported models or change the model code."
"模型保存失败: %{1}","Model save failed: %{1}"
原始模型不存在,"The original model does not exist."
请输入新模型名称,"Please enter the new model name"
请输入新模型代码,"Please enter the new model code"
模型代码已存在，请使用其他代码,"The model code already exists, please use a different code."
模型复制成功,"Model replication successful"
"模型复制失败: %{1}","Model replication failed: %{1}"
"模型删除失败: %{1}","Model deletion failed: %{1}"
"Missing model id","Missing model id"
"Delete failed for unknown reason","Delete failed for unknown reason"
请选择要激活的模型,"Please select the model to activate."
"成功激活 %{1} 个模型","Successfully activated %{1} models"
批量激活失败：%{1},"Batch activation failed: %{1}"
请选择要禁用的模型,"Please select the model to disable."
"成功禁用 %{1} 个模型","Successfully disabled %{1} models."
批量禁用失败：%{1},"Batch disable failed: %{1}"
所选模型均为受保护模型，仅复制/自定义模型可删除,"The selected models are all protected models; only cloned/custom models can be deleted"
批量删除失败：%{1},"Batch deletion failed: %{1}"
"成功清空模型表，共删除 %{1} 个模型","Successfully cleared the model table, a total of %{1} models deleted."
清空失败：%{1},"Clear failed: %{1}"
请选择要测试的模型,"Please select the model to test"
无法确定模型的供应商,"Unable to determine the model's vendor."
没有可用的%{provider}供应商账户,"No available %{provider} supplier account"
测试成功,"Test successful"
"获取供应商列表失败: %{1}","Failed to retrieve supplier list: %{1}"
供应商代码不能为空,"Supplier code cannot be empty"
"不支持的供应商: %{1}","Unsupported vendors: %{1}"
"获取模型列表失败: %{1}","Failed to get model list: %{1}"
AI模型管理,"AI Model Management"
robot,robot
查看AI模型列表,"View AI model list"
查看AI模型详情,"View AI model details"
info,info
收集AI模型,"Collect AI models"
download,download
收集AI模型配置,"Collect AI model configurations"
切换AI模型状态,"Switch AI model status"
启用或禁用AI模型,"Enable or disable AI models"
设置默认AI模型,"Set default AI model"
star,star
获取AI模型配置模板,"Get AI model configuration template"
file,file
测试AI模型连接,"Test AI model connection"
link,link
测试AI模型自配置连接,"Test AI model self-configuration connection"
settings,settings
编辑AI模型,"Edit AI model"
编辑AI模型（侧边栏）,"Edit AI model (sidebar)"
保存AI模型,"Save AI model"
复制AI模型表单,"Copy AI model form"
copy,copy
复制AI模型,"Copy AI model"
删除AI模型,"Delete AI model"
批量激活模型,"Batch activation model"
check,check
批量禁用模型,"Disable models in batches"
close,close
批量删除模型,"Delete models in batches"
清空模型表,"Clear model table"
清空所有模型数据,"Clear all model data"
批量测试AI模型连接,"Batch test AI model connection"
获取AI供应商列表,"Get a list of AI vendors"
globe,globe
获取AI供应商及模型列表,"Get a list of AI suppliers and models"
获取供应商模型列表,"Get a list of supplier models"
获取指定供应商支持的模型列表,"Get a list of models supported by a specified vendor"
"AI skill governance","AI skill governance"
"AI skill list and governance","AI skill list and governance"
"AI skill list","AI skill list"
"View AI skills","View AI skills"
"AI skill catalog","AI skill catalog"
"View AI skill catalog","View AI skill catalog"
"AI adapter catalog","AI adapter catalog"
"View AI scenario adapters","View AI scenario adapters"
"Save AI skill","Save AI skill"
"Save AI custom skill","Save AI custom skill"
"Set AI skill status","Set AI skill status"
"Enable, pend, or disable AI skill","Enable, pend, or disable AI skill"
"Disable AI skill","Disable AI skill"
"Disable AI custom/imported skill","Disable AI custom/imported skill"
"Import AI skill","Import AI skill"
import,import
"Import AI skill from URL","Import AI skill from URL"
"Export AI skill","Export AI skill"
export,export
"Export AI skill package","Export AI skill package"
"Manage adapter skills","Manage adapter skills"
"Manage manual adapter skill bindings","Manage manual adapter skill bindings"
AI使用统计,AI使用统计
AI使用量统计面板,AI使用量统计面板
查看AI使用统计,查看AI使用统计
查看AI使用量统计,查看AI使用量统计
适配器ID不能为空,"Adapter ID cannot be empty."
"成功扫描 %{count} 个适配器","Successfully scanned %{count} adapters"
"适配器扫描失败: %{error}","Adapter scan failed: %{error}"
请选择要设置的适配器,"Please select the adapter to set"
请选择默认模型,"Please select the default model"
"已为 %{count} 个适配器设置默认模型","Default model set for %{count} adapters"
批量设置失败：%{error},"Batch setting failed: %{error}"
请先选择要配置模型绑定的适配器,"Please select the adapter to configure model binding for first"
请至少选择一个能力模型,"Please select at least one capability model"
模型绑定已保存,"Model binding saved"
模型绑定保存失败,"Failed to save model binding"
删除失败：%{error},"Deletion failed: %{error}"
请选择要删除的适配器,"Please select the adapter to delete"
"成功删除 %{count} 个适配器","Successfully deleted %{count} adapters"
批量删除失败：%{error},"Batch deletion failed: %{error}"
请选择要操作的适配器,"Please select the adapter to operate on"
激活,Activate
禁用,Disable
"成功%{status} %{count} 个适配器","Successfully %{status} %{count} adapters"
批量操作失败：%{error},"Batch operation failed: %{error}"
场景适配器管理,"Scene Adapter Management"
puzzle,puzzle
查看场景适配器列表,"View the list of scene adapters"
查看场景适配器详情,"View scene adapter details"
查看场景适配器详情页面,"View the scene adapter details page"
查看场景适配器完整详情页面,"View the scene adapter full details page"
扫描场景适配器,"Scan scene adapter"
切换场景适配器状态,"Switch scene adapter state"
启用或禁用场景适配器,"Enable or disable scene adapters"
"Save adapter model bindings","Save adapter model bindings"
获取场景适配器信息,"Get scene adapter information"
清理无效场景适配器,"Clean up invalid scene adapters"
查看场景适配器统计,"View scene adapter statistics"
chart,chart
查看场景适配器统计信息,"View scene adapter statistics"
删除场景适配器,"Remove scene adapter"
批量删除场景适配器,"Deleting scene adapters in batches"
批量切换场景适配器状态,"Switch scene adapter status in batches"
批量启用或禁用场景适配器,"Enable or disable scene adapters in batches"
AI管理,"AI management"
AI管理中心,"AI Management Center"
查看AI管理,"View AI Management"
grid,grid
查看AI管理聚合页,"View the AI ​​management aggregation page"
AI供应商账户管理,"AI Supplier Account Management"
请选择供应商,"Please select a supplier"
"供应商不存在: %{1}","Supplier does not exist: %{1}"
"该供应商未配置 models 接口，请手动输入模型代码。","This supplier has not configured the models interface. Please enter the model code manually."
供应商账户不存在或不属于当前供应商,"Supplier account does not exist or does not belong to the current supplier"
"请选择供应商账户，或在自配置模式填写 API Key 后再拉取模型。","Select a provider account, or fill in the API Key in self-configuration mode to pull models."
"该供应商类未实现 models 接口，请手动输入模型代码。","This supplier class does not implement the models interface. Please enter the model code manually."
"models 接口未返回可用模型","models interface does not return available models"
添加供应商账户,"Add supplier account"
账户ID无效,"The account ID is invalid."
账户不存在,"Account does not exist."
编辑供应商账户,"Edit supplier account"
请输入账户名称,"Please enter the account name"
请输入API密钥,"Please enter the API key"
账户保存成功,"Account saved successfully"
该账户有使用记录，无法删除,"This account has usage records and cannot be deleted."
账户删除成功,"Account deleted successfully"
请先测试连接成功后再激活账户,"Please activate your account only after testing the connection successfully."
账户已激活,"Account activated"
账户已停用,"Account deactivated."
使用记录,"Usage record"
待测试,"To be tested"
连接正常,"Connection normal"
连接失败,"Connection failed"
测试中,"Under test"
未知状态,"unknown status"
账户ID不能为空,"Account ID cannot be empty."
"获取账户数据失败: %{msg}","Failed to get account data: %{msg}"
AI供应商账户,"AI supplier account"
user,user
查看供应商账户,"View supplier account"
查看供应商账户列表,"View list of supplier accounts"
编辑供应商账户（侧边栏）,"Edit supplier account (sidebar)"
请先登录后台管理员账号。,"Please sign in with a backend administrator account first."
风格保存失败：%{1},"Style save failed: %{1}"
风格代码不能为空。,"Style code is required."
风格禁用失败：%{1},"Style disable failed: %{1}"
风格删除失败：%{1},"Style delete failed: %{1}"
风格克隆失败：%{1},"Style clone failed: %{1}"
风格匹配失败：%{1},"Style match failed: %{1}"
适配器代码和风格代码不能为空。,"Adapter code and style code are required."
只有启用状态的风格才能绑定到适配器。,"Only active styles can be bound to adapters."
适配器风格绑定失败：%{1},"Adapter style binding failed: %{1}"
适配器风格解绑失败：%{1},"Adapter style unbinding failed: %{1}"
风格目录加载失败：%{1},"Style catalog load failed: %{1}"
"AI style governance","AI style governance"
palette,palette
"AI style list and governance","AI style list and governance"
"AI style list","AI style list"
"View AI styles","View AI styles"
"AI style catalog","AI style catalog"
"View AI style catalog","View AI style catalog"
"Save AI style","Save AI style"
"Save AI custom style","Save AI custom style"
"Disable AI style","Disable AI style"
"Disable AI custom style","Disable AI custom style"
"Delete AI style","Delete AI style"
"Delete AI custom style","Delete AI custom style"
"Clone AI style","Clone AI style"
"Clone builtin/module style","Clone builtin/module style"
"Match AI style","Match AI style"
"Match AI style by brief","Match AI style by brief"
"Manage adapter styles","Manage adapter styles"
"Manage manual adapter style bindings","Manage manual adapter style bindings"
文本生成,"Text generation"
图像生成,"Image generation"
音频生成,"Audio generation"
视频生成,"Video generation"
代码生成,"Code Generation"
翻译,Translate
向量嵌入,"Vector embeddings"
"初始化失败: %{error}","Initialization failed: %{error}"
"清除缓存失败: %{error}","Failed to clear cache: %{error}"
"获取受保护模型列表失败: %{error}","Failed to retrieve protected model list: %{error}"
默认模型管理,"Default Model Management"
查看默认模型配置,"View default model configuration"
设置默认模型,"Set default model"
移除默认模型配置,"Remove default model configuration"
获取模型保护状态,"Get model protection status"
初始化默认配置,"Initialize default configuration"
play,play
验证默认模型配置,"Verify default model configuration"
获取默认模型,"Get the default model"
清除缓存,"Clear cache"
获取受保护的模型列表,"Get a list of protected models"
lock,lock
批量设置默认模型,"Set default model in batches"
"AI 使用统计","AI 使用统计"
今日,今日
总令牌,"Total Tokens"
约花费,约花费
详情,Details
首页,"front page"
聊天,Chat
AI聊天助手,"AI Chat Assistant"
设置,Settings
清空,Clear
选择模型,"Select model"
无,none
欢迎使用AI聊天助手！,"Welcome to the AI Chat Assistant!"
请输入您的问题，我会尽力为您解答。,"Please enter your question, and I will do my best to answer it for you."
请输入您的消息...,"Please enter your message..."
取消生成,"Cancel generation"
"可恢复任务 API 不可用。","Resumable task API is not available."
后台任务启动响应无效。,"The background task startup response is invalid."
确定要清空聊天记录吗？,"Are you sure you want to clear the chat history?"
取消,Cancel
请求失败：,"Request failed:"
无法启动后台任务。,"Unable to start background task."
恢复订阅失败：,"Failed to restore subscription:"
请稍后重试。,"Please try again later."
生成未完成：,"The build is not complete:"
生成失败。,"Build failed."
已取消生成。,"Generation canceled."
客户端失联超时，任务已停止。,"The client lost connection and timed out, and the task has stopped."
任务无法安全恢复。,"The task cannot be safely resumed."
任务事件已达到资源上限。,"The task event has reached the resource limit."
连接暂时中断，正在重连…,"The connection is temporarily interrupted, reconnecting..."
管理您的API密钥和个人设置,"Manage Your API Keys and Personal Settings"
API密钥,"API Key"
今日使用次数,"Number of uses today"
快速操作,"Quick operation"
管理API密钥,"Manage API keys"
创建、查看和管理您的API密钥,"Create, view, and manage your API keys"
使用AI模型进行对话,"Using AI models for conversation."
修改个人信息和偏好设置,"Modify personal information and preferences"
最近活动,"Recent activities"
暂无活动记录,"No activity records"
统计面板,统计面板
"AI 中心","AI Center"
本周,本周
本月,本月
本年,本年
统计区间,统计区间
总请求数,"Total Request Count"
总令牌数,"Total Token Count"
按模型消耗排名,按模型消耗排名
排名,排名
模型,Model
暂无数据,"No data yet"
"前端 API 不可用，请刷新页面后重试。","The frontend API is unavailable. Refresh the page and try again."
适配器上下文不可用。,"Adapter context unavailable."
锁定,locking
手动,Manual
临时,Temporary
个技能,skills
加载中...,loading...
技能目录加载失败,"Skill directory loading failed"
没有技能符合当前筛选。,"No skills match the current filter."
新建自定义技能,"Create new custom skills"
技能详情,"Skill details"
未选择,"No selection"
只读,"read only"
可编辑,Editable
新建,New
管理,Manage
导出,Export
未命名技能,"Unnamed skill"
锁定绑定,"lock binding"
手动绑定,"Manual Binding"
此技能由适配器代码锁定，不能在这里解绑。,"This skill is locked by the adapter code and cannot be unbind here."
此技能已手动绑定到当前适配器，可以移除此手动绑定。,"This skill is manually bound to the current adapter. This manual binding can be removed."
只有启用状态的技能才能绑定到适配器。,"Only enabled skills can be bound to the adapter."
将此技能作为当前适配器的长期手动技能。,"Make this skill the long-term manual skill for the current adapter."
正在保存...,Saving...
已保存。,Saved.
保存失败,"Save failed"
正在更新状态...,"Updating status..."
状态已更新。,"Status updated."
状态更新失败,"Status Update Failed"
正在绑定技能...,"Binding skills..."
正在移除绑定...,"Removing binding..."
技能已绑定到适配器。,"The skill is bound to the adapter."
手动绑定已移除。,"Manual binding removed."
绑定失败,"Bind failed"
解绑失败,"Unbinding failed"
正在导入...,Importing...
已导入为待审核技能，请检查后再启用和绑定。,"It has been imported as a skill to be reviewed. Please check it before enabling and binding it."
导入失败,"Import failed"
代码,code
技能,Skill
来源,source
状态,state
绑定,binding
操作,operate
"AI Skills","AI Skills"
"AI 技能","AI skills"
管理模块、自定义、导入和适配器绑定的提示词技能。,"Prompt word skills for managing modules, customizations, imports, and adapter bindings."
刷新目录,"refresh directory"
适配器绑定上下文,"Adapter Binding Context"
搜索,search
"代码 / 名称 / 标签",code/name/label
全部,all
启用,enable
待审核,"Pending review"
缺失,Missing
"模块 / 系统",Module/System
自定义,Customize
"导入 / 平台",import/platform
技能目录,"Skill Catalog"
正在加载技能目录...,"Loading skills catalog..."
从目录选择一个技能，或新建自定义技能。,"Select a skill from the catalog, or create a new custom skill."
技能代码,"Skill code"
名称,name
可读的技能名称,"human readable skill name"
版本,Version
描述,describe
这个技能负责什么,"What does this skill do?"
技能正文,"Skill text"
"Markdown 指令","Markdown directive"
保存,save
设为待审核,"Set to pending review"
当前上下文的适配器绑定,"Adapter bindings for the current context"
绑定到适配器,"Bind to Adapter"
移除手动绑定,"Remove Manual Binding"
"从 URL 导入技能","Import skills from URL"
导入为待审核,"Import as pending review"
"仅允许公开 http/https URL。限制：256KB、8 秒超时、Markdown/text/JSON。","Only public http/https URLs are allowed. Limits: 256KB, 8 second timeout, Markdown/text/JSON."
系统管理,"System Management"
供应商账户,"Supplier account"
供应商账户工作原理,"How Supplier Accounts Work"
"供应商账户用于集中管理各 AI 供应商（如 OpenAI、阿里云等）的 API 密钥。添加账户后需进行「连通性测试」，测试通过才能激活账户。","Supplier accounts are used to centrally manage API keys for various AI providers (e.g., OpenAI, Alibaba Cloud, etc.). After adding an account, a ""connectivity test"" must be performed; the account is only activated if the test passes."
"模型在调用时可选择使用「供应商账户」或「自配置」：使用供应商账户时，模型会从已激活的该供应商账户中获取 API 密钥，无需在每个模型中单独填写。","When calling the model, you can choose to use a ""Provider Account"" or ""Self-Configuration"": When using a provider account, the model retrieves the API key from the activated provider account, eliminating the need to fill it in separately for each model."
"使用流程：先在本页添加账户 → 填写 API 密钥并保存 → 点击「连通性测试」→ 测试通过后激活账户 → 在「模型」Tab 中选择使用该供应商账户的模型进行配置和启用。","Workflow: First, add an account on this page → fill in the API key and save → click ""Connectivity Test"" → activate the account after the test passes → in the ""Models"" tab, select a model using this provider account for configuration and activation."
加载失败,"Loading failed"
请重试,"Please try again"
提示,Tip
请先选择供应商,"Please select a vendor first"
确定,Sure
请先填写API密钥,"Please fill in the API key first"
成功,success
操作失败,"Operation failed"
确定要删除此账户吗？此操作不可恢复！,"Are you sure you want to delete this account? This action cannot be undone!"
删除失败,"Deletion failed"
网络错误,"Network error"
返回列表,"Return to list"
总花费,"Total cost"
成功率,"Success rate"
开始日期,"start date"
结束日期,"end date"
筛选,filter
重置,reset
时间,time
用户,User
请求类型,"Request type"
输入令牌,"Enter the token"
