阿里云域名,"Alibaba Cloud Domain"
"阿里云 Nameserver 修改功能尚未完成 API 对接，请稍后再试。","The Alibaba Cloud Nameserver modification feature has not completed API integration yet. Please try again later."
"阿里云 DNS 默认服务器","Aliyun DNS default servers"
"Amazon Web Services Route 53 域名注册服务，支持域名注册、DNS 管理和健康检查。","Amazon Web Services Route 53 domain registration service, supporting domain registration, DNS management, and health checks."
"Access Key ID","Access Key ID"
"Secret Access Key","Secret Access Key"
"AWS Route53 配置获取指南","AWS Route53 Configuration Obtaining Guide"
"【IAM】建议直接附加托管策略「AmazonRoute53DomainsFullAccess」；或自定义策略至少包含：route53domains:CheckDomainAvailability、RegisterDomain、GetOperationDetail、ListDomains、ListOperations 等。","[IAM] It is recommended to directly attach the hosting policy ""AmazonRoute53DomainsFullAccess""; or customize the policy to at least include: route53domains:CheckDomainAvailability, RegisterDomain, GetOperationDetail, ListDomains, ListOperations, etc."
"【区域】Route 53 Domains 注册类 API 固定使用 us-east-1（与控制台「域名注册」一致），本系统已按此调用。","[Region] Route 53 Domains registration API fixedly uses us-east-1 (consistent with the console ""Domain Name Registration""), and this system has called it accordingly."
"【付款】AWS 账户须绑定有效付款方式，注册会从账户扣款。","[Payment] The AWS account must be bound to a valid payment method, and registration will be deducted from the account."
【联系人】批量购买须填写完整注册人信息（英文地址常用）。,"[Contact Person] For bulk purchases, complete registrant information is required (English addresses are commonly used)."
"1. IAM → 用户 → 创建访问密钥（Access key）","1. IAM → User → Create access key (Access key)"
"2. 权限：AmazonRoute53DomainsFullAccess（见上方购买权限说明）","2. Permissions: AmazonRoute53DomainsFullAccess (see the purchase permission instructions above)"
"3. Access Key ID / Secret 填入上方","3. Access Key ID / Secret is filled in above"
不可用,Unavailable
"请先填写完整注册人信息（姓名、邮箱、电话、地址等），与后台购买弹窗中 AWS/GoDaddy 联系人表单一致。","Please fill in the complete registrant information (name, email, phone, address, etc.), consistent with the AWS/GoDaddy contact form in the backend purchase popup."
"注册请求未返回 OperationId，请稍后于 AWS 控制台核对。","Registration request did not return an OperationId, please verify later in the AWS console."
"注册已提交（操作 ID：%{1}）。AWS 侧可能仍需数分钟生效；若暂时无法解析或入池，请稍后由 Cron 同步或查看 AWS 控制台。","Registration submitted (Operation ID: %{1}). It may take a few minutes to take effect on the AWS side. If resolution or pool entry is temporarily unavailable, please wait for Cron sync or check the AWS console."
"API Key 和 Secret 不能为空","API Key and Secret cannot be empty"
"请在 Route53 控制台管理托管区解析记录","Please manage the hosted zone DNS records in the Route53 console"
"请在 Route53 Domains 控制台修改 NS","Please modify the NS in the Route53 Domains console"
"创建 Hosted Zone 后在 Route53 查看分配的 NS","Create Hosted Zone and View Assigned NS in Route53"
"Microsoft Azure 域名注册与 DNS 管理服务，支持域名注册和 Azure DNS Zone 管理。","Microsoft Azure domain registration and DNS management service, supporting domain registration and Azure DNS Zone management."
"客户端 ID (Client ID)","Client ID"
"客户端密钥 (Client Secret)","Client Secret"
"订阅 ID (Subscription ID)","Subscription ID"
"租户 ID (Tenant ID)","Tenant ID"
"Azure DNS 配置获取指南","Azure DNS configuration get guide"
"本适配器仅对接 Azure DNS（解析），不支持通过 API 在本系统内购买域名；批量购买请选择 GoDaddy、GName、阿里云域名、AWS Route53 等注册商账号。","This adapter only connects to Azure DNS (resolution) and does not support purchasing domain names within this system via API; for bulk purchases, please select registrar accounts such as GoDaddy, GName, Alibaba Cloud Domains, or AWS Route53."
"1. 登录 Azure 门户：https://portal.azure.com","1. Log in to Azure portal: https://portal.azure.com"
"2. 「应用注册」→ 新注册 → 获取客户端 ID、租户 ID","2. ""Application Registration"" → New Registration → Get client ID, tenant ID"
"3. 「证书和密码」创建客户端密钥","3. ""Certificate and Password"" creates a client key"
"4. 订阅 ID 填入对应字段","4. Fill in the corresponding fields with the subscription ID"
"5. 订阅 IAM 中为应用分配「DNS Zone 参与者」","5. Assign ""DNS Zone Participant"" to the application in the subscription IAM"
"Client ID 和 Client Secret 不能为空","Client ID and Client Secret cannot be empty"
"Azure DNS 适配器尚未完成 API 对接，请稍后再试。","Azure DNS adapter API integration not yet complete. Please try again later."
"Azure DNS Nameserver 修改功能尚未完成 API 对接，请稍后再试。","The Azure DNS Nameserver modification function has not completed API docking, please try again later."
"Azure DNS Nameserver 获取功能尚未完成 API 对接","Azure DNS Nameserver retrieval API not implemented yet"
域名为空,"Domain is empty"
"Cloudflare：请至少填写 DNS（域名商）或 CDN 侧有效的 Cloudflare 账户 ID。","Cloudflare: Please fill in at least a valid Cloudflare account ID on the DNS (domain name provider) or CDN side."
"Cloudflare：账户 ID 无效，请检查 DNS 或 CDN 配置。","Cloudflare: Invalid account ID, please check DNS or CDN configuration."
"Cloudflare DNS（域名商）账户无效或非 Cloudflare 渠道。","The Cloudflare DNS (domain name provider) account is invalid or not a Cloudflare channel."
"Cloudflare CDN 账户校验需要 CDN 模块。","Cloudflare CDN account verification requires the CDN module."
"Cloudflare CDN 账户无效。","Cloudflare CDN account is invalid."
"Cloudflare：DNS（域名商）与 CDN 须为同一 API Token。","Cloudflare: DNS (domain name provider) and CDN must be the same API Token."
"Cloudflare：请在「CDN 管理」添加与当前 DNS 账户相同 API Token 的 Cloudflare 账户。","Cloudflare: Please add a Cloudflare account with the same API Token as the current DNS account in ""CDN Management""."
"Cloudflare：请在「域名管理」添加与当前 CDN 账户相同 API Token 的 Cloudflare DNS 账户。","Cloudflare: Please add a Cloudflare DNS account with the same API Token as the current CDN account in ""Domain Name Management""."
"API Token","API Token"
"Cloudflare API Token（区域资源须 All zones）","Cloudflare API Token (Zone resources: All zones)"
"创建 Token 时「区域资源 / Zone resources」请选择「All zones（所有区域）」。若选「指定区域」且未包含全部站点，本系统可能无法列出 Zone，证书 DNS-01 与解析同步会失败。","When creating the token, set Zone resources to All zones. If you use Include only specific zones and omit a site, this system may not list the zone—DNS-01 and sync will fail."
"Account ID","Account ID"
"必填：登录 CF 控制台 → 任意域名 → Overview → 右下角 API 区域","Required: Log in to the CF Console → Any Domain → Overview → API section at the bottom right"
"Cloudflare API 配置获取指南","Cloudflare API Configuration Guide"
"【查可注册性 / 同步 CF 注册域名】必选：Account → Registrar → Read。无此项则批量购买前无法调用 Registrar API 判断域名是否可新注。","[Check registrability/Synchronize CF registered domain name] Required: Account → Registrar → Read. Without this item, the Registrar API cannot be called to determine whether the domain name can be newly registered before bulk purchase."
"【DNS / 证书 / 自动解析】区域资源请固定选「All zones（所有区域）」，勿用「指定区域」仅勾选部分域名——否则 API 可能返回空 Zone 列表，与控制台能看到站点无关。权限仍需：Account Settings Read、Zone Read、Zone Edit、DNS Edit。","[DNS / certs / auto DNS] Set Zone resources to All zones—do not use Include only specific zones for a subset, or the API may return an empty zone list even though the dashboard shows the site. Permissions still need Account Settings Read, Zone Read, Zone Edit, DNS Edit."
"【新注扣款】Cloudflare 当前公开 API 无稳定下单接口；本系统「购买」可能失败，需在控制台 Registrar → Register domains 完成注册；若未来开放 API，一般还需 Registrar → Edit。","[Deduction for new registrations] Cloudflare's current public API does not have a stable ordering interface; ""purchase"" in this system may fail, and registration needs to be completed in the console Registrar → Register domains; if the API is opened in the future, Registrar → Edit is generally required."
"【账号要求】控制台须已验证邮箱；不支持 IDN（国际化域名）新注。","[Account Requirements] The console must have a verified email address; new IDN (Internationalized Domain Name) entries are not supported."
"【获取 API Token】","[Get API Token]"
"1. 登录 Cloudflare 控制台：https://dash.cloudflare.com/","1. Log in to Cloudflare console: https://dash.cloudflare.com/"
"2. 点击右上角头像 → My Profile（我的个人资料）","2. Click the avatar in the upper right corner → My Profile"
"3. 左侧菜单选择 API Tokens（API 令牌）","3. Select API Tokens from the left menu"
"4. 点击 Create Token → Create Custom Token","4. Click Create Token → Create Custom Token"
"5. 权限（DNS/建站）：Account Settings Read、Zone Read、Zone Edit、DNS Edit；若要用本系统查购买可用性并同步注册域名：再加 Registrar Read（见上方蓝色框）。","5. Permissions (DNS/website building): Account Settings Read, Zone Read, Zone Edit, DNS Edit; if you want to use this system to check purchase availability and register domain names simultaneously: add Registrar Read (see blue box above)."
"6. 【必看】区域资源（Zone resources）请选择「All zones」——本系统依赖 API 枚举/操作 Zone；选「指定区域」且漏选站点会导致 GET /zones 无结果、证书 DNS-01 添加 TXT 失败。","6. [Required] Zone resources → All zones—this system relies on the API to list/manage zones; Include only specific zones without every site causes empty GET /zones and DNS-01 TXT failures."
"7. Create Token 后复制填入「API Token」。","7. After Create Token, copy and fill in the ""API Token""."
"【Account ID】可选；不填时凭 Account Settings Read 自动解析。","[Account ID] is optional; if left blank, it will be automatically resolved by Account Settings Read."
未知错误,"Unknown error"
"API 验证失败","API verification failed"
"Cloudflare API 连接失败：%{1}","Cloudflare API connection failed: %{1}"
域名不能为空,"Domain name cannot be empty"
"请配置 Account ID 或授予 Token「Account → Account Settings → Read」以解析账户","Please configure the Account ID or grant the Token ""Account → Account Settings → Read"" to resolve the account"
"域名在 Cloudflare Registrar 可新注（以下单结果为准）","Domain appears registrable at Cloudflare Registrar (subject to checkout)"
"该后缀当前不受 Cloudflare Registrar 支持","This TLD is not supported by Cloudflare Registrar"
域名已在其他注册商注册，请使用转入或换名,"Domain is registered elsewhere; transfer in or choose another name"
域名不可新注或已被注册,"Domain is not available for new registration"
"Registrar 查询失败：%{1}（请确认 Token 含 Account → Registrar → Read）","Registrar lookup failed: %{1} (ensure API token includes Account → Registrar → Read)"
"无法解析 Account ID，无法提交注册","Unable to resolve Account ID, cannot submit registration"
请填写完整注册人信息：名、姓、邮箱、电话、地址、城市、州/省、邮编、国家（两位代码）,"Please complete registrant: first name, last name, email, phone, address, city, state/province, postal code, country (2-letter code)"
域名注册请求已提交,"Domain registration request submitted"
请求失败,"Request failed"
"Cloudflare Account ID 未配置，无法获取注册域名列表","Cloudflare Account ID is not configured, and the registered domain name list cannot be obtained"
获取注册域名列表失败,"Failed to get registered domain list"
"Cloudflare Registrar API 错误：%{1}","Cloudflare Registrar API error: %{1}"
获取域名列表失败,"Failed to retrieve domain list"
"Cloudflare Zones API 错误：%{1}","Cloudflare Zones API error: %{1}"
获取域名详情失败,"Failed to get domain details"
"获取 DNS 记录失败","Failed to get DNS records"
"Cloudflare API 错误：%{1}","Cloudflare API error: %{1}"
添加记录失败,"Failed to add record"
"DNS 记录已存在，复用现有记录","DNS record already exists, reuse existing record"
"DNS 记录已存在（与现有记录相同）","DNS record already exists (same as existing record)"
"DNS 记录添加成功","DNS record added successfully"
更新记录失败,"Failed to update record"
"DNS 记录更新成功","DNS record updated successfully"
删除记录失败,"Failed to delete record"
"DNS 记录删除成功","DNS record deleted successfully"
"[CF] batchAddDnsRecords 开始：domain=%{1}, 记录数=%{2}","[CF] batchAddDnsRecords started: domain=%{1}, records=%{2}"
"[CF] batchAddDnsRecords 完成：domain=%{1}, 成功=%{2}, 失败=%{3}","[CF] batchAddDnsRecords finished: domain=%{1}, succeeded=%{2}, failed=%{3}"
"[CF] batchAddDnsRecords 失败详情：%{1}","[CF] batchAddDnsRecords Failure details: %{1}"
"Cloudflare 账户在此仅为 DNS 托管：域名若未在 Cloudflare 注册，则注册局委派 NS 只能在域名注册商处修改。请把注册商处的 NS 改为 Cloudflare 为该域名分配的地址；不得用 DNS 托管 API 替代注册商改委派。","This Cloudflare account is DNS hosting only: if the domain is not registered at Cloudflare, registry delegation (authoritative NS) must be changed at your domain registrar. Set the registrar NS to the pair Cloudflare assigns for this domain; do not use DNS-hosting APIs to replace registrar delegation."
"Cloudflare 需要指定域名才能获取分配的 Nameserver","Cloudflare requires domain name to get assigned Nameservers"
"[CF] getProviderNameservers：domain=%{1}","[CF] getProviderNameservers：domain=%{1}"
"[CF] 域名已在 Zone 中，ns=%{1}","[CF] The domain name is already in the Zone, ns=%{1}"
"域名已在 Cloudflare 中，使用已分配的 Nameserver","Domain already in Cloudflare, using assigned Nameservers"
"[CF] 域名不在 Zone 中，自动添加","[CF] The domain name is not in the Zone and will be added automatically"
"域名已添加到 Cloudflare","Domain added to Cloudflare"
"[CF] getProviderNameservers 失败：%{1}","[CF] getProviderNameservers failed: %{1}"
"无法获取 Cloudflare Nameserver","Cannot get Cloudflare Nameservers"
"[CF] addZone 请求：domain=%{1}","[CF] addZone request: domain=%{1}"
"[CF] addZone 失败：无法获取 Account ID","[CF] addZone failure: Unable to get Account ID"
"无法自动获取 Cloudflare Account ID。","Unable to automatically retrieve Cloudflare Account ID."
【解决方案】,【Solution】
"方案一：创建 Token 时添加「Account → Account Settings → Read」权限","Option 1: Add the ""Account → Account Settings → Read"" permission when creating the Token"
"方案二：手动填写 Account ID：","Option 2: Manually enter the Account ID:"
"1. 登录 Cloudflare 控制台 https://dash.cloudflare.com","1. Log in to Cloudflare console https://dash.cloudflare.com"
"2. 进入任意已添加的域名","2. Enter any added domain name"
"3. 在右下角「API」区域找到「Account ID」","3. Find ""Account ID"" in the ""API"" area in the lower right corner"
"4. 复制并填入本系统的账户配置中","4. Copy and fill in the account configuration of this system"
"[CF] 创建 Zone：account_id=%{1}, type=full","[CF] Create Zone: account_id=%{1}, type=full"
添加域名失败,"Failed to add domain"
"[CF] addZone 失败：%{1}, errors=%{2}","[CF] addZone Failure: %{1}, errors=%{2}"
"【解决方法】添加新站点需要 Zone Edit 且区域资源为「所有区域」：","[Solution] Adding a new site requires Zone Edit and the zone resource is ""All Zones"":"
"1. 登录 https://dash.cloudflare.com → 我的个人资料 → API 令牌，编辑当前 Token","1. Log in to https://dash.cloudflare.com → My Profile → API Token, edit current Token"
"2. 权限中确保有 Zone → Zone → Edit（控制台可能显示为「区域」→「区域」→「编辑」）","2. Make sure there is Zone → Zone → Edit in the permissions (the console may display ""Zone"" → ""Zone"" → ""Edit"")"
"3. 「区域资源」必须选 All zones（所有区域）；只选「指定区域」时无法创建新站点，会报此错误","3. ""Regional Resources"" must select All zones; when only ""Specified Zones"" is selected, a new site cannot be created, and this error will be reported"
"[CF] addZone 成功：zone_id=%{1}, ns=%{2}","[CF] addZone success: zone_id=%{1}, ns=%{2}"
"域名已添加到 Cloudflare，请将 Nameserver 切换到：%{1}","Domain added to Cloudflare. Please switch Nameservers to: %{1}"
"在当前 Cloudflare API Token 下经多次 GET /zones?name= 重试后仍未解析到域名「%{1}」的 Zone。API 非强一致，刚改 NS / 新站 pending→active 时常见；可稍后重试。若在控制台能看到该站点，多为 Token 与登录账户不一致、权限未含 Zone → Read、或「区域资源」未包含该域名；DNS 与 CDN 若均用 Cloudflare 须使用同一 Token。","After multiple retries of GET /zones?name= under the current Cloudflare API Token, the Zone for the domain ""%{1}"" could not be resolved. The API is not strongly consistent; this is common when NS has just been changed or a new site transitions from pending to active. Retry later. If the site is visible in the console, the issue is often that the Token does not match the logged-in account, lacks Zone → Read permissions, or the ""Regional Resources"" do not include the domain; if both DNS and CDN use Cloudflare, the same Token must be used."
"获取 Cloudflare Account ID 失败：%{1}","Failed to get Cloudflare Account ID: %{1}"
"Cloudflare API 返回空账户列表，Token 可能没有 Account:Read 权限","Cloudflare API returns an empty account list, and the Token may not have Account:Read permissions"
"已检测到 %{1} 记录（%{2}）开启 Cloudflare 代理","Detected %{1} records (%{2}) with Cloudflare proxy enabled"
根域,"Root domain"
"根域或 www 下未找到已开启代理的 A/AAAA/CNAME 记录","No A/AAAA/CNAME records with proxy enabled found under the root domain or www"
"无法调用 Registrar API 或域名无记录；检测到 DNS，可能已被注册","Registrar API unavailable or no data; DNS records found — likely already registered"
"无法调用 Registrar API；未检测到 DNS，可能可注册（请用控制台或换注册商确认）","Registrar API unavailable; no DNS found — may be available (confirm in dashboard or another registrar)"
"Cloudflare API Token 不能为空","Cloudflare API Token cannot be empty"
网络请求失败：%{1},"Network request failed: %{1}"
"API 响应格式错误","API response format error"
"FQDN 与 Zone 根域不匹配","FQDN does not match Zone root domain"
"该供应商适配器未开放 DNS 记录 API，不能作为域名的 DNS/CDN 管理账户使用","This vendor adapter does not expose a DNS record API and cannot be used as a DNS/CDN management account for domain names."
"Current registrar does not support creating zones via API.","Current registrar does not support creating zones via API."
"GName 域名注册商，支持域名注册、续费、转入、DNS 管理和 DNSSEC 配置。","GName domain name registrar supports domain name registration, renewal, transfer, DNS management and DNSSEC configuration."
"APP ID","APP ID"
"GName 平台分配的 APP ID","GName APP ID assigned by the platform"
"APP Key","APP Key"
"API 域名","API domain name"
"默认联系人模板 ID","Default Contact Template ID"
注册域名时使用的联系人模板（可选）,"Contact template used when registering the domain (optional)"
"GName API 配置获取指南","GName API Configuration Obtain Guide"
"【资质】须为 GName 经销商并完成 API 服务协议签署，否则无法调用注册接口（api/domain/reg）。","[Qualification] Must be a GName reseller and complete the signing of the API service agreement, otherwise the registration interface (api/domain/reg) cannot be called."
【账户余额】注册会从经销商账户扣款，请保证余额充足。,"[Account Balance] Registration will deduct money from the dealer's account, please ensure that the balance is sufficient."
"【联系人模板】建议在凭据「默认模板 ID」或购买弹窗中填写 template_id（mbid），对应控制台已审核的联系人模板；否则可能注册失败。","[Contact Template] It is recommended to fill in the template_id (mbid) in the credentials ""Default Template ID"" or the purchase pop-up window, corresponding to the contact template that has been reviewed by the console; otherwise, the registration may fail."
【溢价域名】若返回溢价价，需在本系统填写确认金额后再提交。,"[Premium Domain Name] If you return a premium price, you need to fill in the confirmation amount in this system before submitting."
"【开通 API】注册账号 → 升级经销商 → 签署 API 协议（商务 business@gname.com / 工单 / +65-65189986）","[Open API] Register account → Upgrade dealer → Sign API agreement (business business@gname.com / Work order / +65-65189986)"
"【凭证】控制中心 → API 管理 → 复制 APP ID、APP Key 填入上方","[Certificate] Control Center → API Management → Copy the APP ID and APP Key and fill them in above"
【接口地址】api.gname.com，勿填错。,"[Interface address] api.gname.com, do not fill in the wrong form."
"GName API 连接失败：%{1}（错误码：%{2}，请求ID：%{3}，AppID：%{4}，API地址：%{5}）","GName API connection failed: %{1} (error code: %{2}, request ID: %{3}, AppID: %{4}, API address: %{5})"
"GName API 连接失败：%{1}","GName API connection failed: %{1}"
"检测到 DNS 记录，域名大概率已注册","DNS records detected, domain is likely already registered."
"未检测到 DNS 记录，域名可能可注册（以下单结果为准）","No DNS record detected, domain may be available for registration (subject to order result)"
域名注册提交成功,"Domain registration submitted successfully"
溢价域名，需确认金额后再提交,"Premium domain, please confirm the amount before submitting"
域名注册失败：%{1}（错误码：%{2}）,"Domain registration failed: %{1} (error code: %{2})"
"API 请求失败","API request failed"
获取域名列表失败：%{1}（错误码：%{2}）,"Failed to retrieve domain list: %{1} (error code: %{2})"
获取域名详情失败：%{1}（错误码：%{2}）,"Failed to get domain details: %{1} (Error code: %{2})"
"[GName] modifyDns 请求：domain=%{1}, dns=%{2}","[GName] modifyDns request: domain=%{1}, dns=%{2}"
"[GName] dns 响应：code=%{1}, msg=%{2}","[GName] dns response: code=%{1}, msg=%{2}"
"[GName] NS 切换成功：%{1} → %{2}","[GName] NS switch successful: %{1} → %{2}"
"DNS 修改成功","DNS modification successful"
"[GName] NS 切换失败：%{1}, code=%{2}, msg=%{3}","[GName] NS switch failed: %{1}, code=%{2}, msg=%{3}"
"DNS 修改失败：%{1}（错误码：%{2}）","DNS modification failed: %{1} (Error code: %{2})"
获取联系人模板列表失败：%{1}（错误码：%{2}）,"Failed to fetch contact template list: %{1} (Error code: %{2})"
"获取 TLD 价格列表失败：%{1}（错误码：%{2}）","Failed to get TLD price list: %{1} (error code: %{2})"
获取账户余额失败：%{1}（错误码：%{2}）,"Failed to fetch account balance: %{1} (Error code: %{2})"
"GName APP ID 不能为空","GName APP ID cannot be empty"
"GName APP Key 不能为空","GName APP Key cannot be empty"
安全限制：禁止使用注册接口执行可用性检查，以避免误购买,"Security restriction: Do not use the registration interface for availability checks to avoid accidental purchases"
"Gname 凭据不完整：请配置 appid 与 appkey","Gname credentials are incomplete: please configure appid and appkey"
"GName API 请求失败：%{1}","GName API request failed: %{1}"
网络错误,"Network error"
"HTTP 状态: %{1} | 请求 URL: %{2} | 响应内容摘要: %{3}","HTTP status: %{1} | Request URL: %{2} | Response content summary: %{3}"
空响应,"Empty response"
"GName API 响应解析失败：%{1}","GName API response parsing failed: %{1}"
域名已在当前账号下,"Domain already under the current account"
域名已在当前账号下，已按成功处理：%{message},"Domain already under the current account, processed as successful: %{message}"
"GName 购买结果二次确认失败：%{domain}，错误：%{error}","GName Purchase result secondary confirmation failed: %{domain}, error: %{error}"
"获取 DNS 记录失败：%{1}（错误码：%{2}）","Failed to get DNS records: %{1} (error code: %{2})"
"（域名 DNS 可能已切换到其他服务商，请到对应服务商处添加解析）","(Domain DNS may have been switched to another service provider, please add the resolution at the corresponding service provider)"
（域名可能不存在或已过期）,"(Domain may not exist or may have expired)"
"（域名 DNS 可能已切换到其他服务商）","(Domain DNS may have been switched to another service provider)"
"（无权操作此域名 DNS，可能已切换到其他服务商）","(No permission to operate this domain's DNS, it may have been switched to another service provider)"
"DNS 记录添加失败：%{1}（错误码：%{2}）","DNS record addition failed: %{1} (Error code: %{2})"
"DNS 记录更新失败：%{1}（错误码：%{2}）","DNS Record update failed: %{1} (Error code: %{2})"
"DNS 记录删除失败：%{1}（错误码：%{2}）","DNS record deletion failed: %{1} (error code: %{2})"
"[GName] updateNameservers：domain=%{1}, ns=%{2}","[GName] updateNameservers：domain=%{1}, ns=%{2}"
"GName 默认 DNS 服务器（来自 api/dns/list 或 api/dns/info）","GName Default DNS server (from api/dns/list or api/dns/info)"
"GName 本站高防 DNS（回退，与官方控制台一致）","GName This website’s high-defense DNS (fallback, consistent with the official console)"
"[GName] fetchDefaultNameserversFromDnsList 失败（使用回退 NS）：%{1}","[GName] fetchDefaultNameserversFromDnsList failed (using fallback NS): %{1}"
"[GName] fetchDnsInfoById(id=%{1}) 失败：%{2}","[GName] fetchDnsInfoById(id=%{1}) failed: %{2}"
"GoDaddy 域名注册商，全球最大的域名注册商之一，支持域名注册、续费、转入、DNS 管理和域名交易。","GoDaddy domain registrar, one of the world's largest domain registrars, supporting domain registration, renewal, transfer, DNS management and domain trading."
"API Key","API Key"
"GoDaddy 平台分配的 API Key","API Key assigned by GoDaddy platform"
"API Secret","API Secret"
使用测试环境,"Use Test Environment"
否（生产环境）,"No (Production)"
"是（测试环境 OTE）","Yes (Test Environment OTE)"
"Shopper ID","Shopper ID"
"可选：GoDaddy 账户 ID（用于子账户操作）","Optional: GoDaddy account ID (for sub-account operations)"
"GoDaddy API 配置获取指南","GoDaddy API Configuration Guide"
"【环境】必须使用 Production（生产环境）API Key 才能真实查价与购买；OTE 仅测试，无法完成真实扣款。","[Environment] You must use the Production (production environment) API Key to truly check the price and purchase; OTE is only for testing and cannot complete real deductions."
"【账户】生产密钥关联的 GoDaddy 账户须完成身份验证，并已绑定有效付款方式（信用卡/PayPal 等）。","[Account] The GoDaddy account associated with the production key must complete identity verification and be bound to a valid payment method (credit card/PayPal, etc.)."
"【权限】API Key 即代表该账户调用域名 API；需具备域名购买权限（一般主账户密钥即可；子账户需在 GoDaddy 中为该用户开通域名/商店相关权限）。","[Permissions] The API Key means that the account calls the domain name API; it needs to have domain name purchase permissions (generally the main account key is enough; the sub-account needs to open domain name/store related permissions for the user in GoDaddy)."
"【联系人】批量购买时须在本系统填写注册人信息（姓名、邮箱、电话、地址等），与 GoDaddy 控制台要求一致。","[Contact Person] When purchasing in bulk, the registrant information (name, email, phone number, address, etc.) must be filled in in this system, which is consistent with the requirements of the GoDaddy console."
"【限额】Production 约 60 次/分钟，批量购买时请控制并发。","[Limit] Production is about 60 times/minute. Please control concurrency when purchasing in bulk."
"【获取 API Key 和 Secret】","【Get API Key and Secret】"
"1. 登录 GoDaddy：https://www.godaddy.com/","1. Log in to GoDaddy: https://www.godaddy.com/"
"2. 打开 https://developer.godaddy.com/keys → Create New API Key","2. Open https://developer.godaddy.com/keys → Create New API Key"
"3. 选择 Production，复制 Key 与 Secret 填入上方字段","3. Select Production, copy Key and Secret and fill in the fields above"
"【注意】Secret 仅显示一次；OTE 不能真实购买。","[Note] Secret is only displayed once; OTE cannot be purchased for real."
"GoDaddy API 连接失败：%{1}","GoDaddy API connection failed: %{1}"
域名可注册,"Domain is available"
域名已被注册,"Domain is already registered"
溢价域名，需查询具体价格,"Premium domain, check for specific price"
"请填写完整注册联系人（名、姓、邮箱、电话 E.164、地址、城市、州/省、邮编、国家代码）。","Fill in the complete registrant contact (first name, last name, email, phone E.164, address, city, state/province, postal code, country code)."
域名购买成功，订单ID：%{1},"Domain purchased successfully, Order ID: %{1}"
域名购买需要确认，请检查订单状态,"Domain purchase requires confirmation, please check order status"
域名购买失败：%{1},"Domain purchase failed: %{1}"
"域名未在 GoDaddy 账户中找到","Domain not found in GoDaddy account"
"DNS 记录添加失败：%{1}","DNS record addition failed: %{1}"
"DNS 记录更新失败：%{1}","DNS record update failed: %{1}"
"找不到指定的 DNS 记录","Specified DNS record not found"
"DNS 记录删除失败：%{1}","DNS record deletion failed: %{1}"
"Nameservers 修改成功","Nameservers updated successfully"
"Nameservers 修改失败：%{1}","Nameservers update failed: %{1}"
"GoDaddy 默认 DNS 服务器","GoDaddy default DNS servers"
"GoDaddy API Key 不能为空","GoDaddy API Key cannot be empty"
"GoDaddy API Secret 不能为空","GoDaddy API Secret cannot be empty"
服务器返回空响应,"Server returned empty response"
（试运行模式，不会实际删除）,"(Trial run mode, no actual deletion will occur)"
未发现非法域名记录,"No illegal domain records found"
"发现 %{1} 条非法域名记录：","Found %{1} illegal domain name records:"
