前台账户订阅分区,"Frontend account subscription section"
"Scheduler lease 被占用：%{1}","Scheduler lease held by: %{1}"
"Subscription scheduler mode off：禁止新 tick，既有义务可 recover","Subscription scheduler mode off: new ticks blocked; recover still allowed"
"Subscription Provider 已存在：%{1}","Subscription Provider already exists: %{1}"
"Subscription Provider 不存在：%{1}","Subscription Provider not found: %{1}"
"Subscription Provider 已禁用：%{1}","Subscription Provider is disabled: %{1}"
订阅已取消：%{1},"Subscription already cancelled: %{1}"
"Subscription capability mode off，禁止写路径","Subscription capability is mode off; mutations blocked"
客户无权操作该订阅,"Customer is not the subscription owner"
"Subscription Payment command 非法","Subscription Payment command is invalid"
"TASK-P4B-002 只允许 sandbox Payment","TASK-P4B-002 permits sandbox Payment only"
"Subscription Payment query identity 非法","Subscription Payment query identity is invalid"
"Subscription Store Scope 非法","Subscription Store Scope is invalid"
"Store 不允许创建新 Subscription 续费义务","Store does not allow a new Subscription renewal obligation"
"Period 缺少 subscription_id/period_key/period_index","Period requires subscription_id/period_key/period_index"
"SubscriptionPeriod identity 过长","SubscriptionPeriod identity is too long"
"Period 不存在：%{1}","Period not found: %{1}"
"SubscriptionPeriod Order reference 非法","SubscriptionPeriod Order reference is invalid"
"Period 已绑定不同 Order：%{1}","Period already bound to a different Order: %{1}"
"SubscriptionPeriod missed reason 非法","SubscriptionPeriod missed reason is invalid"
"已出账 Period 不能标记 missed：%{1}","Billed period cannot be marked missed: %{1}"
"SubscriptionPeriod 并发更新冲突","SubscriptionPeriod concurrent update conflict"
"SubscriptionPeriod identity 已占用：%{1}","SubscriptionPeriod identity is already taken: %{1}"
"Subscription Order 创建失败（测试注入）","Subscription Order create failed (test injection)"
"Subscription 创建缺少必填字段","Subscription create is missing required fields"
"Subscription 创建字段过长","Subscription create field is too long"
"Subscription ID 过长","Subscription ID is too long"
"Subscription 不存在：%{1}","Subscription not found: %{1}"
"Subscription current_period_index 非法","Subscription current_period_index is invalid"
"Subscription idempotency 冲突：%{1}","Subscription idempotency conflict: %{1}"
"Subscription 已存在：%{1}","Subscription already exists: %{1}"
同一客户/站点/计划订阅已存在,"Subscription already exists for customer/website/plan"
"Subscription 版本冲突：expected=%{1} actual=%{2}","Subscription version conflict: expected=%{1} actual=%{2}"
"Subscription Order command 非法","Subscription Order command is invalid"
"Subscription Period 必须创建且只创建一个 Order","Subscription Period must create exactly one Order"
"Subscription scheduler lease identity 非法","Subscription scheduler lease identity is invalid"
"MIG-P4B：Subscription 周期水位与 scheduler allowlist（仅登记的 full clone）","MIG-P4B: Subscription period watermarks and scheduler allowlist (registered full clone only)"
打印帮助,"Print help"
"在 full clone 只读清点 Subscription/Period/Attempt/Watermark/Lease","Read-only inventory of Subscription/Period/Attempt/Watermark/Lease facts on a full clone"
"写前 checkpoint，只补 gap Period/watermark 并保持 shadow","Checkpoint before writes, backfill gap Period/watermark only, and remain in shadow"
"新进程重载 checkpoint，重算事实 hash、周期连续性与水位","Reload the checkpoint in a fresh process and recompute fact hashes, period continuity, and watermarks"
"fresh verify 后仅放量 checkpoint 冻结的 Website scheduler","Allowlist only the checkpoint-frozen Website scheduler after fresh verification"
"按 checkpoint mode off，保留既有 Period/Order/Payment 义务","Switch to mode off by checkpoint while retaining existing Period/Order/Payment obligations"
"migration registry 已登记的 full mig_clone_*","A full mig_clone_* registered in the migration registry"
"apply 输出的 checkpoint ID（verify/allowlist/rollback 必需）","Checkpoint ID returned by apply (required for verify/allowlist/rollback)"
"目标 Website ID；0 是合法系统默认站点","Target Website ID; 0 is the valid system default Website"
显示本帮助,"Show this help"
"MIG lease 探针失败","MIG lease probe failed"
"MIG-P4B：Subscription shadow 到 allowlist（apply 必须 --database=mig_clone_*）","MIG-P4B: move Subscription from shadow to allowlist (apply requires --database=mig_clone_*)"
已取消订阅不可调度：%{1},"Cancelled subscription cannot be scheduled: %{1}"
"Period key 已占用：%{1}","Period key already taken: %{1}"
