订单创建后,"After order creation"
"订单详情「批发订单沟通」空槽内的默认扩展点；由 B2B 部件注入商家侧协商消息，禁止 Order 直出聊天 UI。","订单详情「批发订单沟通」空槽内的默认扩展点；由 B2B 部件注入商家侧协商消息，禁止 Order 直出聊天 UI。"
订单列表筛选器,"Order List Filters"
在订单列表页面的筛选器区域注入内容，允许其他模块添加自定义筛选条件。,"Inject content in the filter area of the order list page, allowing other modules to add custom filter conditions."
订单列表发货槽,订单列表发货槽
"订单列表页发货工作台空槽；由配送模块默认注入发货入口与待发货摘要，禁止 Order 硬编码配送运营 UI。","订单列表页发货工作台空槽；由配送模块默认注入发货入口与待发货摘要，禁止 Order 硬编码配送运营 UI。"
前端订单创建前,"Before Frontend Order Creation"
在前端订单创建之前注入内容，允许其他模块在订单创建前执行自定义逻辑。,"Inject content before frontend order creation, allowing other modules to execute custom logic before order creation."
前端订单创建后,"After Frontend Order Creation"
在前端订单创建之后注入内容，允许其他模块在订单创建后执行自定义逻辑。,"Inject content after frontend order creation, allowing other modules to execute custom logic after order creation."
订单管理模块安装完成,"Order Management Module Installed"
"已创建以下数据表: weline_checkout_group, weline_order, weline_order_item, weline_fulfillment_unit, weline_display_number_registry, weline_order_payment, weline_order_shipment, weline_order_refund, weline_order_invoice, weline_order_history, weline_order_status, weline_order_status_translation","The following data tables have been created: weline_checkout_group, weline_order, weline_order_item, weline_fulfillment_unit, weline_display_number_registry, weline_order_payment, weline_order_shipment, weline_order_refund, weline_order_invoice, weline_order_history, weline_order_status, weline_order_status_translation"
"安装失败: %{1}","Installation failed: %{1}"
订单留言槽默认部件迁移失败（%{1}）：%{2},订单留言槽默认部件迁移失败（%{1}）：%{2}
您的订单已发货,您的订单已发货
开发物流中继未启用,开发物流中继未启用
【演示】开发中继探针,【演示】开发中继探针
【演示】中继探针节点,【演示】中继探针节点
发货操作失败，请稍后重试。,"The shipping operation failed, please try again later."
物流单号已更新，并已尝试通知客户,物流单号已更新，并已尝试通知客户
物流单号已更新,物流单号已更新
更新物流单号失败,更新物流单号失败
已交由物流商履约（发货通道已锁定）,已交由物流商履约（发货通道已锁定）
已改回商家自履约,已改回商家自履约
切换履约通道失败,切换履约通道失败
发货命令已幂等重放,发货命令已幂等重放
发货已提交；已按勾选尝试发送「已发货」邮件给客户,发货已提交；已按勾选尝试发送「已发货」邮件给客户
发货已提交（无运单号，未发送发货邮件；可稍后补充）,发货已提交（无运单号，未发送发货邮件；可稍后补充）
发货已提交（无客户邮箱，未发信）,发货已提交（无客户邮箱，未发信）
发货已提交（未勾选或未能发送通知邮件）,发货已提交（未勾选或未能发送通知邮件）
发货已提交（未勾选通知客户，未发邮件）,发货已提交（未勾选通知客户，未发邮件）
请填写物流单号,请填写物流单号
"物流单号过长，请控制在 100 字以内","物流单号过长，请控制在 100 字以内"
请选择有效的承运商,请选择有效的承运商
订单已交由物流商履约，请使用打单发货,订单已交由物流商履约，请使用打单发货
打单需要包裹重量（克），或先维护商品重量,打单需要包裹重量（克），或先维护商品重量
收货地址不完整，无法打单,收货地址不完整，无法打单
缺少发货明细，无法打单,缺少发货明细，无法打单
没有可用的物流商打单服务,没有可用的物流商打单服务
履约失败且取消运单未确认，已进入补偿队列,履约失败且取消运单未确认，已进入补偿队列
物流商打单失败，请稍后重试或改用手工登记,物流商打单失败，请稍后重试或改用手工登记
发货记录不存在,"Shipment record does not exist"
订单发货控制器,"Order Shipping Controller"
truck,truck
订单仓维履约管理,"Order warehouse maintenance and fulfillment management"
查看订单发货,"View order shipment"
list,list
查看可履约单元和进度,"View fulfillable units and progress"
提交发货,"Submit shipment"
"按仓维 CAS 提交部分或全部发货","Submit partial or complete shipments according to warehouse CAS"
补充物流单号,补充物流单号
后补运单号,后补运单号
切换履约通道,切换履约通道
商家自履约或物流商履约,商家自履约或物流商履约
退款操作失败，请稍后重试。,"The refund operation failed, please try again later."
订单退款控制器,"Order Refund Controller"
cash,cash
订单并发安全退款管理,"Order concurrent safe refund management"
查看订单退款,"View order refunds"
查看可退款订单项和退款案例,"View refundable line items and refund cases"
提交退款,"Submit a refund"
"锁内占用可退金额和数量并生成退款 outbox","The refundable amount and quantity are occupied in the lock and a refund is generated outbox"
万能结账,万能结账
快捷支付,快捷支付
快捷购买,快捷购买
找朋友代付,找朋友代付
未标记,未标记
客户调整已保存,客户调整已保存
订单创建成功,"Order created successfully"
备注已添加,备注已添加
订单取消成功,"Order cancelled successfully"
参数错误,"Invalid parameters"
订单状态更新成功,"Order status updated successfully"
订单管理,"Order Management"
cart,cart
查看订单列表,"View order list"
查看订单详情,"View order details"
eye,eye
编辑订单,"Edit Order"
edit,edit
保存订单,"Save order"
save,save
更新订单状态,"Update order status"
refresh,refresh
取消订单,"Cancel order"
close,close
订单收款记录,"Order collection record"
"支付 ID","Payment ID"
支付方式,"Payment Method"
金额,Amount
交易号,"Transaction number"
创建时间,"Created At"
订单异常与补偿,"Order exceptions and compensation"
"记录 ID","Record ID"
补偿编号,"Compensation number"
退款案例,"Refund case"
操作,Actions
错误码,"error code"
尝试次数,"number of attempts"
订单业务记录,"Order business records"
订单关联业务记录,"Order related business records"
warning,warning
查看订单退款补偿异常,"View order refund compensation exceptions"
支付处理成功,"Payment processed successfully"
退款成功,"Refund successful"
处理支付,"Process payments"
circle,circle
退款支付,"Refund payment"
开票操作失败，请稍后重试。,"The invoicing operation failed, please try again later."
订单发票控制器,"Order Invoice Controller"
file,file
"支付 effect 驱动的订单发票管理","Payment effect-driven order invoice management"
查看订单发票,"View order invoice"
"查看支付 effect 和最小发票","View payment effects and minimum invoices"
"处理开票 effect","Processing the invoicing effect"
plus,plus
"在 Payment outbox 事务内幂等生成最小发票","Generate minimum invoice idempotently within Payment outbox transaction"
状态不存在,"Status does not exist"
状态代码和名称不能为空,"Status code and name cannot be empty"
状态代码已存在,"Status code already exists"
状态保存成功,"Status saved successfully"
缺少状态ID,"Status ID is required"
系统状态不能删除,"System status cannot be deleted"
该状态正在被使用，不能删除,"This status is in use and cannot be deleted"
状态删除成功,"Status deleted successfully"
状态状态已更新,"Status updated successfully"
订单状态控制器,"Order status controller"
订单状态管理,"Order Status Management"
查看订单状态,"Check order status"
查看订单状态列表,"View order status list"
编辑订单状态,"Edit order status"
保存订单状态,"Save order status"
删除订单状态,"Delete order status"
trash,trash
切换订单状态,"Switch order status"
switch,switch
切换订单状态启用状态,"Toggle order status enabled"
获取订单列表成功,"Successfully fetched order list"
订单ID不能为空,"Order ID cannot be empty"
获取订单详情成功,"Order details retrieved successfully"
订单数据不能为空,"Order data cannot be empty"
更新数据不能为空,"Update data cannot be empty"
订单更新成功,"Order updated successfully"
发货记录创建成功,"Shipment record created successfully"
退款申请创建成功,"Refund request created successfully"
发票生成成功,"Invoice generated successfully"
待处理,Pending
处理中,Processing
已完成,Completed
已取消,Cancelled
已退款,Refunded
待支付,"Pending Payment"
部分支付,"Partial Payment"
待发货,"Pending Shipment"
部分发货,"Partial Shipment"
"Order asset snapshot 必填字段为空：%{1}","Order asset snapshot required fields are empty: %{1}"
"Order asset snapshot 数值/hash 非法","Order asset snapshot value/hash is illegal"
订单留言,"Order note"
如有特殊要求请留言,"Leave a message if you have special requirements"
我的订单,"My Orders"
查看订单进度与支付状态,"View order progress and payment status"
已关闭,Closed
未知状态,"unknown status"
默认按结账组汇总；部分退款或状态分叉时展开明细,"Orders are grouped by checkout by default; details expand for partial refunds or split statuses"
订单详情,"Order Details"
订单商品,"Order items"
商品,Products
SKU,SKU
数量,Quantity
单价,Price
小计,Subtotal
收货信息,"Receiving information"
帮我付订单在店面不展示收货地址。如需更正，请撤销后重新发起。,帮我付订单在店面不展示收货地址。如需更正，请撤销后重新发起。
物流方式,物流方式
物流追踪,"Logistics tracking"
商品小计,Subtotal
运费,"Shipping Amount"
税费,"Tax Amount"
订单总额,"Grand Total"
返回订单列表,"Return to order list"
暂无订单,"No orders yet"
查看详情,"View Details"
订单明细,"Order details"
退货,Return
与我的订单,"And My Orders"
查询失败,"Query failed"
物流单号,"Tracking Number"
当前,Current
结账配送（参考）,结账配送（参考）
未指定,未指定
"对齐 Shopify：可先登记发货，运单号可后补；无运单号时不会发送「已发货」邮件。","对齐 Shopify：可先登记发货，运单号可后补；无运单号时不会发送「已发货」邮件。"
物流商履约（已锁定打单通道）,物流商履约（已锁定打单通道）
改回商家自履约,改回商家自履约
商家自履约,商家自履约
交由物流商履约,交由物流商履约
本单暂无可发货履约单元（可能已全部发出，或尚未生成履约单元）。,本单暂无可发货履约单元（可能已全部发出，或尚未生成履约单元）。
待发货包裹,待发货包裹
发货仓,发货仓
平台履约（未绑仓库）,平台履约（未绑仓库）
进度,进度
承运商,Carrier
其他（手填名称）,其他（手填名称）
其他承运商名称,其他承运商名称
选「其他」时填写,选「其他」时填写
可选，可后补,可选，可后补
留空则不发送发货邮件,留空则不发送发货邮件
本次数量,本次数量
有运单号时发送「已发货」邮件,有运单号时发送「已发货」邮件
确认发货,确认发货
通过物流商打单,通过物流商打单
打单服务,打单服务
重量（克）,重量（克）
缺商品重时必填,缺商品重时必填
打单成功后通知客户,打单成功后通知客户
确认打单并发货,确认打单并发货
订单发货记录,订单发货记录
履约进度账本,履约进度账本
履约单元,"fulfillment unit"
版本,Version
时间,Time
本单可退项；占额由服务端重算。,本单可退项；占额由服务端重算。
可退数量,可退数量
提交,提交
本单暂无可退款订单项,本单暂无可退款订单项
退款数量,"Refund quantity"
后台退款,"Backstage refund"
退款原因,"Reason for refund"
退款,Refund
案例,案例
渠道退款号,"Channel refund ID"
原因,原因
顾客视图,"customer view"
支付记录与批发沟通（插件槽位）。,支付记录与批发沟通（插件槽位）。
订单支付记录,订单支付记录
批发订单沟通,批发订单沟通
打开完整详情,打开完整详情
状态流转,"Status flow"
选择客户,选择客户
当前为访客结账，可改为注册客户,当前为访客结账，可改为注册客户
客户姓名（展示）,客户姓名（展示）
客户电话,"Customer Phone"
收货地址,收货地址
收货人,收货人
电话,电话
邮箱,邮箱
邮编,邮编
详细地址,详细地址
"门牌号 / 楼栋单元等","门牌号 / 楼栋单元等"
账单地址,账单地址
账单姓名,账单姓名
国家代码,国家代码
省/州,省/州
城市,城市
区县,区县
当前无账单地址快照；填写后可保存。避免与收货级联同页争用，空账单使用文本字段。,当前无账单地址快照；填写后可保存。避免与收货级联同页争用，空账单使用文本字段。
选择支付方式,选择支付方式
订单尚未记录支付方式时，摘要显示「未指定」并附带支付状态；可在此选择可用方式后保存。,订单尚未记录支付方式时，摘要显示「未指定」并附带支付状态；可在此选择可用方式后保存。
配送方式,"Shipping Method"
运输方式,运输方式
未指定配送方式,未指定配送方式
系统代码,系统代码
未加载到运输服务目录时，可直接填写代码；摘要优先展示可读名称。,未加载到运输服务目录时，可直接填写代码；摘要优先展示可读名称。
订单备注,"Order Notes"
订单项,"Order Items"
添加订单项,"Add Order Item"
返回列表,返回列表
保存客户调整,保存客户调整
订单列表,"Order List"
新建订单,"Create Order"
"搜索订单号、分组号 G-xxx、UUID、客户","搜索订单号、分组号 G-xxx、UUID、客户"
全部状态,"All Status"
全部支付状态,"All Payment Status"
全部发货状态,"All Fulfillment Status"
全部类型,"All types"
结账来源,结账来源
全部来源,全部来源
搜索,Search
重置,Reset
订单列表发货,订单列表发货
类型,Type
来源,来源
客户,Customer
订单状态,"Order Status"
支付状态,"Payment Status"
发货状态,"Fulfillment Status"
暂无数据,"No Data"
匿名,Anonymous
编辑,Edit
上一页,"Previous Page"
下一页,"Next Page"
系统,System
订单基本信息,"Order Information"
客户姓名,"Customer Name"
折扣,Discount
批发信用优惠,批发信用优惠
汇率快照,汇率快照
现金定金,现金定金
状态操作,"Status Actions"
更新状态,"Update Status"
暂无收货地址,暂无收货地址
暂无账单地址,暂无账单地址
配送服务,配送服务
备注与履约方式,备注与履约方式
点击复制服务码,点击复制服务码
（无备注）,（无备注）
已复制服务码,已复制服务码
复制失败，请手动选择,复制失败，请手动选择
结账快照,结账快照
价格快照,价格快照
行优惠,行优惠
行总计,"Row Total"
活动,活动
暂无订单项,"No Order Items"
成交,成交
原价,原价
原价未记录,原价未记录
活动价,活动价
无活动记录,无活动记录
订单历史,"Order History"
是否通知客户,"Customer Notified"
暂无历史记录,"No History Records"
是,Yes
否,No
管理订单,管理订单
订单摘要,订单摘要
结账组号,结账组号
商品行数,商品行数
商品数量累计,商品数量累计
商品行累计,商品行累计
优惠项目,优惠项目
无优惠项目,无优惠项目
累计校验：行累计与商品小计不一致，请核对快照,累计校验：行累计与商品小计不一致，请核对快照
状态调整,状态调整
状态备注,状态备注
通知客户,通知客户
订单办理,订单办理
加载中…,加载中…
加载失败，请重试,加载失败，请重试
发货,发货
支付与沟通,支付与沟通
客户调整,客户调整
切换到此页签时异步加载本单发货。,切换到此页签时异步加载本单发货。
切换到此页签时异步加载本单退款。,切换到此页签时异步加载本单退款。
切换到此页签时异步加载支付与沟通。,切换到此页签时异步加载支付与沟通。
结账快照不可改行,结账快照不可改行
点击展开编辑客户、地址与备注,点击展开编辑客户、地址与备注
更多,更多
"沟通备注 · 取消 · 历史","沟通备注 · 取消 · 历史"
追加沟通备注,追加沟通备注
写入订单历史，可选通知客户,写入订单历史，可选通知客户
添加备注,添加备注
取消原因,取消原因
确认取消,确认取消
"支付记录与沟通也可在上方「订单办理 → 支付与沟通」页签异步加载。","支付记录与沟通也可在上方「订单办理 → 支付与沟通」页签异步加载。"
商品名称,"Product Name"
删除,Delete
按状态筛选,"Filter by status"
筛选,filter
暂无记录,"No record yet"
新建状态,"Create Status"
状态代码,"Status Code"
状态名称,"Status Name"
颜色,Color
图标,Icon
是否系统,"Is system"
是否启用,Enable
排序,Sort
暂无状态,"No Status"
启用,Enabled
禁用,Disabled
状态已删除,"Status Deleted"
删除失败,"Deletion failed"
删除失败，请重试,"Deletion failed, please retry"
操作失败,"Operation failed"
操作失败，请重试,"Operation failed, please retry"
确定要删除状态,"Are you sure you want to delete the status"
吗？,?
确认删除,"Confirm deletion"
确定删除,"Confirm deletion"
取消,Cancel
编辑状态,"Edit Status"
"只能包含小写字母和下划线，如：pending, processing","Can only contain lowercase letters and underscores, e.g., pending, processing"
默认语言（中文）的状态名称,"Status Name of Default Language (Chinese)"
状态颜色,"Status Color"
状态图标,"Status Icon"
"Material Design Icons 类名，如：check","Material Design Icons class name, such as: check"
状态描述,"Status Description"
是否系统状态,"Is System Status"
多语言翻译,"Multilingual Translation"
"英文 (en_US)","English (en_US)"
英文状态名称,"English Status Name"
英文状态描述,"English Status Description"
状态名称会通过翻译系统自动翻译。如果在此处填写了翻译，将优先使用数据库中的翻译；否则使用翻译文件中的翻译。,"Status names are automatically translated through the translation system. If a translation is provided here, the database translation will be used first; otherwise, the translation from the translation file will be used."
保存,Save
返回,Back
保存成功,"Saved successfully"
保存失败,"Save Failed"
保存失败，请重试,"Save failed. Please try again"
订单发货管理,"Order delivery management"
"对齐 Shopify：可先登记发货，运单号可后补；无运单号时不会发送「已发货」邮件。结账配送仅作参考。","对齐 Shopify：可先登记发货，运单号可后补；无运单号时不会发送「已发货」邮件。结账配送仅作参考。"
待发货履约单元,"Fulfillment unit to be shipped"
暂无可发货履约单元,"There is currently no delivery fulfillment unit"
包裹,包裹
已发/总量,"Issued/total amount"
可选,可选
发货数量,"Shipment quantity"
仓维发货进度账本,"Warehouse delivery progress ledger"
订单,Order
幂等键,"idempotent keys"
暂无进度记录,"No progress record yet"
订单退款管理,"Order refund management"
"退款金额由服务端按冻结订单项重算；提交会在同一事务内占用可退数量与金额，并生成 PaymentRefund 和确定性 outbox。","The refund amount is recalculated by the server based on frozen order items; submission will occupy the refundable quantity and amount in the same transaction, and generate PaymentRefund and deterministic outbox."
可退款订单项,"Refundable line items"
可申请数量,"Available quantity"
暂无可退款订单项,"There are currently no refundable line items"
退款案例与占额状态,"Refund cases and balance status"
金额（minor）,"Amount (minor)"
暂无退款案例,"No refund cases yet"
订单发票管理,"Order invoice management"
"只处理 Payment 已生成的确定性 invoice effect；页面不能绕过支付事实手工创建发票。每张已支付订单最多生成一张最小发票。","Only handles the deterministic invoice effect for which Payment has been generated; the page cannot bypass the payment fact to manually create an invoice. A maximum of one minimum invoice will be generated for each paid order."
"开票 effect","Invoicing effect"
Outbox,Outbox
"Effect Key","Effect Key"
"暂无开票 effect","No invoicing effect yet"
验证幂等结果,"Verify idempotent results"
处理开票,"Process invoicing"
已生成发票,"Invoice generated"
发票号,"Invoice number"
税额（minor）,"Tax amount (minor)"
暂无发票,"No invoice yet"
"订单退款 Outbox 消费","Order Refund Outbox Purchase"
幂等处理退款渠道提交、状态对账及到账后的库存和通知任务,"Idempotent processing of refund channel submission, status reconciliation, and post-account inventory and notification tasks"
订单支付后副作用消费,"Post-payment order effect consumer"
幂等生成最小发票并准备履约动作,"Idempotently create the minimal invoice and prepare fulfillment"
"Order Facade idempotency 冲突：key=%{1}","Order Facade idempotency conflict: key=%{1}"
"CheckoutGroup 提交失败并已回滚：%{1}","CheckoutGroup commit failed and rolled back: %{1}"
"order_uuid 不能为空","order_uuid cannot be empty"
"customer_id 须 > 0","customer_id 须 > 0"
"Order 不存在：%{1}","Order does not exist: %{1}"
订单已绑定其他账户,订单已绑定其他账户
"CheckoutGroup 不存在：%{1}","CheckoutGroup does not exist: %{1}"
"website_id/store_id 超出有效范围","website_id/store_id exceeds the valid range"
"idempotency_key 长度须为 1..128","idempotency_key length must be 1..128"
"request_hash 必须为小写 SHA-256","request_hash must be lowercase SHA-256"
"currency 必须为三位大写货币代码","currency must be a three-digit uppercase currency code"
"customer_id 须 >=0","customer_id must >=0"
"shipping_amount_minor 须 >=0","shipping_amount_minor must be >=0"
订单行不能为空,"Order line cannot be empty"
"订单行超过上限 %{1}","Order line exceeds limit %{1}"
"tax_amount_minor 须为非负整数","tax_amount_minor must be a non-negative integer"
"行 %{1} 缺少 name/qty_minor/unit_price_minor","Row %{1} is missing name/qty_minor/unit_price_minor"
"行 %{1} 名称、数量或单价非法","Row %{1} illegal name, quantity or unit price"
"行 %{1} SKU 非法","Row %{1} SKU is illegal"
"行 %{1} split_key 非法","Row %{1} split_key is illegal"
"行 %{1} provider_code 非法","行 %{1} provider_code 非法"
"行 %{1} global_offer_uuid 非法","行 %{1} global_offer_uuid 非法"
"行 %{1} fulfillment_metadata 必须为数组","行 %{1} fulfillment_metadata 必须为数组"
"行 %{1} fulfillment_metadata 非法","行 %{1} fulfillment_metadata 非法"
税额不能为负数,"Tax amount cannot be negative"
"Tax 快照总额与订单命令不一致","The Tax snapshot total does not match the order command"
"Tax 引擎快照的规则或 Scope 元数据无效","The Tax engine snapshot has invalid rule or Scope metadata"
"Tax 快照行标识或税额无效","The Tax snapshot line ID or amount is invalid"
"Tax 逐行税额与 Group 税额不守恒","Tax line amounts do not conserve the Checkout Group total"
"none Tax 快照必须为零税且不得包含引擎行","A none Tax snapshot must be zero and contain no engine lines"
"订单行与 Tax 快照行无法一一对应","Order lines and Tax snapshot lines do not match one-to-one"
"Tax 快照包含订单中不存在的行","The Tax snapshot contains a line not present in the order"
"Order Tax 分配与 Group 税额不守恒","Allocated Order Tax does not conserve the Checkout Group total"
订单金额乘法溢出,"Order amount multiplication overflow"
订单金额加法溢出,"Order amount addition overflows"
"Order Tax 快照与已分配税额不一致","The Order Tax snapshot does not match its allocated Tax amount"
"非零税额必须提供完整 Tax 快照","A non-zero Tax amount requires a complete Tax snapshot"
订单冻结快照不可修改,"Order frozen snapshot cannot be modified"
新订单拓扑的冻结字段不可修改,"The frozen fields of the new order topology cannot be modified."
订单已更新,"Order updated"
订单当前状态不允许取消,"Order cannot be cancelled in current status"
订单不存在,"Order does not exist"
备注不能为空,备注不能为空
%{1}不能为空,"%{1} cannot be empty"
订单项不能为空,"Order items cannot be empty"
商品名称不能为空,"Product name cannot be empty"
商品数量不能为空,"Product quantity cannot be empty"
商品价格不能为空,"Product price cannot be empty"
混合业务订单,"Mixed business orders"
订单兼容读取来源无效：%{1},"Invalid order compatibility read source: %{1}"
支付金额不能为空,"Payment amount cannot be empty"
支付方式不能为空,"Payment method cannot be empty"
支付金额不能超过订单总额,"Payment amount cannot exceed order total"
订单已支付,"Order paid"
支付记录不存在,"Payment record does not exist"
只有已支付的记录才能退款,"Only paid records can be refunded"
退款金额不能超过支付金额,"Refund amount cannot exceed payment amount"
只有已支付的订单才能发货,"Only paid orders can be shipped"
订单已发货,"Order shipped"
订单已完成,"Order completed"
"订单留言过长，请控制在 1000 字以内","Order note is too long. Please keep it within 1000 characters."
订单留言已保存，将在结账时带入,"Order note saved; it will be applied at checkout"
已清除订单留言,"Order note cleared"
"CheckoutGroup 不能无 Order","CheckoutGroup cannot be without Order"
