账户首页资产分区,"Account overview asset section"
可用余额,"available balance"
已预占,Reserved
当前可使用,"Currently available"
余额按资产最小单位展示,"The balance is displayed according to the smallest unit of assets"
最近变动,"recent changes"
暂无账本记录,"No ledger record yet"
储值余额,"Stored value balance"
积分,integral
WCoin,WCoin
增加,Increase
预占,Preemption
释放,release
扣减,deduction
返还,return
是,yes
否,no
只读诊断,"Read-only diagnostics"
可管理,Manageable
此页面复用真实资产账本事实和迁移一致性算法；生产迁移不在后台触发。,"This page reuses real asset ledger facts and migration consistency algorithms; production migration is not triggered in the background."
"写操作复用 CustomerAsset 的事务、幂等和追加账本服务；测试验收使用 sandbox 命名空间。","Write operations reuse CustomerAsset's transactions, idempotence, and append ledger services; test acceptance uses the sandbox namespace."
资产操作,"Asset operations"
"客户 ID","Customer ID"
网站,website
资产代码,"Asset code"
命名空间,namespace
金额（分）,"Amount (cents)"
"事件 ID","Event ID"
"预留 ID","Reserve ID"
"结算事件 ID","Billing event ID"
"已结算预留 ID","Billed reservation ID"
退回金额（分）,"Refund amount (cents)"
"退回事件 ID","Bounce event ID"
入账,account
预留,reserved
结算,Settlement
退回,return
当前没有记录。,"There are currently no records."
"CustomerAsset reservation 不存在：%{1}","CustomerAsset reservation does not exist: %{1}"
"CustomerAsset account 不存在","CustomerAsset account does not exist"
"CustomerAsset 可预占余额不足","CustomerAsset can reserve insufficient balance"
"CustomerAsset reservation 终态重放身份冲突","CustomerAsset reservation final state replay identity conflict"
"CustomerAsset reservation 终态缺少 ledger","CustomerAsset reservation final state is missing ledger"
"CustomerAsset reservation 状态不能执行该动作：%{1}","CustomerAsset reservation status cannot perform this action: %{1}"
"CustomerAsset reservation 与账户余额不守恒","CustomerAsset reservation and account balance are not conserved"
"CustomerAsset 仅已 commit reservation 可执行返还","CustomerAsset Only committed reservations can be returned"
"CustomerAsset 返还金额超过已 commit 金额","The CustomerAsset return amount exceeds the committed amount"
"CustomerAsset event 已被不同请求占用：%{1}","CustomerAsset event has been occupied by different requests: %{1}"
"CustomerAsset ledger 缺少账户","CustomerAsset ledger missing account"
"CustomerAsset reserve replay 缺少账户或 reservation","CustomerAsset reserve replay Missing account or reservation"
"CustomerAsset settlement replay 缺少账户或 reservation","CustomerAsset settlement replay missing account or reservation"
"CustomerAsset account 写后不可见","CustomerAsset account is invisible after writing"
"CustomerAsset 账户余额不守恒","CustomerAsset account balance is not conserved"
"CustomerAsset account CAS 冲突","CustomerAsset account CAS conflict"
"CustomerAsset reservation 写后不可见","CustomerAsset reservation is invisible after writing"
"CustomerAsset reservation CAS 冲突","CustomerAsset reservation CAS conflict"
"CustomerAsset event 已存在：%{1}","CustomerAsset event already exists: %{1}"
"CustomerAsset ledger 写后不可见","CustomerAsset ledger is invisible after writing"
"CustomerAsset amount_minor 必须大于 0","CustomerAsset amount_minor must be greater than 0"
"CustomerAsset event_id 非法","CustomerAsset event_id is illegal"
"CustomerAsset reservation_id 非法","CustomerAsset reservation_id is illegal"
"CustomerAsset mode off/shadow，禁止新资产 tender","CustomerAsset mode off/shadow, prohibiting new assets tender"
"CustomerAsset 持久化失败","CustomerAsset persistence failed"
"MIG-P4D CustomerAsset balance, reservation and ledger conservation on a registered PostgreSQL full clone","MIG-P4D CustomerAsset balance, reservation and ledger conservation on a registered PostgreSQL full clone"
打印帮助,"Print help"
"在 PostgreSQL full clone 只读重放 account/reservation/ledger","In PostgreSQL full clone read-only replay account/reservation/ledger"
"写前 checkpoint，验证守恒并保持 shadow","Checkpoint before writing, verify conservation and keep shadow"
"新进程重载 checkpoint，重算事实 hash 与守恒","The new process reloads checkpoint and recalculates fact hash and conservation."
"fresh verify 后仅放量 checkpoint 冻结的 Website tender","Only increase the amount of checkpoint frozen Website tender after fresh verify"
"按 checkpoint mode off，保留 ledger 与既有结算义务","Press checkpoint mode off to retain the ledger and existing settlement obligations."
"migration registry 已登记的 PostgreSQL full mig_clone_*","migration registry registered PostgreSQL full mig_clone_*"
"apply 输出的 checkpoint ID（verify/allowlist/rollback 必需）","Checkpoint ID output by apply (required for verify/allowlist/rollback)"
"目标 Website ID；0 是合法系统默认站点","Target Website ID; 0 is the legitimate system default site"
显示本帮助,"Show this help"
"网站 ID","Website ID"
查看余额、预占与返还状态,"View balances, reservations, and return status"
"MIG-P4D：CustomerAsset shadow 到 allowlist（apply 必须 --database=mig_clone_*）","MIG-P4D: Migrate CustomerAsset from shadow to allowlist (apply requires --database=mig_clone_*)"
