客服消息翻译,"Customer Service Message Translation"
邮箱格式不正确,"Invalid email format"
会话令牌不能为空,"Session token cannot be empty"
验证邮件已发送，请查收,"Verification email sent, please check"
发送验证邮件失败，请稍后重试,"Failed to send verification email, please try again later"
发送验证邮件失败：%{1},"Failed to send verification email: %{1}"
验证令牌不能为空,"Verification token cannot be empty"
验证令牌无效或已过期,"Verification token is invalid or expired"
邮箱绑定成功,"Email bound successfully"
邮箱绑定失败，请稍后重试,"Email binding failed, please try again later"
验证失败：%{1},"Verification failed: %{1}"
客服人员管理,"Customer Service Staff Management"
加载客服人员失败：%{1},"Failed to load service agents: %{1}"
客服名称不能为空,"Service agent name cannot be empty"
请选择后台用户,"Please select a backend user"
客服人员不存在,"Service agent does not exist"
保存成功,"Saved successfully"
保存失败：%{1},"Failed to save: %{1}"
无效的客服ID,"Invalid customer service ID"
"该客服仍有 %{1} 个未关闭会话，请先转让给其他客服或释放回等待池后再删除","This customer still has %{1} active sessions. Please transfer them to other customers or release them back to the waiting pool before deleting."
删除成功,"Deleted successfully"
"删除成功，已转让 %{1} 个会话给 %{2}","Deletion successful, %{1} sessions have been transferred to %{2}"
"删除成功，已将 %{1} 个会话释放回等待池","Deletion successful, %{1} sessions have been released back to the waiting pool"
删除失败：%{1},"Failed to delete: %{1}"
请选择源客服与目标客服,"Please select source and target agents"
没有可转让的未关闭会话,"No open sessions to transfer"
"已转让 %{1} 个会话给 %{2}","Transferred %{1} session(s) to %{2}"
转让失败：%{1},"Transfer failed: %{1}"
获取成功,"Successfully got"
获取统计数据失败：%{1},"Failed to fetch statistical data: %{1}"
客服人员,"customer service staff"
user,user
查看客服人员,"View customer service staff"
保存客服人员,"Save customer service personnel"
save,save
删除客服人员,"Delete customer service personnel"
trash,trash
转让客服会话,"Transfer agent session"
share,share
将会话转让给其他客服,"Transfer session to another agent"
查看客服统计,"View customer service statistics"
chart,chart
会话管理,"Session Management"
加载会话失败：%{1},"Failed to load sessions: %{1}"
会话不存在,"Session does not exist"
会话详情,"Session Details"
加载会话详情失败：%{1},"Failed to load session details: %{1}"
会话已关闭,"Session closed"
关闭会话失败：%{1},"Failed to close session: %{1}"
message,message
查看会话,"View session"
查看会话详情,"View session details"
eye,eye
关闭会话,"Close Session"
close,close
客服配置,"Service Configuration"
settings,settings
客服配置管理,"Customer service configuration management"
查看客服配置,"View customer service configuration"
您不是客服人员，无法使用工作台,"You are not a customer service agent and cannot use the workspace"
客服工作台,"Customer Service Console"
加载工作台失败：%{1},"Failed to load workspace: %{1}"
您不是客服人员,"You are not a customer service agent"
获取会话列表失败：%{1},"Failed to retrieve session list: %{1}"
无权访问此会话,"No permission to access this session"
发送成功,"Sent successfully"
会话已被分配,"Session Already Assigned"
已达到最大会话数限制,"Maximum session limit reached"
分配成功,"Assignment successful"
分配会话失败：%{1},"Failed to assign session: %{1}"
无权关闭此会话,"No permission to close this session"
获取客服状态失败：%{1},"Failed to get agent status: %{1}"
获取话术失败：%{1},"Fetch scripts failed: %{1}"
标题和内容不能为空,"Title and content required"
话术不存在,"Script not found"
保存话术失败：%{1},"Save script failed: %{1}"
无效的话术ID,"Invalid script ID"
删除话术失败：%{1},"Delete script failed: %{1}"
分类名不能为空,"Category name required"
分类已创建,"Category created"
保存分类失败：%{1},"Save category failed: %{1}"
该分类下还有话术，请先移出或删除,"Category still has scripts; move or delete them first"
分类已删除,"Category deleted"
删除分类失败：%{1},"Delete category failed: %{1}"
客服聊天工作台,"Customer Service Chat Workbench"
查看工作台,"View workbench"
查看客服工作台,"View the customer service workbench"
确认操作,"Confirm operation"
确定,Confirm
取消,Cancel
等待中,Waiting
暂无消息,"No messages"
接单,"Accept order"
当前没有等待中的会话,"No waiting sessions now"
当前没有转让进来的会话,"No transferred-in sessions"
你转出的会话只显示在接收方工作台的「转让分配」中。,"Sessions you transferred only appear in the receiver workspace under ""Transfer assignment""."
暂无进行中的会话,"No active sessions"
有等待中的会话时，点击「接单」开始接待。,"When sessions are waiting, click Accept to start serving."
"收到 %{1} 个会话的新消息","New messages from %{1} sessions"
新消息,"New message"
"会话 #%{1} 有 %{2} 条新消息","Session #%{1} has %{2} new messages"
"会话 #%{1} 有新消息","Session #%{1} has new messages"
转让会话,"Transfer session"
转让,Transfer
来自客服「__AGENT__」,"From agent ""__AGENT__"""
来自其他客服,"From another agent"
加载会话失败,"Load session failed"
加载会话失败，请稍后重试,"Load session failed, please retry later"
加载更早消息失败,"Load earlier messages failed"
加载更早消息失败，请稍后重试,"Load earlier messages failed, please retry later"
正在加载最新消息…,"Loading latest messages…"
在下方输入框发送第一条回复。,"Send the first reply in the box below."
输入消息...,"Type a message..."
发送,Send
正在加载更早消息…,"Loading earlier messages…"
上滑加载更早消息,"Swipe up to load earlier messages"
没有更早的消息了,"No earlier messages"
请选择一个会话开始聊天,"Select a conversation to start chatting"
从右侧「我的会话」点选，或先接单等待中的会话。,"Select from My Sessions on the right"
图片,Image
文件,File
聊天工具,"Chat tools"
表情,Emoji
话术库,"Script library"
话术,"Script copy"
未分类,Uncategorized
全部,All
新建分类,"New category"
没有匹配的话术,"No matching scripts"
暂无话术，点下方添加,"No scripts yet, add below"
删除,Delete
删,Delete
加载话术失败,"Load scripts failed"
加载话术…,"Loading scripts…"
搜索话术,"Search scripts"
搜索标题或内容…,"Search title or content…"
话术分类,"Script category"
添加话术,"Add script"
话术标题,"Script title"
话术内容,"Script content"
所属分类,Category
保存话术,"Save script"
新分类名称,"New category name"
保存分类失败,"Save category failed"
删除失败,"Deletion failed"
保存失败,"Failed to save"
请先选择会话,"Please select a session first"
正在上传…,Uploading…
上传失败,"Upload failed"
发送失败,"Failed to send"
上传失败，请稍后重试,"Upload failed, please try again later"
发送失败，请稍后重试,"Failed to send, please try again later"
确定要接单此会话吗？,"Are you sure you want to accept this session?"
确认接单,"Confirm order"
分配失败,"Assignment failed"
分配失败，请稍后重试,"Assignment failed, please try again later"
确定要关闭此会话吗？,"Are you sure you want to close this session?"
确认关闭,"Confirm close"
关闭,Close
关闭失败,"Close failed"
关闭失败，请稍后重试,"Close failed, please try again later."
刚刚,"Just now"
分钟前,"minutes ago"
小时前,"hours ago"
已关闭,Closed
进行中,Active
最快,Fastest
最慢,Slowest
最短,Shortest
分钟,minutes
最长,Longest
秒,seconds
打开验证链接,"Open verification link"
提示,Prompt
请注意,"Please note"
操作失败,"Operation failed"
知道了,"Got it"
人机验证凭证异常，请刷新页面后重试,"Captcha token error; refresh the page and try again"
请求参数过长，请刷新页面后重试,"Request parameters too long; refresh and try again"
上传参数异常，请刷新页面后重试,"Upload parameters invalid; refresh and try again"
点击修改邮箱身份,"Click to change email identity"
当前登录身份,"Current login identity"
邮箱已绑定：%{1}，可以继续聊天,"Email bound: %{1}. You can continue chatting."
邮箱已绑定，可以继续聊天,"Email bound. You can continue chatting."
绑定成功,"Binding successful"
今天,Today
昨天,Yesterday
请等待客服回复后再发送。验证邮箱后可跳过等待、连续发送消息。,"Wait for a customer service reply before sending. After verifying email, you can skip the wait and send consecutively."
等待客服回复…,"Waiting for customer service…"
客服服务,"Customer Service"
我的语言,"My Language"
显示模式,"Display Mode"
欢迎使用客服服务！,"Welcome to Customer Service!"
请输入您的问题，我们的客服将尽快为您解答。,"Please enter your question, and our customer service will answer you as soon as possible."
设置,Settings
收起,Minimize
仅显示译文,"Translation Only"
原文+译文,"Original + Translation"
仅显示原文,"Original Only"
截图,Screenshot
客服会话初始化失败，请稍后重试,"Customer Service Session Initialization Failed, Please Retry Later"
已取消截图,"Screenshot cancelled"
截图失败，请改用图片上传或粘贴,"Screenshot failed. Please upload or paste an image instead"
在页面上拖拽选择要截取的区域,"Drag on the page to select the area to capture"
重选,Reselect
完成,Done
已选中区域，可点击「完成」发送,"Area selected. Click Done to send"
请先拖拽选择截图区域,"Drag to select a screenshot area first"
生成中…,Generating…
正在生成截图…,"Generating screenshot…"
请在弹出窗口选择「这个标签页」以截取,"In the dialog, choose This Tab to capture"
生成失败，请重选区域或改用图片上传,"Failed to generate. Reselect an area or upload an image"
欢迎使用客服服务,"Welcome to customer service"
会员,Member
访客,Visitor
客服,Agent
图片加载失败,"Failed to load image"
客服新消息,"New customer service message"
您有一条新的客服回复,"You have a new customer service reply"
"AI 智能客服","AI Customer Service"
离线,Offline
网站正在维护，请稍后再试,"The site is under maintenance, please try again later"
请稍候,"Please wait"
请填写下方图码后发送验证邮件,"Fill in the code below, then send the verification email"
云端人机验证暂不可用，请填写下方本地图码后再次发送,"Cloud captcha unavailable; fill the local code below and send again"
云端人机验证暂不可用，已切换为本地图码，请填写后重试,"Cloud captcha unavailable; switched to local code—fill it and try again"
请填写本地图码,"Please fill in the local code"
人机验证尚未就绪，请稍后重试,"Captcha not ready, please try again later"
请输入有效的邮箱地址,"Please enter a valid email address"
会话未初始化，请刷新页面重试,"Session not initialized, please refresh the page and try again"
人机验证尚未就绪，正在刷新，请稍后重试,"Captcha not ready, refreshing—try again shortly"
验证邮件已发送，请查收您的邮箱,"Verification email sent, please check your email"
此页面用于独立聊天界面，实际聊天功能通过右下角悬浮按钮使用。,"This page is for standalone chat interface. The actual chat function is available through the floating button in the bottom right corner."
邮箱绑定验证,"Email binding verification"
验证成功,"Verification Successful"
您的邮箱,"Your Email"
已成功绑定到客服会话。,"has been successfully bound to the customer service session."
返回首页,"Return to Homepage"
验证失败,"Verification Failed"
邮箱已绑定,"Email bound"
正在同步到客服聊天窗口…,"Syncing to the customer service chat…"
已绑定邮箱,"Bound Email"
回到商城继续聊天,"Back to store to continue chatting"
关闭此页,"Close this page"
原页面客服窗口将自动显示已绑定邮箱；若未自动关闭，请关闭本页返回继续聊天。,"The original chat window will show your bound email. If this page does not close automatically"
返回上一页,"Go Back"
如有问题，请,"If you have any questions, please"
联系客服,"Contact Support"
已同步。可关闭此页，返回原页面继续聊天。,"Synced. You can close this page and continue chatting on the original tab."
配置写入当前作用范围；切换范围后页面会按新范围加载。语言留空则跟随网站默认语言。,"Config writes to current scope; after switching scope the page reloads for the new scope. Blank language follows site default."
在统一配置中心打开,"Open in unified config center"
作用范围,Scope
关联后台用户并配置语言与并发上限，便于工作台分配会话。,"Link an admin user and set language and concurrency limits for workspace session assignment."
添加客服,"Add Agent"
人员列表,"People list"
"共 %{1} 人","%{1} people total"
暂无客服人员,"No service agents"
添加第一位客服后，即可在工作台接待客户。,"After adding the first agent, serve customers in the workspace."
语言,Language
接待,Capacity
操作,Actions
用户,User
支持的语言,"Supported Languages"
激活,Activate
禁用,Disable
"最多 %{1} 会话","Max %{1} sessions"
查看统计,"View Statistics"
编辑,Edit
转让会话：将未关闭会话转给其他客服,"Transfer sessions to another agent"
关联后台用户,"Associate Backend User"
请选择用户,"Please select user"
客服名称,"Agent Name"
请输入客服名称,"Enter customer service name"
邮箱,Email
请输入邮箱地址,"Please enter the email address"
主要语言,"Primary Language"
客服的首选沟通语言,"Agent's preferred communication language"
客服可以接待的所有语言（勾选多个可接待全球客户）,"All languages the agent can serve (check multiple for global customers)"
最大并发会话数,"Max Concurrent Sessions"
激活状态,"Active Status"
保存,Save
转出客服,"Transfer-out agent"
会话将从该客服名下转出（以人员列表所点行的客服为准，不是当前登录的操作者）,"Session transfers out from that agent's name (the agent row clicked in people list, not the current operator)"
接收客服,"Receiving agent"
请选择客服,"Please select an agent"
未关闭的会话将转入所选客服；工作台「来自客服」标记为上方转出客服,"Open sessions move to the selected agent; workspace ""From agent"" marks the transfer-out agent above"
不转让，直接释放回等待池后删除,"Do not transfer; release to waiting pool then delete"
确认转让,"Confirm transfer"
后台接口未授权或会话失效，请刷新页面后重试,"Admin API unauthorized or session expired; please refresh and retry"
后台保存路由不可用，请刷新页面后重试；若仍失败请联系管理员检查客服模块路由,"Admin save route unavailable; refresh and retry; if it still fails, ask admin to check support module routes"
网络或工作会话暂不可用，请刷新页面后重试,"Network or work session unavailable; refresh and retry"
请求失败,"Request failed"
编辑客服,"Edit Agent"
未找到客服数据，请刷新页面后重试,"Agent data not found; refresh and retry"
确认,Confirm
当前会话,"Current session"
删除客服,"Delete agent"
确认删除,"Confirm deletion"
"即将删除客服「__AGENT__」，其名下有 __COUNT__ 个未关闭会话，请选择接收客服或释放回等待池。","About to delete agent ""__AGENT__"" with __COUNT__ open sessions; choose receiving agent or release to waiting pool."
确定删除客服「__AGENT__」？,"Confirm delete agent ""__AGENT__""?"
"将从客服「__AGENT__」转出 __COUNT__ 个未关闭会话，请选择接收客服。","Will transfer __COUNT__ open sessions out from agent ""__AGENT__""; please select receiving agent."
客服「__AGENT__」当前没有未关闭会话。,"Agent ""__AGENT__"" currently has no open sessions."
确定要删除此客服吗？,"Are you sure you want to delete this agent?"
删除确认,"Confirm deletion"
处理中…,Processing…
转让成功,"Transfer succeeded"
转让失败,"Transfer failed"
请选择目标客服，或勾选释放回等待池,"Select target agent, or check release back to waiting pool"
请选择目标客服,"Please select target agent"
获取统计数据失败,"Failed to get statistics"
客服统计详情,"Agent Statistics Details"
会话统计,"Session Statistics"
总会话数,"Total Sessions"
消息统计,"Message statistics"
总消息数,"Total Messages"
响应时间,"Response Time"
平均,Average
会话时长,"Session Duration"
接单等待中的会话，并在左侧聊天区回复客户。,"Accept waiting sessions and reply in the chat area on the left."
界面语言,"UI language"
工作量统计,"Workload Statistics"
统计时间范围,"Stats time range"
今日,Today
本周,"This Week"
本月,"This Month"
会话数,Sessions
消息数,Messages
客户,Customer
响应率,"Response Rate"
已响应,Responded
完结率,"Close Rate"
平均响应时间,"Avg Response Time"
平均会话时长（分钟）,"Avg Session Duration (min)"
平均消息,"Avg Messages"
聊天区域,"Chat area"
会话列表,"Session List"
刷新,Refresh
刷新会话列表,"Refresh session list"
我的会话,"My Sessions"
转让分配,"Transferred In"
等待分配,"Waiting for assignment"
全部状态,"All Status"
会话ID,"Session ID"
客户ID,"Customer ID"
客户语言,"Customer Language"
客服语言,"Agent Language"
状态,Status
创建时间,"Created At"
暂无会话,"No sessions"
查看,View
返回列表,"Return to List"
会话信息,"Session Information"
客服ID,"Agent ID"
聊天记录,"Chat History"
翻译：,Translation:
不能转让给同一客服,"Cannot transfer to the same agent"
源客服不存在,"Source agent not found"
目标客服不存在,"Target agent not found"
目标客服未激活,"Target agent inactive"
由客服「__AGENT__」转出,"Transferred out by agent ""__AGENT__"""
由其他客服转出,"Transferred from another agent"
上传数据无效,"Invalid upload data"
文件过大,"File too large"
不支持的图片类型,"Unsupported image type"
不支持的文件类型,"Unsupported file type"
无法创建上传目录,"Cannot create upload directory"
保存文件失败,"Failed to save file"
"邮件服务尚未配置。请先在后台 SMTP 设置中为 Weline_Smtp 或 Weline_CustomerService 添加发件人。","Mail service is not configured. Please add a sender for Weline_Smtp or Weline_CustomerService in the backend SMTP settings first."
已绑定邮箱身份：%{1}。如不正确可点击修改。,"Bound email identity: %{1}. Click to change if incorrect."
"已将会话邮箱从 %{1} 更换为 %{2}。","Session email changed from %{1} to %{2}."
开发模式：邮件服务不可用，未自动绑定。请点击下方链接完成绑定。,"Development mode: email service unavailable; binding was not automatic. Please click the link below to complete binding."
无效的附件消息,"Invalid attachment message"
图片：%{1},"Image: %{1}"
文件：%{1},"File: %{1}"
输入回复…,"Type a reply…"
会话,Session
检测中...,Checking...
修改邮箱身份,"Edit email identity"
验证邮箱,"Verify email"
接收客服回复与优惠通知,"Receive customer service replies and promotional notifications"
留下邮箱后，客服可将本次咨询的回复、报价进展和可用优惠发送到您的邮箱。,"After leaving your email, customer service can send the reply to this inquiry, quote progress, and available offers to your email."
仅用于本次客服咨询相关通知，不是简报订阅。,"Only used for notifications related to this customer service inquiry, not a newsletter subscription."
接收通知的邮箱,"Email for receiving notifications"
请输入用于接收客服通知的邮箱,"Please enter the email address for receiving customer service notifications"
稍后再说,"Maybe later"
发送验证邮件,"Send Verification Email"
"客服服务 - 邮箱绑定验证","Customer Service - Email Binding Verification"
绑定成功后，您将收到客服回复的邮件通知,"After successful binding, you will receive email notifications for customer service replies"
无法截取所选区域，请改用图片上传或粘贴截图,"Could not capture the selected area—upload or paste an image"
正在截取当前页面…,"Capturing the current page…"
无法截取当前页面，请改用图片上传或粘贴截图,"Could not capture this page—upload or paste an image"
拖拽选择要发送的区域,"Drag to select the area to send"
当前浏览器不支持屏幕截图，请改用图片上传或粘贴截图,"This browser does not support screen capture—upload or paste an image"
由「%{1}」转让而来,"Transferred from ""%{1}"""
由其他客服转让而来,"Transferred from another agent"
目标客服,"Target agent"
未关闭的会话将转给所选客服,"Open sessions will transfer to selected agent"
"即将删除客服「__AGENT__」，其名下有 __COUNT__ 个未关闭会话，请选择转让目标或释放回等待池。","About to delete agent ""__AGENT__"" with __COUNT__ open sessions; choose transfer target or release to waiting pool."
"客服「__AGENT__」有 __COUNT__ 个未关闭会话，请选择接收人。","Agent ""__AGENT__"" has __COUNT__ open sessions; please select a recipient."
ID,ID
关联用户,"Associated User"
最大会话数,"Max Sessions"
"即将删除客服「%{1}」，其名下有 %{2} 个未关闭会话，请选择转让目标或释放回等待池。","About to delete agent ""%{1}"" who has %{2} open sessions; choose transfer target or release to waiting pool."
确定删除客服「%{1}」？,"Confirm delete agent ""%{1}""?"
"客服「%{1}」有 %{2} 个未关闭会话，请选择接收人。","Agent ""%{1}"" has %{2} open sessions; please select a recipient."
客服「%{1}」当前没有未关闭会话。,"Agent ""%{1}"" has no open sessions."
"Captcha verification failed or expired. Please try again.","Captcha verification failed or expired. Please try again."
"Action missing: %{1}","Action missing: %{1}"
加载配置失败：%{1},"Failed to load configuration: %{1}"
保存客服配置,"Save customer service configuration"
启用客服服务,"Enable Customer Service"
启用,Enable
默认客服语言,"Default Agent Language"
简体中文,"Simplified Chinese"
English,English
默认客户语言,"Default Customer Language"
"当没有客服人员在线时，可启用 AI 自动回复客户消息。","When no service agents are online, AI can be enabled to automatically reply to customer messages."
"启用 AI 自动回复","Enable AI Auto-Reply"
"启用后，客户端将显示蓝色""AI 智能客服""状态而非灰色""离线""","When enabled, the client will display blue 'AI Customer Service' status instead of gray 'Offline'"
"AI 模型","AI Model"
"使用的 AI 模型标识，需在 Weline_Ai 模块中配置对应供应商","AI model identifier, configure the corresponding provider in the Weline_Ai module"
保存配置,"Save Configuration"
客服系统,"Customer Service System"
页脚联系客服链接,"Footer Contact Support Link"
"页脚帮助中心扩展槽：联系客服入口；点击打开悬浮客服聊天；默认注入 footer-help-links。","Footer help extras: contact support opens floating chat; default inject footer-help-links."
页脚帮助中心默认展示联系客服（打开悬浮聊天）,"Footer help center defaults to Contact Support (open floating chat)"
繁體中文,"Traditional Chinese"
客户服务,"Customer Service"
