客服消息翻译,カスタマーサービスメッセージ翻訳
正在加载最新消息…,正在加载最新消息…
在下方输入框发送第一条回复。,在下方输入框发送第一条回复。
输入消息...,メッセージを入力...
发送,送信
正在加载更早消息…,正在加载更早消息…
上滑加载更早消息,上滑加载更早消息
没有更早的消息了,没有更早的消息了
请选择一个会话开始聊天,チャットを開始するセッションを選択してください
从右侧「我的会话」点选，或先接单等待中的会话。,从右侧「我的会话」点选，或先接单等待中的会话。
图片,画像
文件,ファイル
聊天工具,チャットツール
表情,絵文字
话术库,话术库
话术,话术
未分类,未分类
全部,すべて
新建分类,新建分类
没有匹配的话术,没有匹配的话术
暂无话术，点下方添加,暂无话术，点下方添加
删除,削除
删,删
加载话术失败,加载话术失败
加载话术…,加载话术…
搜索话术,搜索话术
搜索标题或内容…,搜索标题或内容…
话术分类,话术分类
添加话术,添加话术
话术标题,话术标题
话术内容,话术内容
所属分类,所属分类
保存话术,保存话术
新分类名称,新分类名称
保存分类失败,保存分类失败
删除失败,削除に失敗しました
保存失败,保存に失敗しました
请先选择会话,请先选择会话
正在上传…,正在上传…
上传失败,上传失败
发送失败,送信に失敗しました
上传失败，请稍后重试,上传失败，请稍后重试
发送失败，请稍后重试,送信に失敗しました。しばらくしてから再試行してください
确定要接单此会话吗？,このセッションを受注してもよろしいですか？
确认接单,确认接单
分配失败,割り当てに失敗しました
分配失败，请稍后重试,割り当てに失敗しました。しばらくしてから再試行してください
确定要关闭此会话吗？,このセッションを閉じてもよろしいですか？
确认关闭,确认关闭
关闭,閉じる
关闭失败,閉鎖に失敗しました
关闭失败，请稍后重试,閉鎖に失敗しました。しばらくしてから再試行してください
刚刚,たった今
分钟前,分前
小时前,時間前
已关闭,閉じました
进行中,進行中
最快,最速
最慢,最遅
最短,最短
分钟,分
最长,最長
秒,秒
打开验证链接,"Open verification link"
提示,提示
请注意,请注意
操作失败,操作失败
知道了,知道了
人机验证凭证异常，请刷新页面后重试,人机验证凭证异常，请刷新页面后重试
请求参数过长，请刷新页面后重试,请求参数过长，请刷新页面后重试
上传参数异常，请刷新页面后重试,上传参数异常，请刷新页面后重试
点击修改邮箱身份,点击修改邮箱身份
当前登录身份,当前登录身份
邮箱已绑定：%{1}，可以继续聊天,"Email bound: %{1}. You can continue chatting."
邮箱已绑定，可以继续聊天,"Email bound. You can continue chatting."
绑定成功,"Binding successful"
今天,今天
昨天,昨天
请等待客服回复后再发送。验证邮箱后可跳过等待、连续发送消息。,请等待客服回复后再发送。验证邮箱后可跳过等待、连续发送消息。
等待客服回复…,等待客服回复…
客服服务,カスタマーサービス
我的语言,マイ言語
显示模式,表示モード
欢迎使用客服服务！,カスタマーサービスへようこそ！
请输入您的问题，我们的客服将尽快为您解答。,ご質問を入力してください。カスタマーサービスができるだけ早くお答えします。
设置,設定
收起,最小化
仅显示译文,翻訳のみ表示
原文+译文,原文+翻訳
仅显示原文,原文のみ表示
截图,スクリーンショット
客服会话初始化失败，请稍后重试,客服会话初始化失败，请稍后重试
已取消截图,已取消截图
截图失败，请改用图片上传或粘贴,截图失败，请改用图片上传或粘贴
在页面上拖拽选择要截取的区域,在页面上拖拽选择要截取的区域
重选,重选
完成,完成
已选中区域，可点击「完成」发送,已选中区域，可点击「完成」发送
请先拖拽选择截图区域,请先拖拽选择截图区域
生成中…,生成中…
正在生成截图…,正在生成截图…
请在弹出窗口选择「这个标签页」以截取,请在弹出窗口选择「这个标签页」以截取
生成失败，请重选区域或改用图片上传,生成失败，请重选区域或改用图片上传
欢迎使用客服服务,欢迎使用客服服务
会员,会员
访客,访客
客服,担当者
图片加载失败,"Failed to load image"
客服新消息,客服新消息
您有一条新的客服回复,您有一条新的客服回复
"AI 智能客服",AIカスタマーサービス
离线,离线
网站正在维护，请稍后再试,网站正在维护，请稍后再试
请稍候,请稍候
请填写下方图码后发送验证邮件,请填写下方图码后发送验证邮件
云端人机验证暂不可用，请填写下方本地图码后再次发送,云端人机验证暂不可用，请填写下方本地图码后再次发送
云端人机验证暂不可用，已切换为本地图码，请填写后重试,云端人机验证暂不可用，已切换为本地图码，请填写后重试
请填写本地图码,请填写本地图码
人机验证尚未就绪，请稍后重试,人机验证尚未就绪，请稍后重试
请输入有效的邮箱地址,有効なメールアドレスを入力してください
会话未初始化，请刷新页面重试,セッションが初期化されていません。ページを更新して再試行してください
人机验证尚未就绪，正在刷新，请稍后重试,人机验证尚未就绪，正在刷新，请稍后重试
验证邮件已发送，请查收您的邮箱,確認メールを送信しました。メールボックスをご確認ください
此页面用于独立聊天界面，实际聊天功能通过右下角悬浮按钮使用。,このページは独立したチャットインターフェース用です。実際のチャット機能は右下のフローティングボタンから利用できます。
邮箱绑定验证,メールアドレス紐付け確認
验证成功,確認成功
您的邮箱,あなたのメールアドレス
已成功绑定到客服会话。,カスタマーサービスセッションに正常に紐付けられました。
返回首页,ホームページに戻る
验证失败,確認に失敗しました
邮箱已绑定,"Email bound"
正在同步到客服聊天窗口…,"Syncing to the customer service chat…"
已绑定邮箱,紐付け済みメールアドレス
回到商城继续聊天,"Back to store to continue chatting"
关闭此页,"Close this page"
原页面客服窗口将自动显示已绑定邮箱；若未自动关闭，请关闭本页返回继续聊天。,"The original chat window will show your bound email. If this page does not close automatically"
返回上一页,前のページに戻る
如有问题，请,ご質問がある場合は、
联系客服,カスタマーサービスにお問い合わせください
已同步。可关闭此页，返回原页面继续聊天。,"Synced. You can close this page and continue chatting on the original tab."
配置写入当前作用范围；切换范围后页面会按新范围加载。语言留空则跟随网站默认语言。,配置写入当前作用范围；切换范围后页面会按新范围加载。语言留空则跟随网站默认语言。
在统一配置中心打开,在统一配置中心打开
作用范围,作用范围
关联后台用户并配置语言与并发上限，便于工作台分配会话。,关联后台用户并配置语言与并发上限，便于工作台分配会话。
添加客服,担当者を追加
人员列表,人员列表
"共 %{1} 人","共 %{1} 人"
暂无客服人员,サービス担当者がいません
添加第一位客服后，即可在工作台接待客户。,添加第一位客服后，即可在工作台接待客户。
语言,言語
接待,接待
操作,操作
用户,用户
支持的语言,サポート言語
激活,有効化
禁用,無効化
"最多 %{1} 会话","最多 %{1} 会话"
查看统计,統計を表示
编辑,編集
转让会话：将未关闭会话转给其他客服,转让会话：将未关闭会话转给其他客服
关联后台用户,バックエンドユーザーを関連付ける
请选择用户,ユーザーを選択してください
客服名称,担当者名
请输入客服名称,担当者名を入力してください
邮箱,メール
请输入邮箱地址,请输入邮箱地址
主要语言,主要言語
客服的首选沟通语言,担当者の優先コミュニケーション言語
客服可以接待的所有语言（勾选多个可接待全球客户）,担当者が対応できるすべての言語（複数選択でグローバル顧客に対応可能）
最大并发会话数,最大同時セッション数
激活状态,有効化ステータス
保存,保存
转出客服,转出客服
会话将从该客服名下转出（以人员列表所点行的客服为准，不是当前登录的操作者）,会话将从该客服名下转出（以人员列表所点行的客服为准，不是当前登录的操作者）
接收客服,接收客服
请选择客服,请选择客服
未关闭的会话将转入所选客服；工作台「来自客服」标记为上方转出客服,未关闭的会话将转入所选客服；工作台「来自客服」标记为上方转出客服
不转让，直接释放回等待池后删除,不转让，直接释放回等待池后删除
确认转让,确认转让
后台接口未授权或会话失效，请刷新页面后重试,后台接口未授权或会话失效，请刷新页面后重试
后台保存路由不可用，请刷新页面后重试；若仍失败请联系管理员检查客服模块路由,后台保存路由不可用，请刷新页面后重试；若仍失败请联系管理员检查客服模块路由
网络或工作会话暂不可用，请刷新页面后重试,网络或工作会话暂不可用，请刷新页面后重试
请求失败,请求失败
编辑客服,担当者を編集
未找到客服数据，请刷新页面后重试,未找到客服数据，请刷新页面后重试
确认,确认
当前会话,当前会话
删除客服,删除客服
确认删除,确认删除
"即将删除客服「__AGENT__」，其名下有 __COUNT__ 个未关闭会话，请选择接收客服或释放回等待池。","即将删除客服「__AGENT__」，其名下有 __COUNT__ 个未关闭会话，请选择接收客服或释放回等待池。"
确定删除客服「__AGENT__」？,确定删除客服「__AGENT__」？
"将从客服「__AGENT__」转出 __COUNT__ 个未关闭会话，请选择接收客服。","将从客服「__AGENT__」转出 __COUNT__ 个未关闭会话，请选择接收客服。"
客服「__AGENT__」当前没有未关闭会话。,客服「__AGENT__」当前没有未关闭会话。
确定要删除此客服吗？,この担当者を削除してもよろしいですか？
删除确认,删除确认
处理中…,处理中…
转让成功,转让成功
转让失败,转让失败
请选择目标客服，或勾选释放回等待池,请选择目标客服，或勾选释放回等待池
请选择目标客服,请选择目标客服
获取统计数据失败,統計データの取得に失敗しました
客服统计详情,担当者統計詳細
会话统计,セッション統計
总会话数,総セッション数
消息统计,メッセージ統計
总消息数,総メッセージ数
响应时间,応答時間
平均,平均
会话时长,セッション時間
接单等待中的会话，并在左侧聊天区回复客户。,接单等待中的会话，并在左侧聊天区回复客户。
界面语言,界面语言
工作量统计,作業量統計
统计时间范围,统计时间范围
今日,今日
本周,今週
本月,今月
会话数,セッション数
消息数,メッセージ数
客户,顧客
响应率,応答率
已响应,応答済み
完结率,完了率
平均响应时间,平均応答時間
平均会话时长（分钟）,平均セッション時間（分）
平均消息,平均メッセージ
聊天区域,聊天区域
会话列表,セッションリスト
刷新,更新
刷新会话列表,刷新会话列表
我的会话,マイセッション
转让分配,转让分配
等待分配,割り当て待ち
全部状态,すべてのステータス
会话ID,セッションID
客户ID,顧客ID
客户语言,顧客言語
客服语言,担当者言語
状态,ステータス
创建时间,作成日時
暂无会话,セッションがありません
查看,表示
返回列表,リストに戻る
会话信息,セッション情報
客服ID,担当者ID
聊天记录,チャット履歴
翻译：,翻訳：
不能转让给同一客服,不能转让给同一客服
源客服不存在,源客服不存在
目标客服不存在,目标客服不存在
目标客服未激活,目标客服未激活
由客服「__AGENT__」转出,由客服「__AGENT__」转出
由其他客服转出,由其他客服转出
上传数据无效,上传数据无效
文件过大,文件过大
不支持的图片类型,不支持的图片类型
不支持的文件类型,不支持的文件类型
无法创建上传目录,无法创建上传目录
保存文件失败,保存文件失败
"邮件服务尚未配置。请先在后台 SMTP 设置中为 Weline_Smtp 或 Weline_CustomerService 添加发件人。","邮件服务尚未配置。请先在后台 SMTP 设置中为 Weline_Smtp 或 Weline_CustomerService 添加发件人。"
已绑定邮箱身份：%{1}。如不正确可点击修改。,已绑定邮箱身份：%{1}。如不正确可点击修改。
"已将会话邮箱从 %{1} 更换为 %{2}。","已将会话邮箱从 %{1} 更换为 %{2}。"
开发模式：邮件服务不可用，未自动绑定。请点击下方链接完成绑定。,"Development mode: email service unavailable; binding was not automatic. Please click the link below to complete binding."
无效的附件消息,无效的附件消息
图片：%{1},图片：%{1}
文件：%{1},文件：%{1}
输入回复…,输入回复…
会话,セッション
检测中...,検出中...
修改邮箱身份,修改邮箱身份
验证邮箱,验证邮箱
接收客服回复与优惠通知,接收客服回复与优惠通知
留下邮箱后，客服可将本次咨询的回复、报价进展和可用优惠发送到您的邮箱。,留下邮箱后，客服可将本次咨询的回复、报价进展和可用优惠发送到您的邮箱。
仅用于本次客服咨询相关通知，不是简报订阅。,仅用于本次客服咨询相关通知，不是简报订阅。
接收通知的邮箱,接收通知的邮箱
请输入用于接收客服通知的邮箱,请输入用于接收客服通知的邮箱
稍后再说,稍后再说
发送验证邮件,確認メールを送信
"客服服务 - 邮箱绑定验证","カスタマーサービス - メールアドレス紐付け確認"
绑定成功后，您将收到客服回复的邮件通知,紐付けが成功すると、カスタマーサービスの返信メール通知を受信します
无法截取所选区域，请改用图片上传或粘贴截图,无法截取所选区域，请改用图片上传或粘贴截图
正在截取当前页面…,正在截取当前页面…
无法截取当前页面，请改用图片上传或粘贴截图,无法截取当前页面，请改用图片上传或粘贴截图
拖拽选择要发送的区域,拖拽选择要发送的区域
当前浏览器不支持屏幕截图，请改用图片上传或粘贴截图,当前浏览器不支持屏幕截图，请改用图片上传或粘贴截图
目标客服,目标客服
未关闭的会话将转给所选客服,未关闭的会话将转给所选客服
"即将删除客服「__AGENT__」，其名下有 __COUNT__ 个未关闭会话，请选择转让目标或释放回等待池。","即将删除客服「__AGENT__」，其名下有 __COUNT__ 个未关闭会话，请选择转让目标或释放回等待池。"
"客服「__AGENT__」有 __COUNT__ 个未关闭会话，请选择接收人。","客服「__AGENT__」有 __COUNT__ 个未关闭会话，请选择接收人。"
由「%{1}」转让而来,由「%{1}」转让而来
由其他客服转让而来,由其他客服转让而来
ID,ID
关联用户,関連ユーザー
最大会话数,最大セッション数
"即将删除客服「%{1}」，其名下有 %{2} 个未关闭会话，请选择转让目标或释放回等待池。","即将删除客服「%{1}」，其名下有 %{2} 个未关闭会话，请选择转让目标或释放回等待池。"
确定删除客服「%{1}」？,确定删除客服「%{1}」？
"客服「%{1}」有 %{2} 个未关闭会话，请选择接收人。","客服「%{1}」有 %{2} 个未关闭会话，请选择接收人。"
客服「%{1}」当前没有未关闭会话。,客服「%{1}」当前没有未关闭会话。
"Captcha verification failed or expired. Please try again.","Captcha verification failed or expired. Please try again."
"Action missing: %{1}","Action missing: %{1}"
加载配置失败：%{1},設定の読み込みに失敗しました：%{1}
保存客服配置,保存客服配置
启用客服服务,カスタマーサービスを有効化
启用,启用
默认客服语言,デフォルト担当者言語
简体中文,簡体字中国語
English,English
默认客户语言,デフォルト顧客言語
"当没有客服人员在线时，可启用 AI 自动回复客户消息。",サービス担当者がオンラインでない場合、AIによる顧客メッセージの自動返信を有効にできます。
"启用 AI 自动回复",AI自動返信を有効化
"启用后，客户端将显示蓝色""AI 智能客服""状态而非灰色""离线""",有効化すると、クライアントは灰色の「オフライン」ではなく、青色の「AIカスタマーサービス」ステータスを表示します
"AI 模型",AIモデル
"使用的 AI 模型标识，需在 Weline_Ai 模块中配置对应供应商",使用するAIモデル識別子。Weline_Aiモジュールで対応するプロバイダーを設定する必要があります
保存配置,設定を保存
客服系统,カスタマーサービスシステム
鐎广垺婀囬崷銊у殠,鐎广垺婀囬崷銊у殠
鐎广垺婀囩粋鑽ゅ殠,鐎广垺婀囩粋鑽ゅ殠
