客服消息翻译,"고객 서비스 메시지 번역"
客服工作台,"고객 서비스 콘솔"
加载工作台失败：%{1},"콘솔 로드 실패: %{1}"
您不是客服人员,"서비스 담당자가 아닙니다"
获取会话列表失败：%{1},"세션 목록 조회 실패: %{1}"
无权访问此会话,"이 세션에 접근할 권한이 없습니다"
发送成功,전송되었습니다
会话已被分配,"세션이 이미 할당되었습니다"
已达到最大会话数限制,"최대 세션 수에 도달했습니다"
分配成功,할당되었습니다
分配会话失败：%{1},"세션 할당 실패: %{1}"
无权关闭此会话,"이 세션을 닫을 권한이 없습니다"
获取客服状态失败：%{1},"담당자 상태 조회 실패: %{1}"
获取话术失败：%{1},获取话术失败：%{1}
标题和内容不能为空,标题和内容不能为空
话术不存在,话术不存在
保存话术失败：%{1},保存话术失败：%{1}
无效的话术ID,无效的话术ID
删除话术失败：%{1},删除话术失败：%{1}
分类名不能为空,分类名不能为空
分类已创建,分类已创建
保存分类失败：%{1},保存分类失败：%{1}
该分类下还有话术，请先移出或删除,该分类下还有话术，请先移出或删除
分类已删除,分类已删除
删除分类失败：%{1},删除分类失败：%{1}
客服聊天工作台,客服聊天工作台
查看工作台,查看工作台
查看客服工作台,查看客服工作台
确认操作,确认操作
确定,确定
取消,취소
等待中,"대기 중"
暂无消息,"메시지 없음"
接单,수주
当前没有等待中的会话,当前没有等待中的会话
当前没有转让进来的会话,当前没有转让进来的会话
你转出的会话只显示在接收方工作台的「转让分配」中。,你转出的会话只显示在接收方工作台的「转让分配」中。
暂无进行中的会话,暂无进行中的会话
有等待中的会话时，点击「接单」开始接待。,有等待中的会话时，点击「接单」开始接待。
"收到 %{1} 个会话的新消息","收到 %{1} 个会话的新消息"
新消息,新消息
"会话 #%{1} 有 %{2} 条新消息","会话 #%{1} 有 %{2} 条新消息"
"会话 #%{1} 有新消息","会话 #%{1} 有新消息"
转让会话,转让会话
转让,转让
来自客服「__AGENT__」,来自客服「__AGENT__」
来自其他客服,来自其他客服
加载会话失败,加载会话失败
加载会话失败，请稍后重试,加载会话失败，请稍后重试
加载更早消息失败,加载更早消息失败
加载更早消息失败，请稍后重试,加载更早消息失败，请稍后重试
正在加载最新消息…,正在加载最新消息…
在下方输入框发送第一条回复。,在下方输入框发送第一条回复。
会话,세션
输入消息...,"메시지 입력..."
发送,전송
正在加载更早消息…,正在加载更早消息…
上滑加载更早消息,上滑加载更早消息
没有更早的消息了,没有更早的消息了
请选择一个会话开始聊天,"채팅을 시작할 세션을 선택하세요"
从右侧「我的会话」点选，或先接单等待中的会话。,从右侧「我的会话」点选，或先接单等待中的会话。
图片,이미지
文件,파일
聊天工具,"채팅 도구"
表情,이모지
话术库,话术库
话术,话术
未分类,未分类
全部,전체
新建分类,新建分类
没有匹配的话术,没有匹配的话术
暂无话术，点下方添加,暂无话术，点下方添加
删除,삭제
删,删
加载话术失败,加载话术失败
加载话术…,加载话术…
搜索话术,搜索话术
搜索标题或内容…,搜索标题或内容…
话术分类,话术分类
添加话术,添加话术
话术标题,话术标题
话术内容,话术内容
所属分类,所属分类
保存话术,保存话术
新分类名称,新分类名称
保存分类失败,保存分类失败
删除失败,"삭제 실패"
保存失败,"저장 실패"
请先选择会话,请先选择会话
正在上传…,正在上传…
上传失败,上传失败
发送失败,"전송 실패"
上传失败，请稍后重试,上传失败，请稍后重试
发送失败，请稍后重试,"전송 실패. 잠시 후 다시 시도해주세요"
确定要接单此会话吗？,"이 세션을 수주하시겠습니까？"
确认接单,确认接单
分配失败,"할당 실패"
分配失败，请稍后重试,"할당 실패. 잠시 후 다시 시도해주세요"
确定要关闭此会话吗？,"이 세션을 닫으시겠습니까？"
确认关闭,确认关闭
关闭,닫기
关闭失败,"닫기 실패"
关闭失败，请稍后重试,"닫기 실패. 잠시 후 다시 시도해주세요"
刚刚,방금
分钟前,"분 전"
小时前,"시간 전"
已关闭,닫힘
进行中,"진행 중"
最快,"가장 빠름"
最慢,"가장 느림"
最短,"가장 짧음"
分钟,분
最长,"가장 김"
秒,초
打开验证链接,"Open verification link"
提示,提示
请注意,请注意
操作失败,操作失败
知道了,知道了
人机验证凭证异常，请刷新页面后重试,人机验证凭证异常，请刷新页面后重试
请求参数过长，请刷新页面后重试,请求参数过长，请刷新页面后重试
上传参数异常，请刷新页面后重试,上传参数异常，请刷新页面后重试
点击修改邮箱身份,点击修改邮箱身份
当前登录身份,当前登录身份
邮箱已绑定：%{1}，可以继续聊天,"Email bound: %{1}. You can continue chatting."
邮箱已绑定，可以继续聊天,"Email bound. You can continue chatting."
绑定成功,"Binding successful"
今天,今天
昨天,昨天
客服新消息,客服新消息
您有一条新的客服回复,您有一条新的客服回复
请等待客服回复后再发送。验证邮箱后可跳过等待、连续发送消息。,请等待客服回复后再发送。验证邮箱后可跳过等待、连续发送消息。
等待客服回复…,等待客服回复…
客服服务,"고객 서비스"
我的语言,"내 언어"
显示模式,"표시 모드"
欢迎使用客服服务！,"고객 서비스에 오신 것을 환영합니다！"
请输入您的问题，我们的客服将尽快为您解答。,"질문을 입력해주세요. 고객 서비스가 최대한 빨리 답변해드리겠습니다."
设置,설정
收起,최소화
仅显示译文,"번역만 표시"
原文+译文,원문+번역
仅显示原文,"원문만 표시"
截图,스크린샷
客服会话初始化失败，请稍后重试,客服会话初始化失败，请稍后重试
已取消截图,已取消截图
截图失败，请改用图片上传或粘贴,截图失败，请改用图片上传或粘贴
在页面上拖拽选择要截取的区域,在页面上拖拽选择要截取的区域
重选,重选
完成,完成
已选中区域，可点击「完成」发送,已选中区域，可点击「完成」发送
请先拖拽选择截图区域,请先拖拽选择截图区域
生成中…,生成中…
正在生成截图…,正在生成截图…
请在弹出窗口选择「这个标签页」以截取,请在弹出窗口选择「这个标签页」以截取
生成失败，请重选区域或改用图片上传,生成失败，请重选区域或改用图片上传
欢迎使用客服服务,欢迎使用客服服务
会员,会员
访客,访客
客服,담당자
图片加载失败,"Failed to load image"
在线客服,在线客服
"AI 智能客服","AI 고객 서비스"
离线,离线
网站正在维护，请稍后再试,网站正在维护，请稍后再试
请稍候,请稍候
请填写下方图码后发送验证邮件,请填写下方图码后发送验证邮件
云端人机验证暂不可用，请填写下方本地图码后再次发送,云端人机验证暂不可用，请填写下方本地图码后再次发送
云端人机验证暂不可用，已切换为本地图码，请填写后重试,云端人机验证暂不可用，已切换为本地图码，请填写后重试
请填写本地图码,请填写本地图码
人机验证尚未就绪，请稍后重试,人机验证尚未就绪，请稍后重试
请输入有效的邮箱地址,"유효한 이메일 주소를 입력하세요"
会话未初始化，请刷新页面重试,"세션이 초기화되지 않았습니다. 페이지를 새로고침하고 다시 시도하세요"
人机验证尚未就绪，正在刷新，请稍后重试,人机验证尚未就绪，正在刷新，请稍后重试
验证邮件已发送，请查收您的邮箱,"인증 이메일을 전송했습니다. 이메일함을 확인해주세요"
检测中...,"확인 중..."
修改邮箱身份,修改邮箱身份
验证邮箱,验证邮箱
接收客服回复与优惠通知,接收客服回复与优惠通知
留下邮箱后，客服可将本次咨询的回复、报价进展和可用优惠发送到您的邮箱。,留下邮箱后，客服可将本次咨询的回复、报价进展和可用优惠发送到您的邮箱。
仅用于本次客服咨询相关通知，不是简报订阅。,仅用于本次客服咨询相关通知，不是简报订阅。
接收通知的邮箱,接收通知的邮箱
请输入用于接收客服通知的邮箱,请输入用于接收客服通知的邮箱
稍后再说,稍后再说
发送验证邮件,"인증 이메일 전송"
此页面用于独立聊天界面，实际聊天功能通过右下角悬浮按钮使用。,"이 페이지는 독립적인 채팅 인터페이스용입니다. 실제 채팅 기능은 오른쪽 하단의 플로팅 버튼을 통해 사용할 수 있습니다."
邮箱绑定验证,"이메일 연결 인증"
验证成功,"인증 성공"
您的邮箱,"귀하의 이메일"
已成功绑定到客服会话。,"고객 서비스 세션에 성공적으로 연결되었습니다."
返回首页,"홈페이지로 돌아가기"
验证失败,"인증 실패"
邮箱已绑定,"Email bound"
正在同步到客服聊天窗口…,"Syncing to the customer service chat…"
已绑定邮箱,"연결된 이메일"
回到商城继续聊天,"Back to store to continue chatting"
关闭此页,"Close this page"
原页面客服窗口将自动显示已绑定邮箱；若未自动关闭，请关闭本页返回继续聊天。,"The original chat window will show your bound email. If this page does not close automatically"
返回上一页,"이전 페이지로 돌아가기"
如有问题，请,"문제가 있으시면,"
联系客服,"고객 서비스에 문의하세요"
已同步。可关闭此页，返回原页面继续聊天。,"Synced. You can close this page and continue chatting on the original tab."
配置写入当前作用范围；切换范围后页面会按新范围加载。语言留空则跟随网站默认语言。,配置写入当前作用范围；切换范围后页面会按新范围加载。语言留空则跟随网站默认语言。
在统一配置中心打开,在统一配置中心打开
作用范围,作用范围
关联后台用户并配置语言与并发上限，便于工作台分配会话。,关联后台用户并配置语言与并发上限，便于工作台分配会话。
添加客服,"담당자 추가"
人员列表,人员列表
"共 %{1} 人","共 %{1} 人"
暂无客服人员,"서비스 담당자 없음"
添加第一位客服后，即可在工作台接待客户。,添加第一位客服后，即可在工作台接待客户。
语言,언어
接待,接待
操作,작업
用户,用户
支持的语言,"지원 언어"
激活,활성화
禁用,비활성화
"最多 %{1} 会话","最多 %{1} 会话"
查看统计,"통계 보기"
编辑,편집
转让会话：将未关闭会话转给其他客服,转让会话：将未关闭会话转给其他客服
关联后台用户,"백엔드 사용자 연결"
请选择用户,"사용자를 선택하세요"
客服名称,"담당자 이름"
请输入客服名称,"담당자 이름을 입력하세요"
邮箱,이메일
请输入邮箱地址,"이메일 주소를 입력하세요"
主要语言,"주요 언어"
客服的首选沟通语言,"담당자의 선호 소통 언어"
客服可以接待的所有语言（勾选多个可接待全球客户）,"담당자가 응대할 수 있는 모든 언어（여러 개 선택 시 전 세계 고객 응대 가능）"
最大并发会话数,"최대 동시 세션 수"
激活状态,"활성화 상태"
保存,저장
转出客服,转出客服
会话将从该客服名下转出（以人员列表所点行的客服为准，不是当前登录的操作者）,会话将从该客服名下转出（以人员列表所点行的客服为准，不是当前登录的操作者）
接收客服,接收客服
请选择客服,请选择客服
未关闭的会话将转入所选客服；工作台「来自客服」标记为上方转出客服,未关闭的会话将转入所选客服；工作台「来自客服」标记为上方转出客服
不转让，直接释放回等待池后删除,不转让，直接释放回等待池后删除
确认转让,确认转让
后台接口未授权或会话失效，请刷新页面后重试,后台接口未授权或会话失效，请刷新页面后重试
后台保存路由不可用，请刷新页面后重试；若仍失败请联系管理员检查客服模块路由,后台保存路由不可用，请刷新页面后重试；若仍失败请联系管理员检查客服模块路由
网络或工作会话暂不可用，请刷新页面后重试,网络或工作会话暂不可用，请刷新页面后重试
请求失败,请求失败
编辑客服,"담당자 편집"
未找到客服数据，请刷新页面后重试,未找到客服数据，请刷新页面后重试
确认,确认
当前会话,当前会话
删除客服,删除客服
确认删除,确认删除
"即将删除客服「__AGENT__」，其名下有 __COUNT__ 个未关闭会话，请选择接收客服或释放回等待池。","即将删除客服「__AGENT__」，其名下有 __COUNT__ 个未关闭会话，请选择接收客服或释放回等待池。"
确定删除客服「__AGENT__」？,确定删除客服「__AGENT__」？
"将从客服「__AGENT__」转出 __COUNT__ 个未关闭会话，请选择接收客服。","将从客服「__AGENT__」转出 __COUNT__ 个未关闭会话，请选择接收客服。"
客服「__AGENT__」当前没有未关闭会话。,客服「__AGENT__」当前没有未关闭会话。
确定要删除此客服吗？,"이 담당자를 삭제하시겠습니까？"
删除确认,删除确认
处理中…,处理中…
转让成功,转让成功
转让失败,转让失败
请选择目标客服，或勾选释放回等待池,请选择目标客服，或勾选释放回等待池
请选择目标客服,请选择目标客服
获取统计数据失败,"통계 데이터 조회 실패"
客服统计详情,"담당자 통계 상세"
会话统计,"세션 통계"
总会话数,"총 세션 수"
消息统计,"메시지 통계"
总消息数,"총 메시지 수"
响应时间,"응답 시간"
平均,평균
会话时长,"세션 시간"
接单等待中的会话，并在左侧聊天区回复客户。,接单等待中的会话，并在左侧聊天区回复客户。
界面语言,界面语言
工作量统计,"작업량 통계"
统计时间范围,统计时间范围
今日,오늘
本周,"이번 주"
本月,"이번 달"
会话数,"세션 수"
消息数,"메시지 수"
客户,고객
响应率,응답률
已响应,응답됨
完结率,완료율
平均响应时间,"평균 응답 시간"
平均会话时长（分钟）,"평균 세션 시간（분）"
平均消息,"평균 메시지"
聊天区域,聊天区域
会话列表,"세션 목록"
刷新,새로고침
刷新会话列表,刷新会话列表
我的会话,"내 세션"
转让分配,转让分配
等待分配,"할당 대기"
全部状态,"모든 상태"
会话ID,"세션 ID"
客户ID,"고객 ID"
客户语言,"고객 언어"
客服语言,"담당자 언어"
状态,상태
创建时间,"생성 시간"
暂无会话,"세션 없음"
查看,보기
返回列表,"목록으로 돌아가기"
会话信息,"세션 정보"
客服ID,"담당자 ID"
聊天记录,"채팅 기록"
翻译：,번역：
不能转让给同一客服,不能转让给同一客服
源客服不存在,源客服不存在
目标客服不存在,目标客服不存在
目标客服未激活,目标客服未激活
由客服「__AGENT__」转出,由客服「__AGENT__」转出
由其他客服转出,由其他客服转出
上传数据无效,上传数据无效
文件过大,文件过大
不支持的图片类型,不支持的图片类型
不支持的文件类型,不支持的文件类型
无法创建上传目录,无法创建上传目录
保存文件失败,保存文件失败
"邮件服务尚未配置。请先在后台 SMTP 设置中为 Weline_Smtp 或 Weline_CustomerService 添加发件人。","邮件服务尚未配置。请先在后台 SMTP 设置中为 Weline_Smtp 或 Weline_CustomerService 添加发件人。"
已绑定邮箱身份：%{1}。如不正确可点击修改。,已绑定邮箱身份：%{1}。如不正确可点击修改。
"已将会话邮箱从 %{1} 更换为 %{2}。","已将会话邮箱从 %{1} 更换为 %{2}。"
开发模式：邮件服务不可用，未自动绑定。请点击下方链接完成绑定。,"Development mode: email service unavailable; binding was not automatic. Please click the link below to complete binding."
无效的附件消息,无效的附件消息
图片：%{1},图片：%{1}
文件：%{1},文件：%{1}
"客服服务 - 邮箱绑定验证","고객 서비스 - 이메일 연결 인증"
绑定成功后，您将收到客服回复的邮件通知,"연결 성공 후 고객 서비스 답변 이메일 알림을 받게 됩니다"
无法截取所选区域，请改用图片上传或粘贴截图,无法截取所选区域，请改用图片上传或粘贴截图
正在截取当前页面…,正在截取当前页面…
无法截取当前页面，请改用图片上传或粘贴截图,无法截取当前页面，请改用图片上传或粘贴截图
拖拽选择要发送的区域,拖拽选择要发送的区域
当前浏览器不支持屏幕截图，请改用图片上传或粘贴截图,当前浏览器不支持屏幕截图，请改用图片上传或粘贴截图
目标客服,目标客服
未关闭的会话将转给所选客服,未关闭的会话将转给所选客服
"即将删除客服「__AGENT__」，其名下有 __COUNT__ 个未关闭会话，请选择转让目标或释放回等待池。","即将删除客服「__AGENT__」，其名下有 __COUNT__ 个未关闭会话，请选择转让目标或释放回等待池。"
"客服「__AGENT__」有 __COUNT__ 个未关闭会话，请选择接收人。","客服「__AGENT__」有 __COUNT__ 个未关闭会话，请选择接收人。"
由「%{1}」转让而来,由「%{1}」转让而来
由其他客服转让而来,由其他客服转让而来
ID,ID
关联用户,"연관 사용자"
最大会话数,"최대 세션 수"
"即将删除客服「%{1}」，其名下有 %{2} 个未关闭会话，请选择转让目标或释放回等待池。","即将删除客服「%{1}」，其名下有 %{2} 个未关闭会话，请选择转让目标或释放回等待池。"
确定删除客服「%{1}」？,确定删除客服「%{1}」？
"客服「%{1}」有 %{2} 个未关闭会话，请选择接收人。","客服「%{1}」有 %{2} 个未关闭会话，请选择接收人。"
客服「%{1}」当前没有未关闭会话。,客服「%{1}」当前没有未关闭会话。
"Captcha verification failed or expired. Please try again.","Captcha verification failed or expired. Please try again."
"Action missing: %{1}","Action missing: %{1}"
加载配置失败：%{1},"설정 로드 실패: %{1}"
保存客服配置,保存客服配置
启用客服服务,"고객 서비스 활성화"
启用,启用
默认客服语言,"기본 담당자 언어"
简体中文,"간체 중국어"
English,English
默认客户语言,"기본 고객 언어"
"当没有客服人员在线时，可启用 AI 自动回复客户消息。","서비스 담당자가 온라인에 없을 때 AI가 고객 메시지에 자동으로 답변하도록 활성화할 수 있습니다."
"启用 AI 自动回复","AI 자동 답변 활성화"
"启用后，客户端将显示蓝色""AI 智能客服""状态而非灰色""离线""","활성화하면 클라이언트는 회색 '오프라인' 대신 파란색 'AI 고객 서비스' 상태를 표시합니다"
"AI 模型","AI 모델"
"使用的 AI 模型标识，需在 Weline_Ai 模块中配置对应供应商","사용할 AI 모델 식별자. Weline_Ai 모듈에서 해당 공급자를 구성해야 합니다"
保存配置,"설정 저장"
客服系统,"고객 서비스 시스템"
鐎广垺婀囬崷銊у殠,鐎广垺婀囬崷銊у殠
鐎广垺婀囩粋鑽ゅ殠,鐎广垺婀囩粋鑽ゅ殠
